,beds,can_instant_book,guests,host_id,latitude,listing_id,longitude,rate,reviews_count,room_type,star_rating
0,2,True,4,499201,29.79082643983669,2414344,-95.3705671461471,97,132,Entire home/apt,5.0
1,1,True,4,15845314,29.750208853322718,5396686,-95.35526690564983,115,84,Entire home/apt,5.0
2,8,True,4,9131137,29.770576593638808,5945476,-95.41851346518119,295,62,Entire home/apt,5.0
3,2,False,4,26168561,29.698604867496684,5067703,-95.4180641918868,90,16,Entire home/apt,5.0
4,1,True,4,75292905,29.751456061511025,13317543,-95.35389787069538,110,5,Entire home/apt,4.5
5,4,False,4,22623861,29.751712290997084,6912011,-95.36852571595736,218,53,Entire home/apt,5.0
6,2,False,4,22924046,29.74466440467184,5250771,-95.4039690558919,129,64,Entire home/apt,5.0
7,3,True,4,53876479,29.764941910040736,13559901,-95.41118600032507,165,2,Entire home/apt,0.0
8,2,False,4,16533520,29.735942255987986,12543212,-95.41466041853599,118,8,Entire home/apt,5.0
9,2,True,4,22814626,29.74786989291395,6166415,-95.38437557826413,80,87,Entire home/apt,4.5
10,2,False,4,27269480,29.738550089430273,13026460,-95.52713886118954,84,2,Entire home/apt,0.0
11,3,False,4,6521790,29.753297120223078,1782044,-95.39764475932498,170,142,Entire home/apt,4.5
12,3,False,4,77552143,29.6986045433278,13511178,-95.64010888202476,78,0,Entire home/apt,0.0
13,1,True,4,39170287,29.739503478873704,7480926,-95.444482520778,109,49,Entire home/apt,4.5
14,2,False,4,38513394,29.739344685158155,7357533,-95.37119582070079,135,32,Entire home/apt,5.0
15,1,True,4,8369519,29.70026585493419,8822609,-95.42060442627049,109,37,Entire home/apt,5.0
16,3,False,4,11290387,29.77746611650514,6131689,-95.3919089893962,139,11,Entire home/apt,4.5
17,2,False,4,24369562,29.78411295107411,10359833,-95.40269415044742,109,11,Entire home/apt,5.0
