bedrooms,can_instant_book,counter,guests,host_id,latitude,listing_id,longitude,page,rate,reviews_count,room_type,star_rating
1,False,1,4,5401599,61.19502858669377,2149367,-149.91545217394227,1,109,69,Entire home/apt,4.5
1,False,2,4,35684292,61.15486881536235,6815056,-149.87475345285986,1,175,27,Entire home/apt,5.0
2,False,3,4,57652031,61.1715995102477,12348049,-149.85565031323142,1,85,13,Entire home/apt,4.5
2,True,4,4,31698558,61.19758152892492,14016982,-149.95115380514895,1,112,5,Entire home/apt,5.0
2,False,5,4,48294060,61.19648709897566,11340243,-149.95489638522488,1,145,9,Entire home/apt,5.0
1,False,6,4,25155318,61.17959940618747,13886822,-149.922498071294,1,110,3,Entire home/apt,5.0
1,False,7,4,29824840,61.12522674926816,5749373,-149.77618012837954,1,125,24,Entire home/apt,4.5
2,False,8,4,13123003,61.1713464915099,9133718,-149.88133608867693,1,89,10,Entire home/apt,4.5
2,False,9,4,47735619,61.17873285713596,9172779,-149.87420954900264,1,84,40,Entire home/apt,5.0
1,False,10,4,16779969,61.19103871614608,12814919,-149.91453868094015,1,120,14,Entire home/apt,5.0
1,True,11,4,9044598,61.20835849505436,13883109,-149.90666449442972,1,149,1,Entire home/apt,0.0
3,True,12,4,65834878,61.190438990092005,12234262,-149.93843717366968,1,100,8,Entire home/apt,4.5
2,False,13,4,29242883,61.202193648500995,10403135,-149.89142973996505,1,120,37,Entire home/apt,4.5
2,True,14,4,66676617,61.18776985596559,13771037,-149.753237614902,1,175,4,Entire home/apt,5.0
2,True,15,4,1328153,61.21075678456694,3677979,-149.9042735184492,1,197,22,Entire home/apt,5.0
3,True,16,4,68955298,61.19712338765227,13509936,-149.95117841597224,1,210,7,Entire home/apt,5.0
3,True,17,4,82854075,61.154732842608034,13955011,-149.9068722787735,1,129,2,Entire home/apt,0.0
2,False,18,4,15969062,61.20452333391416,4477656,-149.86497121575096,1,69,72,Entire home/apt,5.0
2,False,1,4,27889122,61.16345864242761,6489035,-149.8754233107254,2,65,6,Entire home/apt,5.0
1,False,2,4,88061584,61.07348692031377,14361354,-149.77252006197142,2,95,5,Entire home/apt,5.0
2,True,3,4,12156018,61.20683630602742,14028999,-149.86302094766435,2,120,3,Entire home/apt,5.0
2,False,4,4,34666807,61.21204038997626,6623621,-149.8939100356358,2,175,39,Entire home/apt,5.0
1,False,5,4,3261966,61.198755705662556,6274725,-149.9103844013199,2,165,76,Entire home/apt,5.0
2,True,6,4,26495249,61.205676462224694,7532675,-149.8258344717875,2,125,22,Entire home/apt,5.0
3,True,7,4,1787076,61.14790018514779,12278714,-149.94006764053412,2,135,5,Entire home/apt,5.0
2,False,8,4,5295592,61.174143600593624,969588,-149.84763412479856,2,165,6,Entire home/apt,4.5
2,False,9,4,66258840,61.176962245693204,12292902,-149.9381238936936,2,90,8,Entire home/apt,5.0
0,False,10,4,9638649,61.20943774526776,7733350,-149.77244487263653,2,160,49,Entire home/apt,5.0
2,False,11,4,9485589,61.210432086941886,8309092,-149.89969138476,2,125,50,Entire home/apt,5.0
3,False,12,4,29970393,61.15443385653454,5807360,-149.961079843887,2,225,15,Entire home/apt,5.0
2,False,13,4,3978419,61.20755740838326,8115870,-149.89478788282833,2,200,20,Entire home/apt,5.0
2,True,14,4,9373291,61.18840007821966,12902474,-149.85984446097794,2,196,9,Entire home/apt,5.0
2,False,15,4,10214560,61.20925147889641,2226852,-149.90507724554377,2,179,34,Entire home/apt,5.0
2,False,16,4,17086997,61.20221309094327,3386649,-149.92705613908274,2,160,53,Entire home/apt,5.0
1,False,17,4,84770657,61.123563474488385,14091356,-149.75434800636305,2,120,2,Entire home/apt,0.0
2,False,18,4,51639342,61.210284000312654,10062794,-149.89363880214643,2,110,13,Entire home/apt,5.0
2,True,1,4,17890409,61.14292279095993,5346965,-149.9449505966185,3,122,11,Entire home/apt,4.5
3,False,2,4,21672216,61.19239893405045,11576035,-149.95086323912471,3,175,29,Entire home/apt,5.0
2,True,3,4,71219558,61.053574878436166,12956542,-149.79250491955412,3,150,9,Entire home/apt,5.0
3,False,4,4,17425012,61.217262447130956,3457665,-149.8855705145736,3,288,37,Entire home/apt,5.0
1,True,5,4,48818186,61.103318533756145,13676555,-149.8659275915579,3,100,10,Entire home/apt,4.5
3,False,6,4,75397028,61.182838851020755,13771148,-149.92953615465257,3,165,1,Entire home/apt,0.0
2,False,7,4,48202715,61.19947307681349,11879955,-149.91105149959495,3,125,10,Entire home/apt,4.5
2,False,8,4,13280758,61.22190524560295,13467586,-149.80610097045033,3,90,4,Entire home/apt,5.0
2,True,9,4,77584830,61.16576142221805,13513810,-149.87525522674085,3,135,10,Entire home/apt,4.5
1,False,10,4,38092742,61.181069363007545,13381109,-149.83931369306117,3,125,4,Entire home/apt,4.5
2,False,11,4,18875956,61.18380501062902,5779556,-149.92567514252232,3,150,43,Entire home/apt,4.5
1,True,12,4,73676032,61.11702109592726,13176570,-149.7551573705512,3,165,1,Entire home/apt,0.0
