bedrooms,can_instant_book,counter,guests,host_id,latitude,listing_id,longitude,page,rate,reviews_count,room_type,star_rating
1,False,1,4,2436512,30.266665187932883,2967570,-97.73394663398385,1,170,159,Entire home/apt,5.0
3,False,2,4,2436512,30.272146322106156,628034,-97.71917212249346,1,120,237,Entire home/apt,5.0
2,True,3,4,629188,30.25446676130937,13943642,-97.75766273292348,1,59,8,Entire home/apt,5.0
2,False,4,4,2484820,30.221424465829035,539839,-97.7348379332135,1,63,53,Entire home/apt,4.5
1,False,5,4,27841769,30.29292071487595,12424459,-97.7250041604102,1,90,11,Entire home/apt,4.5
2,True,6,4,62125695,30.280312641993348,11692489,-97.71198956804528,1,69,15,Entire home/apt,5.0
1,True,7,4,66363757,30.23046021793692,12366570,-97.71899246785011,1,139,8,Entire home/apt,5.0
2,False,8,4,26022847,30.281731975364796,13512625,-97.67565963703346,1,80,5,Entire home/apt,4.5
2,False,9,4,14794367,30.275989926989176,14054390,-97.76011942192366,1,160,0,Entire home/apt,0.0
2,False,10,4,1754114,30.243434571643558,13843877,-97.78456440805672,1,100,6,Entire home/apt,5.0
1,False,11,4,210965,30.300381938339047,46929,-97.77885789311448,1,97,216,Entire home/apt,5.0
4,False,12,4,25184902,30.234330368505457,5031470,-97.74859974232405,1,250,19,Entire home/apt,5.0
2,False,13,4,274880,30.242665598667298,7884319,-97.73168560375441,1,95,28,Entire home/apt,4.5
1,False,14,4,60495390,30.224765447252743,11490382,-97.74474805376806,1,72,17,Entire home/apt,5.0
1,False,15,4,74318403,30.412811173102824,13585864,-97.9380253923428,1,150,6,Entire home/apt,5.0
2,True,16,4,65201894,30.21764470476048,13977636,-97.7375905813722,1,55,3,Entire home/apt,5.0
3,False,17,4,29703215,30.318991952275756,5728862,-97.69671942354871,1,179,38,Entire home/apt,5.0
1,True,18,4,69246211,30.310458310818433,12734278,-97.71193206510983,1,150,3,Entire home/apt,5.0
0,False,1,4,44487,30.24490798545938,12034873,-97.73979097002139,2,183,16,Entire home/apt,5.0
3,False,2,4,27074197,30.245402521401175,5231382,-97.75676192318666,2,400,12,Entire home/apt,5.0
0,False,3,4,8014187,30.260198533345044,1499714,-97.73268559586583,2,114,123,Entire home/apt,5.0
