beds,can_instant_book,counter,guests,host_id,latitude,listing_id,longitude,page,rate,reviews_count,room_type,star_rating
2,False,1,4,5549451,30.262562609532896,1264454,-97.80624564098626,1,115,39,Entire home/apt,5.0
2,True,2,4,44664003,30.244296163892898,13571814,-97.77446858061145,1,85,3,Entire home/apt,5.0
2,False,3,4,69230070,30.266261847294043,12732180,-97.78419977747123,1,99,2,Entire home/apt,0.0
3,False,4,4,68532899,30.247215582275565,12622967,-97.73708309026433,1,160,10,Entire home/apt,4.5
3,True,5,4,5530934,30.273597544140046,9234951,-97.72086062239147,1,109,52,Entire home/apt,4.5
3,False,6,4,1710742,30.266132873902517,1776078,-97.74099020373427,1,170,51,Entire home/apt,5.0
3,False,7,4,25436163,30.284220805143605,13426620,-97.74999894830052,1,99,4,Entire home/apt,4.5
4,False,8,4,42412174,30.315571628887223,8032556,-97.74477207696835,1,258,28,Entire home/apt,5.0
3,False,9,4,274880,30.242665598667298,7884319,-97.73168560375441,1,95,22,Entire home/apt,4.5
2,False,10,4,44487,30.24600551729721,10331035,-97.73953086396806,1,163,32,Entire home/apt,4.5
1,True,11,4,56140116,30.250581997251725,10839673,-97.75323557742568,1,75,12,Entire home/apt,5.0
2,True,12,4,1126275,30.276741726429744,8267598,-97.72854700563431,1,148,41,Entire home/apt,4.5
3,False,13,4,5197589,30.29492183564017,8116239,-97.71412392242961,1,127,63,Entire home/apt,5.0
4,False,14,4,4597887,30.207105383890536,3373305,-97.78594967805961,1,218,160,Entire home/apt,5.0
2,False,15,4,406286,30.289151842915935,12324779,-97.77179018160467,1,65,20,Entire home/apt,5.0
2,False,16,4,2051166,30.269027494418452,11102314,-97.75079203868351,1,150,13,Entire home/apt,5.0
2,True,17,4,11697746,30.266393447801466,12407108,-97.74296208617413,1,175,7,Entire home/apt,5.0
2,True,18,4,32535697,30.273278021961573,11442375,-97.75706995428762,1,141,36,Entire home/apt,5.0
2,False,1,4,6841173,30.234560894273187,6092826,-97.72850870023133,2,75,9,Entire home/apt,4.5
2,False,2,4,3105486,30.266022980982978,4111528,-97.74292591098956,2,195,130,Entire home/apt,4.5
2,False,3,4,69230070,30.266261847294043,12732180,-97.78419977747123,2,99,2,Entire home/apt,0.0
4,False,4,4,43733602,30.384173798178637,8294392,-97.91270043432773,2,139,3,Entire home/apt,5.0
1,True,5,4,67624660,30.324830510962713,12490679,-97.9570067485386,2,99,8,Entire home/apt,5.0
2,False,6,4,1742462,30.252789079763577,1317291,-97.7178179622833,2,105,123,Entire home/apt,5.0
2,False,7,4,1366664,30.26659117829543,347736,-97.73297556505858,2,149,184,Entire home/apt,5.0
3,False,8,4,11349,30.264363783436306,296286,-97.72853340932961,2,170,247,Entire home/apt,4.5
