beds,can_instant_book,guests,host_id,latitude,listing_id,longitude,rate,reviews_count,room_type,star_rating
4,False,4,43733602,30.384173798178637,8294392,-97.91270043432773,139,1,Entire home/apt,0.0
2,True,4,44664003,30.244296163892898,13571814,-97.77446858061145,85,1,Entire home/apt,0.0
2,False,4,1163788,30.35548617550156,8826075,-97.73517342650496,145,3,Entire home/apt,5.0
3,True,4,62125695,30.280312641993348,11692489,-97.71198956804528,69,15,Entire home/apt,5.0
2,False,4,11604906,30.267369709585125,13098185,-97.73021406282369,139,2,Entire home/apt,0.0
2,False,4,9122785,30.258732572419547,13235265,-97.73878925654681,195,1,Entire home/apt,0.0
3,False,4,1710742,30.266132873902517,1776078,-97.74099020373427,170,51,Entire home/apt,5.0
2,False,4,37187748,30.24909724797842,13705888,-97.76902655445426,159,0,Entire home/apt,0.0
2,False,4,6411363,30.249597477075444,10582463,-97.72964396082737,175,30,Entire home/apt,4.5
1,False,4,669759,30.26754168428559,13345859,-97.74236232218331,209,1,Entire home/apt,0.0
2,False,4,61292,30.252426997224834,1880094,-97.72130443699048,140,240,Entire home/apt,5.0
2,True,4,11697746,30.266393447801466,12407108,-97.74296208617413,175,6,Entire home/apt,5.0
3,False,4,48115430,30.267509252777664,9262046,-97.74443869730504,220,46,Entire home/apt,5.0
3,True,4,5006985,30.25666752023127,5194686,-97.72200565880811,100,164,Entire home/apt,4.5
2,False,4,44487,30.24600551729721,10331035,-97.73953086396806,163,31,Entire home/apt,5.0
2,False,4,39770452,30.23287729435055,7583880,-97.73332641212815,68,13,Entire home/apt,5.0
2,False,4,406286,30.289151842915935,12324779,-97.77179018160467,65,18,Entire home/apt,5.0
1,False,4,62096115,30.29239187835322,13155640,-97.72202262685302,85,1,Entire home/apt,0.0
3,True,4,5530934,30.273597544140046,9234951,-97.72086062239147,109,52,Entire home/apt,4.5
2,False,4,3529258,30.259784694123542,1420997,-97.75171526942692,175,57,Entire home/apt,5.0
3,False,4,1710742,30.266132873902517,1776078,-97.74099020373427,170,51,Entire home/apt,5.0
7,False,4,4641823,30.282757344198814,5279482,-97.7487647678362,200,14,Entire home/apt,4.0
3,False,4,48115430,30.267509252777664,9262046,-97.74443869730504,220,46,Entire home/apt,5.0
2,False,4,8014187,30.260198533345044,1499714,-97.73268559586583,114,118,Entire home/apt,5.0
2,True,4,1126275,30.276741726429744,8267598,-97.72854700563431,148,40,Entire home/apt,4.5
1,False,4,3867072,30.25635375381742,10426783,-97.75481412005603,125,23,Entire home/apt,5.0
2,False,4,1808807,30.25520389939593,357529,-97.76862036143612,175,62,Entire home/apt,5.0
1,False,4,1735494,30.25185066521402,342039,-97.73104469702398,160,154,Entire home/apt,5.0
2,False,4,44487,30.24600551729721,10331035,-97.73953086396806,163,31,Entire home/apt,5.0
2,False,4,9017657,30.322533532818362,1709120,-97.72112383798257,90,57,Entire home/apt,5.0
3,True,4,9328324,30.320191790446586,4198303,-97.68427168934373,79,82,Entire home/apt,5.0
2,False,4,1284548,30.279170111567325,244785,-97.71563948986301,135,359,Entire home/apt,5.0
8,False,4,1871009,30.26629698471419,371539,-97.74240269310961,490,69,Entire home/apt,5.0
2,False,4,19929344,30.282299875220023,11066765,-97.75794265804478,170,20,Entire home/apt,5.0
2,False,4,6411363,30.249597477075444,10582463,-97.72964396082737,175,30,Entire home/apt,4.5
3,False,4,50214619,30.27775470332966,9731339,-97.75731367898028,125,28,Entire home/apt,5.0
2,False,4,1654178,30.26778231698989,323733,-97.74562785704083,199,153,Entire home/apt,5.0
3,True,4,39755991,30.227567984746777,9057253,-97.79976673556467,119,29,Entire home/apt,4.5
7,False,4,4641823,30.282757344198814,5279482,-97.7487647678362,200,14,Entire home/apt,4.0
2,False,4,4150951,30.23735341681838,1717328,-97.75857547379428,165,61,Entire home/apt,5.0
2,True,4,28369509,30.265470605343378,8968150,-97.7409005726452,185,21,Entire home/apt,4.5
2,False,4,5838877,30.273720412520806,2384045,-97.72315111696234,210,70,Entire home/apt,5.0
2,True,4,58894036,30.264212925123964,11340543,-97.73184040178772,300,11,Entire home/apt,5.0
5,True,4,9720111,30.26430014601005,12427303,-97.74083501500978,175,2,Entire home/apt,0.0
1,False,4,1735494,30.25185066521402,342039,-97.73104469702398,160,154,Entire home/apt,5.0
2,False,4,1742462,30.252789079763577,1317291,-97.7178179622833,105,121,Entire home/apt,5.0
2,False,4,5150771,30.260926909362656,5510293,-97.7616994288748,209,90,Entire home/apt,5.0
3,True,4,23875599,30.233790042489886,11554590,-97.78003610082308,129,22,Entire home/apt,5.0
2,False,4,59894416,30.236070835440078,11530645,-97.75048810297898,200,19,Entire home/apt,5.0
2,False,4,60049116,30.25459117259686,13001475,-97.71780737107177,86,1,Entire home/apt,0.0
3,True,4,9057477,30.241161467403163,8551560,-97.73458826198706,290,4,Entire home/apt,5.0
1,True,4,56140116,30.250581997251725,10839673,-97.75323557742568,75,10,Entire home/apt,5.0
3,False,4,56230260,30.395698880521174,13115533,-97.91872225443664,315,3,Entire home/apt,5.0
3,True,4,2207307,30.300061246607516,701392,-97.74065931321016,228,53,Entire home/apt,5.0
2,False,4,8428581,30.248294359161108,1704436,-97.74655741233293,165,32,Entire home/apt,5.0
2,False,4,1770424,30.278745658687924,349447,-97.72359170326176,155,192,Entire home/apt,5.0
3,False,4,274880,30.242665598667298,7884319,-97.73168560375441,95,22,Entire home/apt,4.5
2,False,4,47585967,30.277642373556723,9136983,-97.7180033656353,119,13,Entire home/apt,5.0
3,False,4,1827958,30.258900326692334,1822588,-97.72660819648553,250,80,Entire home/apt,5.0
3,False,4,43225734,30.265578754675587,8194938,-97.74145169982933,230,66,Entire home/apt,5.0
1,False,4,11365756,30.2490378597639,10293113,-97.73476007255861,100,11,Entire home/apt,5.0
4,True,4,372205,30.416915530030625,13488614,-97.89023857914898,350,0,Entire home/apt,0.0
1,True,4,7976770,30.246600019913906,587572,-97.76628339444244,195,61,Entire home/apt,5.0
2,False,4,16254839,30.256580035117786,3504013,-97.77490881808691,189,66,Entire home/apt,5.0
2,True,4,27255716,30.314962488388662,5265366,-97.71907152051571,88,16,Entire home/apt,5.0
3,False,4,2192271,30.229508408035905,12191405,-97.77178531462451,109,1,Entire home/apt,0.0
3,True,4,41856779,30.267998628280186,10850697,-97.74955993444794,145,15,Entire home/apt,4.5
2,False,4,5838877,30.273720412520806,2384045,-97.72315111696234,210,70,Entire home/apt,5.0
4,True,4,1794383,30.26021229468602,11144738,-97.72830587103466,200,20,Entire home/apt,5.0
3,True,4,39755991,30.227567984746777,9057253,-97.79976673556467,119,29,Entire home/apt,4.5
3,False,4,9872958,30.24554306010905,6234498,-97.74790754973972,225,12,Entire home/apt,5.0
2,False,4,1921749,30.263598379165973,383689,-97.74203746508957,225,254,Entire home/apt,5.0
1,True,4,971049,30.254804064516144,10150174,-97.74524128365002,180,12,Entire home/apt,4.5
2,False,4,33938684,30.279381796992183,13185251,-97.67825293731184,90,5,Entire home/apt,4.5
8,True,4,4689326,30.252458383293185,1683591,-97.74823497416715,800,70,Entire home/apt,5.0
4,False,4,2748372,30.302056287316507,648202,-97.73894503923489,236,65,Entire home/apt,5.0
2,False,4,66233464,30.257192766342524,12289775,-97.72229454666764,100,6,Entire home/apt,5.0
3,False,4,50214619,30.27775470332966,9731339,-97.75731367898028,125,28,Entire home/apt,5.0
2,False,4,6411363,30.249597477075444,10582463,-97.72964396082737,175,30,Entire home/apt,4.5
2,True,4,62195669,30.288992302122086,11701403,-97.75132703072116,60,13,Entire home/apt,4.5
2,False,4,1808807,30.25520389939593,357529,-97.76862036143612,175,62,Entire home/apt,5.0
1,False,4,23393057,30.26238032214638,11211179,-97.77606012499018,176,16,Entire home/apt,5.0
1,False,4,11365756,30.2490378597639,10293113,-97.73476007255861,100,11,Entire home/apt,5.0
4,False,4,4597887,30.207105383890536,3373305,-97.78594967805961,218,160,Entire home/apt,5.0
2,False,4,1232812,30.256100873711784,1703216,-97.76680625073973,205,84,Entire home/apt,5.0
1,False,4,3867072,30.25635375381742,10426783,-97.75481412005603,125,23,Entire home/apt,5.0
2,True,4,44664003,30.244296163892898,13571814,-97.77446858061145,85,1,Entire home/apt,0.0
2,True,4,47563026,30.268538968082936,11227350,-97.75276448088226,400,16,Entire home/apt,5.0
7,True,4,23875599,30.232439688751114,7351170,-97.77998492861562,299,44,Entire home/apt,5.0
2,True,4,44664003,30.24642304000244,8480556,-97.77122982891468,95,33,Entire home/apt,5.0
1,False,4,39236263,30.247723341144194,12544666,-97.74593437162919,150,7,Entire home/apt,5.0
4,False,4,43733602,30.384173798178637,8294392,-97.91270043432773,139,1,Entire home/apt,0.0
3,True,4,1640172,30.284133563700074,319894,-97.6492670382323,289,6,Entire home/apt,5.0
3,False,4,2862517,30.312346382840563,4821958,-97.7295782230991,161,41,Entire home/apt,5.0
3,True,4,27966531,30.30548210407576,9562804,-97.67286848933219,150,30,Entire home/apt,5.0
2,True,4,32535697,30.279267613350783,7435259,-97.75158365539728,149,63,Entire home/apt,5.0
4,False,4,15782486,30.266990017004513,3549253,-97.74143666037928,229,34,Entire home/apt,4.5
2,False,4,9593517,30.177132483096603,13659265,-97.61875726427913,182,0,Entire home/apt,0.0
2,False,4,3787962,30.28457062343547,733965,-97.71332530201333,125,49,Entire home/apt,5.0
5,False,4,979144,30.323160583394305,10540208,-97.78886648600466,400,5,Entire home/apt,5.0
2,False,4,19703171,30.321460804583804,13259299,-97.67344334638524,125,2,Entire home/apt,0.0
1,True,4,3621294,30.306175044084494,10872830,-97.7524944646714,134,15,Entire home/apt,5.0
3,False,4,5440877,30.236397697446325,4025723,-97.77843641218836,104,31,Entire home/apt,5.0
3,False,4,46659535,30.440506983732163,8980721,-97.78001430035538,97,13,Entire home/apt,5.0
1,False,4,60416444,30.401209292755826,13574403,-97.74021258393935,83,3,Entire home/apt,5.0
2,True,4,27637240,30.311161530929688,7980816,-97.74596809694064,100,35,Entire home/apt,5.0
3,False,4,25436163,30.284220805143605,13426620,-97.74999894830052,99,3,Entire home/apt,4.5
2,False,4,37187748,30.24909724797842,13705888,-97.76902655445426,159,0,Entire home/apt,0.0
