bedrooms,can_instant_book,counter,guests,host_id,latitude,listing_id,longitude,page,rate,reviews_count,room_type,star_rating
1,True,1,4,33465942,43.627502150376564,8702881,-116.20397627037232,1,50,79,Entire home/apt,5.0
2,False,2,4,2573262,43.62322255233293,1542237,-116.22429057698852,1,99,127,Entire home/apt,5.0
2,False,3,4,2220361,43.596273837470136,8775261,-116.21251845643947,1,71,52,Entire home/apt,5.0
2,True,4,4,802753,43.61001772312799,12829262,-116.15808229411147,1,80,18,Entire home/apt,5.0
2,False,5,4,11082689,43.61757820272842,4382855,-116.21539814569917,1,90,95,Entire home/apt,5.0
3,False,6,4,76460841,43.624927863841705,13417693,-116.22359038875369,1,80,9,Entire home/apt,5.0
1,False,7,4,34357362,43.642580693916145,8904703,-116.2318115924668,1,73,47,Entire home/apt,5.0
1,False,8,4,52709484,43.574368904570015,10254333,-116.19328304496726,1,80,50,Entire home/apt,5.0
3,False,9,4,49569386,43.601283474135414,9575568,-116.2377379948016,1,78,34,Entire home/apt,5.0
0,True,10,4,23944770,43.60726371190559,5193210,-116.17357526834468,1,119,54,Entire home/apt,5.0
2,True,11,4,31211368,43.60248299810125,11829026,-116.16900416580802,1,85,67,Entire home/apt,5.0
1,False,12,4,18221780,43.63170518582402,8133636,-116.20465661450598,1,39,43,Entire home/apt,4.5
3,False,13,4,31039259,43.59539907892127,8406691,-116.18649079352653,1,120,16,Entire home/apt,5.0
2,False,14,4,28279346,43.628424629932525,9457929,-116.20902982686417,1,75,16,Entire home/apt,5.0
2,False,15,4,55179186,43.62366886075159,11241057,-116.22144988074957,1,110,48,Entire home/apt,5.0
1,True,16,4,73014862,43.61835801605717,13140317,-116.222640602607,1,106,9,Entire home/apt,5.0
4,True,17,4,1620904,43.626396987541966,3217788,-116.19609976690913,1,229,29,Entire home/apt,5.0
2,True,18,4,78540493,43.586243316994036,13592081,-116.19166543266812,1,90,6,Entire home/apt,5.0
2,True,1,4,44459472,43.61069539104088,9961444,-116.24800751784848,2,78,16,Entire home/apt,5.0
3,True,2,4,28279346,43.6157017138723,5452349,-116.18057940154107,2,99,46,Entire home/apt,5.0
2,True,3,4,55353314,43.615866779609604,10828106,-116.30500183734414,2,82,38,Entire home/apt,5.0
2,False,4,4,31211368,43.602253090124336,13898590,-116.17087547813179,2,70,19,Entire home/apt,5.0
2,True,5,4,49018317,43.59488297036145,9459318,-116.24767075087921,2,99,28,Entire home/apt,5.0
2,False,6,4,11082689,43.61757820272842,4382855,-116.21539814569917,2,90,95,Entire home/apt,5.0
0,True,7,4,23944770,43.60726371190559,5193210,-116.17357526834468,2,119,54,Entire home/apt,5.0
3,False,8,4,39175017,43.56045787731371,9257815,-116.29960664492346,2,79,6,Entire home/apt,5.0
2,True,9,4,45599616,43.62341169627564,10488695,-116.21494431363298,2,154,5,Entire home/apt,5.0
1,True,10,4,8270050,43.62990151363031,1970287,-116.20204453332855,2,99,32,Entire home/apt,5.0
1,False,11,4,5748513,43.63233490537592,1044081,-116.19721585244304,2,210,34,Entire home/apt,5.0
4,True,12,4,19252931,43.60148073149555,11609564,-116.21615390340067,2,89,7,Entire home/apt,4.0
2,False,13,4,45872893,43.57394098952627,13302328,-116.16354292866116,2,80,7,Entire home/apt,5.0
1,False,14,4,37487642,43.580156234472526,7158288,-116.29487498861974,2,89,47,Entire home/apt,4.5
2,False,15,4,1333996,43.630541958717714,13460634,-116.20195523421168,2,145,9,Entire home/apt,4.5
2,True,16,4,66081676,43.629877470292186,12421500,-116.21498175621738,2,109,2,Entire home/apt,0.0
2,False,17,4,30719356,43.63261601908113,5915341,-116.22139603830406,2,115,15,Entire home/apt,5.0
2,False,18,4,2573262,43.62322255233293,1542237,-116.22429057698852,2,99,127,Entire home/apt,5.0
3,True,1,4,20045518,43.632455132230064,13811140,-116.22672394576732,3,75,4,Entire home/apt,5.0
1,False,2,4,45822513,43.56058222988852,14089380,-116.30924915851068,3,60,0,Entire home/apt,0.0
2,True,3,4,16854494,43.59940587838325,5958723,-116.20265440885719,3,85,66,Entire home/apt,5.0
2,True,4,4,45002261,43.61871229920917,9875510,-116.23677258922262,3,89,37,Entire home/apt,5.0
