bedrooms,can_instant_book,counter,guests,host_id,latitude,listing_id,longitude,page,rate,reviews_count,room_type,star_rating
2,False,1,4,20068676,40.01988914681113,11970897,-105.25506385513349,1,115,17,Entire home/apt,5.0
3,False,2,4,278738,40.036844462744085,8067572,-105.27636287254722,1,150,8,Entire home/apt,4.5
2,False,3,4,10370120,40.01390516865192,8512813,-105.2931130073785,1,164,4,Entire home/apt,4.0
2,False,4,4,3510272,40.022083592990704,3790762,-105.29011861413588,1,129,12,Entire home/apt,5.0
2,True,5,4,14859384,40.06066006250299,2908619,-105.21508884594644,1,100,8,Entire home/apt,5.0
2,False,6,4,10252290,40.020904198353286,1987807,-105.26784036230048,1,199,36,Entire home/apt,5.0
2,False,7,4,25146531,40.05349957125495,4887726,-105.28073292183848,1,125,4,Entire home/apt,5.0
2,False,8,4,14982201,39.99569564462939,2934130,-105.25971791869895,1,85,13,Entire home/apt,4.5
1,True,9,4,47644748,40.04876619398505,9151242,-105.27268481301465,1,122,39,Entire home/apt,4.5
2,True,10,4,15064380,40.02266563073791,4046933,-105.2725054630392,1,135,44,Entire home/apt,5.0
2,True,11,4,7921250,40.01368912229857,14302099,-105.29300639455089,1,152,2,Entire home/apt,0.0
3,False,12,4,49410388,39.97411881642405,13362611,-105.25361085512543,1,125,3,Entire home/apt,4.5
2,False,13,4,41112798,39.953409502327105,12190751,-105.23083607130299,1,169,23,Entire home/apt,5.0
3,False,14,4,3453941,40.034425480583074,4617029,-105.34424785942656,1,325,27,Entire home/apt,5.0
1,True,15,4,442626,40.0218012705743,581479,-105.27391128636464,1,175,34,Entire home/apt,5.0
2,True,16,4,1415509,40.0160404348342,10343249,-105.29406807714402,1,199,12,Entire home/apt,5.0
1,False,17,4,1675394,40.02298723859376,327818,-105.267026089952,1,119,195,Entire home/apt,5.0
2,False,18,4,1307365,39.98821294697933,14439643,-105.22936077319781,1,120,2,Entire home/apt,0.0
1,True,1,4,3211637,40.03098922489241,11222127,-105.26025898377289,2,179,6,Entire home/apt,5.0
2,True,2,4,4272021,40.027521425601236,5839400,-105.25383592173054,2,100,39,Entire home/apt,4.5
2,False,3,4,17299191,40.0362231209272,13531124,-105.24834760957091,2,110,7,Entire home/apt,4.5
2,False,4,4,8106959,40.060444915599255,1518830,-105.2165473721611,2,99,40,Entire home/apt,5.0
2,False,5,4,13306077,40.00647743070081,10687496,-105.24518643982083,2,159,11,Entire home/apt,5.0
2,False,6,4,69411396,40.01823023842641,12759766,-105.288685984023,2,185,3,Entire home/apt,5.0
4,False,7,4,19063146,40.00981724088327,12783890,-105.28758660210448,2,275,9,Entire home/apt,5.0
2,False,8,4,9562005,40.04215922839914,1827448,-105.28742597227661,2,84,21,Entire home/apt,4.5
3,False,9,4,4619685,40.02482402913862,4854364,-105.27784790589392,2,190,25,Entire home/apt,4.5
2,True,10,4,1031471,40.0229376261874,14182618,-105.28537331885761,2,179,5,Entire home/apt,5.0
3,False,11,4,2704034,40.04878726434689,12708387,-105.28197533334283,2,250,8,Entire home/apt,5.0
2,False,12,4,22501176,40.03810638685534,4333668,-105.25803279074286,2,120,40,Entire home/apt,5.0
2,False,13,4,2527109,40.011014704456876,13716618,-105.26213110854582,2,199,3,Entire home/apt,5.0
3,False,14,4,680720,39.99043562583715,139585,-105.25689805649583,2,149,7,Entire home/apt,5.0
1,False,15,4,42505271,40.01207597662794,8048716,-105.27675202076566,2,119,53,Entire home/apt,5.0
2,False,16,4,14098881,40.022329252908456,13624400,-105.28612665648492,2,141,2,Entire home/apt,0.0
2,False,17,4,9584021,40.023276028662245,8308885,-105.28514504516717,2,180,1,Entire home/apt,0.0
0,True,18,4,55309498,40.009503554273245,10731530,-105.28564070990059,2,120,54,Entire home/apt,5.0
2,False,1,4,22375432,40.02119260318238,4310602,-105.27220671865916,3,185,38,Entire home/apt,5.0
0,False,2,4,9703628,40.016263088586854,1860042,-105.27371661659112,3,250,73,Entire home/apt,5.0
1,False,3,4,28401823,40.026273466550194,8372039,-105.2752553775168,3,114,5,Entire home/apt,5.0
0,False,4,4,37915256,40.03189575774031,7241551,-105.27486203021832,3,120,27,Entire home/apt,5.0
1,False,5,4,23702081,40.018521861051646,4572498,-105.26691465839141,3,190,25,Entire home/apt,4.5
2,False,6,4,1897676,40.017071824553206,13506806,-105.27298086067776,3,125,12,Entire home/apt,5.0
2,True,7,4,88249999,40.01610102685448,14382741,-105.26550389949564,3,305,3,Entire home/apt,5.0
2,False,8,4,19444472,40.01126400991472,6333067,-105.26290350962114,3,150,45,Entire home/apt,5.0
2,False,9,4,60086097,40.01876110896834,11435456,-105.26798118859612,3,225,15,Entire home/apt,5.0
3,False,10,4,77924808,40.02217711885116,13543266,-105.27827645278566,3,300,5,Entire home/apt,5.0
2,False,11,4,9869055,39.96614562670776,8963082,-105.25399923886957,3,105,0,Entire home/apt,0.0
2,True,12,4,59804702,40.01925679339956,11396801,-105.26665272969667,3,199,9,Entire home/apt,5.0
1,False,13,4,3219679,40.01487455351902,643741,-105.32435124687511,3,95,29,Entire home/apt,4.5
1,True,14,4,48444430,40.01555477314216,9794687,-105.30123505835894,3,195,6,Entire home/apt,5.0
2,False,15,4,464644,40.0000841911603,84932,-105.28639180603737,3,170,249,Entire home/apt,4.5
2,False,16,4,9857388,40.05865366525597,14549043,-105.28111375351023,3,125,1,Entire home/apt,0.0
1,False,17,4,14138024,40.06377996117632,2764135,-105.09890994499094,3,150,1,Entire home/apt,0.0
2,False,18,4,8585639,39.998428344571664,12319171,-105.23142434939574,3,199,4,Entire home/apt,5.0
2,False,1,4,26952480,40.0349446545747,6034460,-105.24590335852854,4,88,14,Entire home/apt,4.5
2,False,2,4,2840163,40.021826475072544,866125,-105.27665524757784,4,195,112,Entire home/apt,4.5
