bedrooms,can_instant_book,counter,guests,host_id,latitude,listing_id,longitude,page,rate,reviews_count,room_type,star_rating
2,False,1,4,13339065,45.67759774848521,11277294,-111.04925973040434,1,110,16,Entire home/apt,5.0
2,False,2,4,85734588,45.70739745572436,14167804,-110.85880112621345,1,125,12,Entire home/apt,5.0
1,False,3,4,12813930,45.68297368349593,2503155,-111.03888366131476,1,125,83,Entire home/apt,5.0
2,True,4,4,787722,45.6863031982948,3802860,-111.03607662169858,1,89,22,Entire home/apt,5.0
1,False,5,4,24500843,45.63686634790258,6778288,-111.12971869933645,1,98,45,Entire home/apt,5.0
1,True,6,4,69216074,45.68007206874877,12729357,-111.10153373225505,1,109,22,Entire home/apt,5.0
2,True,7,4,43190990,45.68649857616051,14213824,-111.0302314488037,1,100,0,Entire home/apt,0.0
1,True,8,4,5649163,45.690828315766645,14517494,-111.04879683873673,1,85,8,Entire home/apt,5.0
3,False,9,4,18613890,45.677054911559104,4477228,-111.04431479305286,1,195,32,Entire home/apt,5.0
3,False,10,4,21106020,45.68222373674272,11456945,-111.05727032645592,1,100,38,Entire home/apt,4.5
2,True,11,4,43029722,45.668640392887426,8150142,-111.13347008194663,1,150,26,Entire home/apt,5.0
2,False,12,4,43904674,45.59396560188915,8328493,-111.04553914116742,1,190,14,Entire home/apt,4.5
3,False,13,4,8287259,45.664592311818666,2536175,-111.03909515750664,1,190,45,Entire home/apt,5.0
1,False,14,4,6542194,45.74108236217011,3129690,-111.05926655969112,1,195,36,Entire home/apt,5.0
4,False,15,4,18096695,45.67674915141409,12557854,-111.04875456330932,1,250,14,Entire home/apt,5.0
2,True,16,4,48903462,45.70580153985363,9445398,-110.97807811287863,1,98,27,Entire home/apt,4.5
2,False,17,4,44874042,45.679025525875566,8522409,-111.10260993361149,1,119,15,Entire home/apt,5.0
2,False,18,4,74838785,45.6615875232065,13277604,-111.03320274539838,1,150,25,Entire home/apt,4.5
2,False,1,4,20035054,45.68651558636184,13546944,-111.0399035970811,2,95,5,Entire home/apt,5.0
2,False,2,4,29822698,45.67459888726861,7823182,-111.04910505452926,2,195,8,Entire home/apt,5.0
1,False,3,4,1610972,45.68245635682476,5448050,-111.04289489281082,2,119,13,Entire home/apt,4.5
3,False,4,4,4385823,45.86750934668868,5571210,-110.83172513380033,2,175,13,Entire home/apt,5.0
2,False,5,4,82664349,45.68195324443059,13922674,-111.04930566560394,2,95,12,Entire home/apt,5.0
2,False,6,4,74838785,45.6615875232065,13277604,-111.03320274539838,2,150,25,Entire home/apt,4.5
2,False,7,4,43904674,45.59396560188915,8328493,-111.04553914116742,2,190,14,Entire home/apt,4.5
3,True,8,4,68872256,45.669732258819906,12675495,-111.03460412276505,2,130,12,Entire home/apt,5.0
3,True,9,4,24970222,45.70409862343587,10156114,-110.98568328906653,2,200,12,Entire home/apt,5.0
2,False,10,4,190138,45.68261288421224,3372306,-111.04365569512217,2,159,18,Entire home/apt,5.0
3,False,11,4,535397,45.691656262787674,13369504,-111.08652398326574,2,169,7,Entire home/apt,5.0
4,False,12,4,18096695,45.67674915141409,12557854,-111.04875456330932,2,250,14,Entire home/apt,5.0
3,False,13,4,14843944,45.70654056576898,7855037,-111.02269616322674,2,175,25,Entire home/apt,5.0
2,False,14,4,52362737,45.67551702391293,10194083,-111.03352662605847,2,130,9,Entire home/apt,5.0
2,False,15,4,18706726,45.672713045258355,7809335,-111.03632527221569,2,213,7,Entire home/apt,5.0
1,False,16,4,3437116,45.67946518291364,790102,-111.02936392002717,2,85,126,Entire home/apt,4.5
1,False,17,4,15146634,45.67236017926907,2968623,-111.04979179915263,2,109,31,Entire home/apt,5.0
4,False,18,4,66827649,45.66492209453071,12368397,-110.99956867214861,2,150,9,Entire home/apt,5.0
2,True,1,4,80521705,45.67923113266946,13750146,-111.02810557882535,3,125,10,Entire home/apt,4.5
2,True,2,4,34773898,45.6770420185654,6644164,-111.03438072988641,3,153,23,Entire home/apt,5.0
2,False,3,4,52362737,45.67551702391293,10194083,-111.03352662605847,3,130,9,Entire home/apt,5.0
2,True,4,4,86626459,45.68541290421163,14240169,-111.03335811307805,3,179,3,Entire home/apt,5.0
3,False,5,4,14843944,45.70654056576898,7855037,-111.02269616322674,3,175,25,Entire home/apt,5.0
2,False,6,4,59367771,45.68548991414599,13134675,-111.04055064193345,3,185,3,Entire home/apt,5.0
2,False,7,4,190138,45.68261288421224,3372306,-111.04365569512217,3,159,18,Entire home/apt,5.0
2,False,8,4,31626657,45.66106692038325,6094117,-111.02427122850547,3,125,16,Entire home/apt,5.0
3,False,9,4,4385823,45.86750934668868,5571210,-110.83172513380033,3,175,13,Entire home/apt,5.0
1,False,10,4,42939495,45.675618092675165,8131484,-111.05267680683872,3,120,8,Entire home/apt,4.5
4,False,11,4,66827649,45.66492209453071,12368397,-110.99956867214861,3,150,9,Entire home/apt,5.0
4,False,12,4,18096695,45.67674915141409,12557854,-111.04875456330932,3,250,14,Entire home/apt,5.0
5,False,13,4,50080761,45.743536142203034,9698006,-111.06575782533422,3,130,14,Entire home/apt,5.0
