bedrooms,can_instant_book,counter,guests,host_id,latitude,listing_id,longitude,page,rate,reviews_count,room_type,star_rating
1,False,1,4,29004115,39.47382234421401,6094610,-106.03399980682372,1,90,75,Entire home/apt,5.0
1,True,2,4,48571324,39.48354270598572,9359840,-106.04227554396572,1,79,32,Entire home/apt,5.0
2,False,3,4,24875726,39.5399892988088,10042343,-106.04012116979493,1,90,13,Entire home/apt,5.0
2,True,4,4,71641772,39.481136389726935,13290604,-106.03978070176997,1,80,12,Entire home/apt,4.5
1,True,5,4,14503651,39.47730191828887,4668769,-106.05259006965923,1,125,51,Entire home/apt,5.0
0,True,6,4,10371871,39.47594076378935,7922491,-106.04667684655867,1,95,35,Entire home/apt,4.5
1,False,7,4,11025665,39.475471159499484,12707559,-106.04317211412635,1,105,0,Entire home/apt,0.0
0,True,8,4,5518534,39.48028159046952,1003537,-106.04881294428017,1,95,137,Entire home/apt,4.5
1,False,9,4,17223593,39.480423584524694,4243600,-106.0469189951286,1,79,88,Entire home/apt,5.0
2,False,10,4,27226840,39.478241945097054,5656495,-106.0532879701169,1,190,13,Entire home/apt,5.0
2,False,11,4,436774,39.477378226870734,80728,-106.0510590533237,1,196,41,Entire home/apt,4.5
2,False,12,4,36657913,39.485286244781335,6991942,-106.04717851941878,1,60,9,Entire home/apt,5.0
1,False,13,4,45216770,39.476808266613666,8630801,-106.04606278102132,1,109,15,Entire home/apt,5.0
2,False,14,4,7721965,39.482095552497526,13867299,-106.05884413846933,1,123,1,Entire home/apt,0.0
2,False,15,4,35480005,39.4739943579226,9995494,-106.0436014954052,1,133,4,Entire home/apt,5.0
2,True,16,4,68364621,39.48237568951428,12637905,-106.05046697181051,1,105,3,Entire home/apt,5.0
2,True,17,4,75495306,39.53980925046716,13334658,-106.03529379299023,1,125,6,Entire home/apt,5.0
2,False,18,4,16342066,39.47487684798818,4946649,-106.03086738503805,1,75,66,Entire home/apt,4.5
2,False,1,4,49431469,39.47553515287009,9545000,-106.03177543175869,2,299,3,Entire home/apt,5.0
3,False,2,4,6491832,39.47668086243652,12814365,-106.03475752424143,2,90,12,Entire home/apt,5.0
0,False,3,4,83510559,39.481940537188265,13989418,-106.03813330301368,2,210,6,Entire home/apt,5.0
3,True,4,4,83909392,39.35161029125427,14154212,-106.06450202169775,2,135,0,Entire home/apt,0.0
2,False,5,4,77981639,39.48022941266651,13547957,-106.0468188959566,2,196,11,Entire home/apt,4.5
3,False,6,4,36527966,39.46979544907504,6966741,-106.01677966731727,2,225,3,Entire home/apt,5.0
2,False,7,4,1604699,39.383803697717816,12092824,-106.06779040605305,2,190,25,Entire home/apt,5.0
1,False,8,4,6229029,39.54191196623984,3677894,-106.03714348409304,2,135,17,Entire home/apt,4.5
1,False,9,4,21339511,39.473664725808895,14022073,-106.04390824354485,2,140,2,Entire home/apt,0.0
2,True,10,4,64472111,39.397282596466056,12321487,-106.04463151571392,2,165,3,Entire home/apt,5.0
3,True,11,4,30120327,39.47368591371787,8460367,-106.0449665212958,2,325,22,Entire home/apt,5.0
2,False,12,4,6661791,39.503076265769636,1221153,-106.05975143673261,2,120,63,Entire home/apt,5.0
0,False,13,4,79084025,39.47206646760664,13636292,-106.04479701473022,2,150,11,Entire home/apt,5.0
0,False,14,4,3322523,39.4736926994442,7033694,-106.04498098382642,2,75,71,Entire home/apt,5.0
2,True,15,4,33579595,39.488183604442646,6433236,-106.04616356068576,2,180,27,Entire home/apt,5.0
2,True,16,4,11752701,39.48061572310298,4619672,-106.04991599105132,2,299,20,Entire home/apt,5.0
2,True,17,4,28259144,39.47546954600665,9794632,-106.04380909306364,2,174,0,Entire home/apt,0.0
1,False,18,4,760532,39.47397418228523,3595460,-106.03483735287602,2,115,36,Entire home/apt,5.0
2,False,1,4,33064852,39.47756216998941,9757960,-106.04366182451984,3,150,8,Entire home/apt,5.0
2,False,2,4,39158621,39.42158048016835,10055342,-106.04361824598625,3,118,3,Entire home/apt,4.5
1,False,3,4,16135669,39.48064242651603,3182427,-106.04807828388505,3,99,62,Entire home/apt,4.5
1,True,4,4,7364121,39.48339205416556,13766150,-106.04554906059927,3,100,1,Entire home/apt,0.0
1,False,5,4,3126509,39.40098210186116,11117564,-106.0513423436082,3,75,16,Entire home/apt,5.0
1,False,6,4,25811033,39.481758343514855,5005243,-106.04680456933994,3,99,26,Entire home/apt,5.0
1,False,7,4,58491178,39.47747694994638,11224597,-106.0434976536141,3,99,24,Entire home/apt,4.5
0,False,8,4,56497,39.479222092818524,4866777,-106.05331595862823,3,115,98,Entire home/apt,5.0
2,True,9,4,78479795,39.4673451909374,13588582,-106.04556820166567,3,104,6,Entire home/apt,5.0
1,True,10,4,37176314,39.47631742133103,11068596,-106.04674591236763,3,119,2,Entire home/apt,0.0
