beds,can_instant_book,counter,guests,host_id,latitude,listing_id,longitude,page,rate,reviews_count,room_type,star_rating
2,False,1,4,51549122,41.47969945275738,10344121,-81.7204113501994,1,90,20,Entire home/apt,5.0
4,False,2,4,29593239,41.437770675513065,5707933,-81.71461145153843,1,75,36,Entire home/apt,5.0
2,True,3,4,15565432,41.48927717849616,3057963,-81.71218665192711,1,140,123,Entire home/apt,5.0
2,False,4,4,28817268,41.49913293368149,5558625,-81.69738026774917,1,189,57,Entire home/apt,5.0
2,False,5,4,22945486,41.476988353456925,10289671,-81.68915099340343,1,200,24,Entire home/apt,5.0
2,True,6,4,58738289,41.50100240711587,13259465,-81.69930982346493,1,600,0,Entire home/apt,0.0
2,False,7,4,33901881,41.501446178920794,6487183,-81.66842810093652,1,120,30,Entire home/apt,4.5
1,True,8,4,2989880,41.57234716032222,5783361,-81.56874238631083,1,50,108,Entire home/apt,4.5
1,False,9,4,44869753,41.477981189140166,8521491,-81.6845426362441,1,98,39,Entire home/apt,5.0
3,False,10,4,77148900,41.50104103808165,13478156,-81.69001903925016,1,127,3,Entire home/apt,5.0
3,False,11,4,915833,41.48228823852349,6157309,-81.71342228204483,1,190,46,Entire home/apt,5.0
3,True,12,4,34381547,41.48124835924522,8408792,-81.68143181411924,1,170,20,Entire home/apt,5.0
2,True,13,4,12029973,41.48413931878231,7474840,-81.60105142033552,1,117,12,Entire home/apt,5.0
1,True,14,4,13921092,41.47911370596533,2720397,-81.68720744521364,1,110,5,Entire home/apt,5.0
2,False,15,4,57898740,41.48310828731908,11253609,-81.70501966186173,1,75,6,Entire home/apt,5.0
3,True,16,4,12971503,41.47848019688154,2532682,-81.68073187349562,1,300,10,Entire home/apt,5.0
1,False,17,4,658846,41.48305359114568,6061230,-81.71743763440284,1,95,23,Entire home/apt,4.0
2,False,18,4,697889,41.4719962844414,13770290,-81.69121098107958,1,85,0,Entire home/apt,0.0
3,True,1,4,34381547,41.48124835924522,8408792,-81.68143181411924,2,170,20,Entire home/apt,5.0
2,True,2,4,80555607,41.502287929922446,13752529,-81.67750427883863,2,90,2,Entire home/apt,0.0
2,False,3,4,45471885,41.477714748323606,8924256,-81.68435062238035,2,149,25,Entire home/apt,5.0
2,True,4,4,77507887,41.579865118914974,13507351,-81.57337303250596,2,75,0,Entire home/apt,0.0
2,False,5,4,697889,41.4719962844414,13770290,-81.69121098107958,2,85,0,Entire home/apt,0.0
2,True,6,4,79582599,41.50157608050017,13675671,-81.68888567653107,2,550,0,Entire home/apt,0.0
2,False,7,4,79574102,41.499262960571755,13675130,-81.68900048961581,2,875,0,Entire home/apt,0.0
2,False,8,4,28066974,41.478960298309126,12808270,-81.6866106305662,2,150,3,Entire home/apt,5.0
2,True,9,4,77378488,41.49979938718588,13495656,-81.68759362950657,2,4000,0,Entire home/apt,0.0
10,False,10,4,37346515,41.42919031193994,7130551,-81.69184564826593,2,142,45,Entire home/apt,5.0
1,False,11,4,28817268,41.501285175675704,8500356,-81.69776956763643,2,269,19,Entire home/apt,4.5
2,True,12,4,72315898,41.50033970267368,13058487,-81.67303446900786,2,120,1,Entire home/apt,0.0
2,True,13,4,2989880,41.56918537215634,7430343,-81.56915553674186,2,45,87,Entire home/apt,5.0
3,True,14,4,23891041,41.499866459012736,13414242,-81.70125876579533,2,1264,0,Entire home/apt,0.0
1,False,15,4,77989428,41.50386384466855,13548568,-81.68413255444061,2,400,0,Entire home/apt,0.0
2,False,16,4,28055767,41.4822640542213,5412374,-81.73805667246177,2,105,51,Entire home/apt,4.0
3,False,17,4,10750153,41.48512332339606,13460541,-81.71989221671194,2,100,2,Entire home/apt,0.0
2,True,18,4,29264248,41.48141070885488,13541499,-81.68921994636385,2,350,0,Entire home/apt,0.0
2,False,1,4,74995326,41.499030957567925,13290935,-81.68911421597586,3,1000,0,Entire home/apt,0.0
2,True,2,4,44458414,41.48179656514336,12266365,-81.71513383417934,3,225,0,Entire home/apt,0.0
2,True,3,4,47664262,41.48644861892276,13435851,-81.70374910133607,3,175,3,Entire home/apt,5.0
3,True,4,4,40224633,41.48540430015522,13806340,-81.70535454841351,3,1236,0,Entire home/apt,0.0
2,False,5,4,23987821,41.48025026931986,4632197,-81.70768564911685,3,119,139,Entire home/apt,4.5
1,False,6,4,63749517,41.4983368796839,12453132,-81.68914464715394,3,675,0,Entire home/apt,0.0
2,False,7,4,60275715,41.5013789426219,12383874,-81.70003638583673,3,1500,0,Entire home/apt,0.0
1,True,8,4,40744679,41.49880648872601,12247975,-81.69910816634665,3,600,0,Entire home/apt,0.0
2,True,9,4,75829077,41.49960853550456,13602386,-81.68939912975269,3,500,0,Entire home/apt,0.0
2,False,10,4,64540922,41.497977848879465,12052194,-81.70184705097334,3,800,0,Entire home/apt,0.0
1,False,11,4,69357008,41.49642552646027,12751416,-81.69959257225695,3,700,0,Entire home/apt,0.0
2,False,12,4,19222956,41.49288819309651,13371069,-81.70558083747446,3,200,0,Entire home/apt,0.0
2,False,13,4,43937473,41.49816489227962,13233234,-81.70213623519528,3,199,3,Entire home/apt,5.0
2,True,14,4,80799240,41.49978347269233,13770505,-81.70142898697748,3,2000,0,Entire home/apt,0.0
3,True,15,4,12971503,41.47848019688154,2532682,-81.68073187349562,3,300,10,Entire home/apt,5.0
