beds,can_instant_book,guests,host_id,latitude,listing_id,longitude,rate,reviews_count,room_type,star_rating
2,False,4,28817268,41.49913293368149,5558625,-81.69738026774917,189,57,Entire home/apt,5.0
2,False,4,51549122,41.47969945275738,10344121,-81.7204113501994,90,20,Entire home/apt,5.0
3,False,4,14586274,41.59212024073457,2852836,-81.55620403671732,92,14,Entire home/apt,5.0
2,False,4,57898740,41.48310828731908,11253609,-81.70501966186173,75,6,Entire home/apt,5.0
4,False,4,29593239,41.437770675513065,5707933,-81.71461145153843,75,36,Entire home/apt,5.0
3,False,4,915833,41.48228823852349,6157309,-81.71342228204483,190,46,Entire home/apt,5.0
2,True,4,2989880,41.56918537215634,7430343,-81.56915553674186,45,87,Entire home/apt,5.0
1,True,4,13921092,41.47911370596533,2720397,-81.68720744521364,110,5,Entire home/apt,5.0
3,False,4,58704806,41.49907570655825,11720391,-81.68882688329182,190,5,Entire home/apt,5.0
2,True,4,10770266,41.505994862607665,2116800,-81.68934467521642,350,56,Entire home/apt,4.5
2,True,4,15565432,41.48927717849616,3057963,-81.71218665192711,140,123,Entire home/apt,5.0
2,True,4,12029973,41.48413931878231,7474840,-81.60105142033552,117,12,Entire home/apt,5.0
2,False,4,4928968,41.47985730980083,9272296,-81.70925122230416,77,57,Entire home/apt,5.0
1,False,4,44869753,41.477981189140166,8521491,-81.6845426362441,98,39,Entire home/apt,5.0
2,True,4,58738289,41.50100240711587,13259465,-81.69930982346493,600,0,Entire home/apt,0.0
1,True,4,76300976,41.497776734742935,13642139,-81.68721346983776,79,0,Entire home/apt,0.0
3,True,4,34381547,41.48124835924522,8408792,-81.68143181411924,170,20,Entire home/apt,5.0
2,False,4,45471885,41.477714748323606,8924256,-81.68435062238035,149,24,Entire home/apt,5.0
3,False,4,25593083,41.48212958684704,8941245,-81.58956138055099,219,6,Entire home/apt,5.0
2,True,4,77507887,41.579865118914974,13507351,-81.57337303250596,75,0,Entire home/apt,0.0
2,True,4,72315898,41.50033970267368,13058487,-81.67303446900786,120,1,Entire home/apt,0.0
2,True,4,80555607,41.502287929922446,13752529,-81.67750427883863,90,0,Entire home/apt,0.0
2,False,4,79574102,41.499262960571755,13675130,-81.68900048961581,875,0,Entire home/apt,0.0
2,True,4,77378488,41.49979938718588,13495656,-81.68759362950657,4000,0,Entire home/apt,0.0
10,False,4,37346515,41.42919031193994,7130551,-81.69184564826593,142,45,Entire home/apt,5.0
1,False,4,63749517,41.4983368796839,12453132,-81.68914464715394,675,0,Entire home/apt,0.0
2,False,4,28066974,41.478960298309126,12808270,-81.6866106305662,150,3,Entire home/apt,5.0
2,False,4,697889,41.4719962844414,13770290,-81.69121098107958,85,0,Entire home/apt,0.0
2,False,4,28817268,41.50018520990673,10131858,-81.69756149752739,189,19,Entire home/apt,4.5
3,False,4,23891041,41.499866459012736,13414242,-81.70125876579533,1500,0,Entire home/apt,0.0
1,False,4,77989428,41.50386384466855,13548568,-81.68413255444061,400,0,Entire home/apt,0.0
3,False,4,10750153,41.48512332339606,13460541,-81.71989221671194,100,1,Entire home/apt,0.0
2,False,4,48349890,41.48678192811325,11462927,-81.6987054335154,120,10,Entire home/apt,5.0
2,False,4,60275715,41.5013789426219,12383874,-81.70003638583673,1500,0,Entire home/apt,0.0
1,True,4,2989880,41.57234716032222,5783361,-81.56874238631083,50,108,Entire home/apt,4.5
2,True,4,29264248,41.48141070885488,13541499,-81.68921994636385,350,0,Entire home/apt,0.0
2,True,4,15565432,41.48927717849616,3057963,-81.71218665192711,140,123,Entire home/apt,5.0
2,False,4,28817268,41.49913293368149,5558625,-81.69738026774917,189,57,Entire home/apt,5.0
5,False,4,29511952,41.4527437901296,5692325,-81.70747059671216,150,27,Entire home/apt,5.0
3,True,4,16681629,41.52346750934452,3303032,-81.64768972081197,107,30,Entire home/apt,4.5
3,False,4,524078,41.48988144210813,13116702,-81.71132561894355,500,0,Entire home/apt,0.0
2,True,4,66911343,41.50998557258615,12420109,-81.60467460517332,130,0,Entire home/apt,0.0
2,False,4,79574102,41.499262960571755,13675130,-81.68900048961581,875,0,Entire home/apt,0.0
3,False,4,3046864,41.456944007688236,13362048,-81.57998053745277,65,1,Entire home/apt,0.0
2,False,4,28179060,41.496889979352666,13031271,-81.70070543612263,800,0,Entire home/apt,0.0
2,False,4,19222956,41.49288819309651,13371069,-81.70558083747446,200,0,Entire home/apt,0.0
3,False,4,21134134,41.47869945673224,13013222,-81.68901618823185,999,0,Entire home/apt,0.0
4,True,4,7479876,41.409925244420585,5898720,-81.73567191402584,149,31,Entire home/apt,4.5
2,False,4,30238523,41.483802481473084,13637933,-81.70990167969853,350,0,Entire home/apt,0.0
3,True,4,71349705,41.47961373651049,12969741,-81.68195160840516,315,0,Entire home/apt,0.0
3,False,4,58704806,41.49907570655825,11720391,-81.68882688329182,190,5,Entire home/apt,5.0
2,False,4,28367114,41.48821127111209,13428520,-81.55042459188527,99,1,Entire home/apt,0.0
2,False,4,14047988,41.49861069696939,13057533,-81.70164641777602,98,0,Entire home/apt,0.0
3,False,4,23891041,41.499866459012736,13414242,-81.70125876579533,1500,0,Entire home/apt,0.0
2,False,4,75549846,41.49893902698624,13339452,-81.70011280838047,425,0,Entire home/apt,0.0
2,True,4,80281292,41.49885660336907,13727934,-81.69972506624043,800,0,Entire home/apt,0.0
3,True,4,12971503,41.47848019688154,2532682,-81.68073187349562,300,10,Entire home/apt,5.0
2,False,4,14047988,41.49861069696939,13057533,-81.70164641777602,98,0,Entire home/apt,0.0
3,False,4,53629867,41.49800140865607,12823384,-81.6912556174278,900,1,Entire home/apt,0.0
2,True,4,66911343,41.50998557258615,12420109,-81.60467460517332,130,0,Entire home/apt,0.0
1,True,4,64443649,41.49891801459891,12038660,-81.68739652564187,1099,0,Entire home/apt,0.0
3,False,4,50900339,41.48602780969335,10514157,-81.7065972590288,175,6,Entire home/apt,5.0
2,False,4,57416819,41.499487097359584,13598327,-81.70369666145085,1050,0,Entire home/apt,0.0
2,True,4,18119720,41.50014794579767,13525213,-81.68443696496256,850,0,Entire home/apt,0.0
2,True,4,46577920,41.49967389106623,12152657,-81.69959629223857,800,0,Entire home/apt,0.0
1,False,4,75271318,41.49772963704607,13315668,-81.69084657931029,650,0,Entire home/apt,0.0
2,False,4,64247656,41.501129376813864,12137331,-81.70022984552027,890,0,Entire home/apt,0.0
5,True,4,16681629,41.52518342379536,13310126,-81.64797109889918,210,1,Entire home/apt,0.0
1,False,4,658846,41.48305359114568,6061230,-81.71743763440284,95,23,Entire home/apt,4.0
2,False,4,66266039,41.483537291232636,12293794,-81.72179979339121,75,6,Entire home/apt,5.0
2,False,4,23987821,41.48025026931986,4632197,-81.70768564911685,119,139,Entire home/apt,4.5
2,False,4,21952290,41.4987533900261,12019071,-81.68728102023147,875,0,Entire home/apt,0.0
2,False,4,80599862,41.49866697481774,13753437,-81.69976808489257,599,0,Entire home/apt,0.0
2,True,4,77517252,41.49844322204371,13508232,-81.68804562869975,1300,0,Entire home/apt,0.0
2,True,4,17884407,41.499819641088756,12672167,-81.7025841255016,799,0,Entire home/apt,0.0
2,False,4,59624439,41.50009088483836,11634640,-81.68415012449378,2000,0,Entire home/apt,0.0
2,False,4,22945486,41.476988353456925,10289671,-81.68915099340343,200,24,Entire home/apt,5.0
1,True,4,40743662,41.50044246574327,12795788,-81.68631816183283,150,0,Entire home/apt,0.0
1,False,4,16861709,41.498311434338426,13475349,-81.69840486792191,500,0,Entire home/apt,0.0
2,False,4,30238523,41.483802481473084,13637933,-81.70990167969853,350,0,Entire home/apt,0.0
2,False,4,80129561,41.49987625026688,13802577,-81.70093856202398,650,0,Entire home/apt,0.0
1,True,4,27377741,41.47912441090439,7091499,-81.71452622111812,96,83,Entire home/apt,4.5
2,False,4,32470403,41.45508292623838,6816672,-81.6534881410219,110,4,Entire home/apt,5.0
2,True,4,8471616,41.48654702832924,13714356,-81.71184043038855,500,0,Entire home/apt,0.0
2,True,4,56405689,41.47966562192743,13576925,-81.68389311887508,325,0,Entire home/apt,0.0
1,False,4,74030967,41.499439564979895,13208357,-81.68925803318896,600,0,Entire home/apt,0.0
1,True,4,79827766,41.499809128423806,13694363,-81.69811899704102,500,0,Entire home/apt,0.0
1,False,4,28817268,41.501285175675704,8500356,-81.69776956763643,269,19,Entire home/apt,4.5
3,False,4,10750153,41.4856587431386,4074938,-81.72031599367513,100,36,Entire home/apt,4.5
2,False,4,28055767,41.48147908454197,11588714,-81.7159837325122,75,10,Entire home/apt,4.0
3,False,4,4922112,41.50086862942128,917654,-81.70152434747831,3400,0,Entire home/apt,0.0
2,False,4,21084294,41.499230505655085,11887102,-81.70106232172715,200,0,Entire home/apt,0.0
3,False,4,57051655,41.500702182654685,10995349,-81.68413948013705,920,0,Entire home/apt,0.0
2,False,4,697889,41.47153043770148,13412922,-81.69140798682702,195,0,Entire home/apt,0.0
2,True,4,28458020,41.485656480185924,13842849,-81.70529058499939,4000,0,Entire home/apt,0.0
2,False,4,67747874,41.498262783441746,12510020,-81.70197461017494,850,0,Entire home/apt,0.0
2,False,4,69817960,41.5001966011118,12808228,-81.68946713091829,5000,0,Entire home/apt,0.0
1,False,4,12634137,41.49939579986411,13670418,-81.68883717277811,600,0,Entire home/apt,0.0
2,True,4,20027887,41.49857347355916,13640527,-81.6953663731809,550,0,Entire home/apt,0.0
2,False,4,28066974,41.477774387616776,13783300,-81.68557790179824,150,0,Entire home/apt,0.0
3,False,4,16327385,41.49877058979338,6226477,-81.68664856716842,810,0,Entire home/apt,0.0
2,True,4,70677477,41.49734744160417,12901806,-81.70192397592498,400,0,Entire home/apt,0.0
2,False,4,34686839,41.47668858104955,11637009,-81.68709403792786,40,0,Entire home/apt,0.0
1,True,4,82315239,41.496222134857646,13894941,-81.70538463529748,500,0,Entire home/apt,0.0
2,False,4,62024324,41.48490232854825,12835598,-81.71109701254771,785,0,Entire home/apt,0.0
4,True,4,7479876,41.409925244420585,5898720,-81.73567191402584,149,31,Entire home/apt,4.5
3,True,4,66954307,41.47813298585243,12385568,-81.68757092215463,900,0,Entire home/apt,0.0
