bedrooms,can_instant_book,counter,guests,host_id,latitude,listing_id,longitude,page,rate,reviews_count,room_type,star_rating
2,False,1,4,23772757,33.993789603042686,4586114,-81.03165383430523,1,125,61,Entire home/apt,5.0
2,True,2,4,16760774,33.98160039682279,3319537,-80.98904115776196,1,78,9,Entire home/apt,4.0
1,False,3,4,4118958,34.00429265892098,781083,-81.03376671064926,1,129,35,Entire home/apt,4.5
1,True,4,4,45746112,33.97622619627554,8715453,-80.991356131294,1,110,12,Entire home/apt,4.5
2,False,5,4,80478799,34.002757075784494,13744151,-81.02117981177474,1,162,1,Entire home/apt,0.0
3,False,6,4,22478192,34.161916468716036,12323999,-80.89491456917192,1,119,8,Entire home/apt,5.0
2,False,7,4,6296372,33.98367641005559,12776527,-81.00264912052766,1,210,2,Entire home/apt,0.0
3,False,8,4,42607052,34.10134696849522,8066862,-80.92488892594064,1,110,14,Entire home/apt,5.0
1,False,9,4,31304539,34.02596282154166,13260020,-81.05914303174615,1,70,2,Entire home/apt,0.0
1,False,10,4,32042926,34.06757380500906,8396898,-80.90017754585135,1,79,9,Entire home/apt,5.0
3,False,11,4,63875933,33.99760211863379,11959878,-80.972281197789,1,275,0,Entire home/apt,0.0
2,False,12,4,585651,33.99375381881147,8907591,-80.9991468951729,1,125,13,Entire home/apt,4.5
2,False,13,4,73459,33.985989407422565,4352014,-81.00478735464786,1,140,50,Entire home/apt,4.5
4,False,14,4,2216399,34.08922281631853,13100404,-81.20305260081679,1,300,1,Entire home/apt,0.0
2,False,15,4,21014389,34.02367359300475,9477117,-81.0470392403669,1,99,11,Entire home/apt,5.0
6,False,16,4,21787427,33.924052547361285,4199412,-80.91983602823503,1,800,4,Entire home/apt,5.0
2,False,17,4,32011047,34.07898745247296,14125331,-81.14890650808132,1,41,0,Entire home/apt,0.0
5,False,18,4,69432730,34.116452876978464,12762958,-80.95002813188175,1,1000,0,Entire home/apt,0.0
2,False,1,4,7154290,34.066299857115844,8097637,-81.2351882602225,2,159,2,Entire home/apt,0.0
3,True,2,4,18225266,34.08779956256206,3616943,-81.20783117035673,2,385,7,Entire home/apt,5.0
1,False,3,4,69458617,34.10283551193151,13059831,-80.91355605806916,2,119,8,Entire home/apt,5.0
2,False,4,4,9104482,34.0008168815942,9476560,-81.04361527252736,2,449,6,Entire home/apt,5.0
1,False,5,4,46556644,33.99971632070431,8900127,-81.01858115241957,2,115,6,Entire home/apt,5.0
1,False,6,4,51694707,33.99921210133785,10610683,-81.00859859253957,2,125,11,Entire home/apt,5.0
10,False,7,4,2216399,34.03089451830446,13281609,-81.08544584573703,2,1600,0,Entire home/apt,0.0
2,False,8,4,1984415,34.180684426108066,12157884,-80.89574475504271,2,175,0,Entire home/apt,0.0
5,False,9,4,34139007,33.96688147754481,8582750,-80.91765668657294,2,225,6,Entire home/apt,5.0
2,False,10,4,44614607,33.97287650137752,9524598,-81.02092315173735,2,380,1,Entire home/apt,0.0
3,False,11,4,29191730,34.143943786998335,12342993,-80.88749755452199,2,200,0,Entire home/apt,0.0
2,False,12,4,40714813,34.05773734653591,7745786,-80.95851123025038,2,200,4,Entire home/apt,5.0
0,False,13,4,80521491,34.00417175703752,13747900,-81.0490460854154,2,196,0,Entire home/apt,0.0
4,False,14,4,41818502,33.91247365676751,8811089,-81.16216661948,2,175,6,Entire home/apt,4.5
2,False,15,4,45384803,33.980720077548085,12533207,-81.06347505516574,2,100,11,Entire home/apt,5.0
2,False,16,4,44912984,34.08978600862574,8530044,-81.34590184340094,2,200,8,Entire home/apt,5.0
4,True,17,4,71691721,33.99037827744446,14010030,-81.18222043159318,2,500,0,Entire home/apt,0.0
5,False,18,4,44614607,34.12881838299222,8472387,-81.35569815511181,2,595,10,Entire home/apt,5.0
3,False,1,4,56830923,33.97851464129705,10956935,-81.22705088222668,3,130,8,Entire home/apt,4.5
2,False,2,4,80590507,34.01770140768744,13752828,-81.44537487039273,3,125,0,Entire home/apt,0.0
1,False,3,4,68565767,34.11628096941888,12914598,-81.22942951794427,3,100,12,Entire home/apt,4.0
3,False,4,4,2930502,33.7934526100703,4187338,-80.98072893737833,3,128,0,Entire home/apt,0.0
2,False,5,4,62777469,33.75365603734982,11911455,-81.32026342206832,3,125,0,Entire home/apt,0.0
3,False,6,4,32042926,34.09641407255346,7825418,-80.74016839205666,3,69,3,Entire home/apt,5.0
