bedrooms,can_instant_book,counter,guests,host_id,latitude,listing_id,longitude,page,rate,reviews_count,room_type,star_rating
3,False,1,4,773616,37.69146618035542,7036552,-122.48694034634579,1,140,15,Entire home/apt,5.0
2,False,2,4,1453915,37.70456354833318,12834310,-122.4766166871408,1,150,6,Entire home/apt,4.5
2,False,3,4,40880000,37.66446132170384,8092234,-122.49352306310196,1,235,29,Entire home/apt,5.0
5,False,4,4,4809876,37.68517666605369,10866454,-122.49302089871992,1,269,27,Entire home/apt,4.5
4,False,5,4,34443035,37.68989283850288,7176641,-122.47595086502854,1,223,54,Entire home/apt,5.0
3,False,6,4,8534268,37.69016874586728,10811814,-122.47882790331812,1,239,25,Entire home/apt,5.0
0,False,7,4,26336285,37.703477247616966,9510467,-122.46680272440267,1,125,24,Entire home/apt,5.0
2,False,8,4,29891976,37.673718977842704,13461352,-122.48098301645811,1,198,4,Entire home/apt,3.5
2,False,9,4,9317268,37.694899795652404,3279585,-122.47621546276201,1,200,56,Entire home/apt,5.0
1,False,10,4,41574587,37.66953849209979,13801320,-122.48489366361488,1,99,0,Entire home/apt,0.0
1,False,11,4,9176247,37.716503138392966,11398231,-122.46694157971092,1,150,18,Entire home/apt,4.5
3,False,12,4,7443497,37.702751027040534,4223873,-122.46558556589102,1,294,84,Entire home/apt,5.0
3,False,13,4,24629418,37.68734033630801,4775461,-122.49182520587401,1,298,24,Entire home/apt,4.0
1,False,14,4,40609092,37.69942422857684,7728171,-122.48450128243701,1,130,3,Entire home/apt,4.0
4,False,15,4,49677042,37.69397107206359,9598167,-122.4788072705212,1,249,31,Entire home/apt,5.0
2,False,16,4,78681619,37.70836422175071,13603416,-122.46166869989872,1,404,0,Entire home/apt,0.0
3,False,17,4,25968680,37.68607450462522,13300864,-122.4765280885332,1,200,1,Entire home/apt,0.0
3,False,18,4,31156580,37.70278350401311,6001736,-122.45981123481046,1,280,14,Entire home/apt,4.5
1,False,1,4,22267913,37.70617155414129,4863217,-122.46473663878923,2,170,32,Entire home/apt,4.5
3,False,2,4,19930507,37.668444709981756,12272279,-122.4656109550103,2,240,7,Entire home/apt,4.5
4,False,3,4,36671896,37.689790458102166,8669084,-122.48263660428864,2,235,42,Entire home/apt,4.5
2,False,4,4,1563282,37.703299507887735,303716,-122.47678125609941,2,150,74,Entire home/apt,5.0
3,True,5,4,6948298,37.69865646896874,13659715,-122.45251021171731,2,350,1,Entire home/apt,0.0
2,True,6,4,77411459,37.703361467114846,13591164,-122.4792861459904,2,298,1,Entire home/apt,0.0
3,True,7,4,9477787,37.700047231426126,1818378,-122.45536318371587,2,220,0,Entire home/apt,0.0
2,True,8,4,48016918,37.71188892553321,9254770,-122.44566997914106,2,199,47,Entire home/apt,4.5
3,True,9,4,58382427,37.71685173703223,11209849,-122.47157164219327,2,199,6,Entire home/apt,5.0
3,False,10,4,47938736,37.70459844404101,11047948,-122.43510961772083,2,175,16,Entire home/apt,5.0
2,False,11,4,29891976,37.68042934419132,13339365,-122.49120427522334,2,198,10,Entire home/apt,4.5
2,False,12,4,20286121,37.71452908275452,6587037,-122.452747981065,2,170,3,Entire home/apt,4.5
1,False,13,4,39967745,37.70870811823266,10617174,-122.44139255756714,2,125,13,Entire home/apt,5.0
5,True,14,4,32636325,37.69336535214987,10792629,-122.49302343542276,2,750,0,Entire home/apt,0.0
4,True,15,4,4809876,37.695828808964606,9480709,-122.46196409442803,2,249,46,Entire home/apt,5.0
4,False,16,4,19206511,37.71213326531469,5163082,-122.45793787070784,2,350,64,Entire home/apt,4.0
1,False,17,4,41762398,37.7159842028066,7919970,-122.49848079727877,2,150,13,Entire home/apt,4.5
2,False,18,4,18452845,37.71299007061108,3649988,-122.44132618993314,2,130,84,Entire home/apt,5.0
4,False,1,4,672862,37.70931764267382,5750696,-122.43395026497548,3,250,33,Entire home/apt,5.0
