bedrooms,can_instant_book,counter,guests,host_id,latitude,listing_id,longitude,page,rate,reviews_count,room_type,star_rating
2,False,1,4,14949477,39.77192633338112,13449331,-105.02207205230718,1,109,15,Entire home/apt,5.0
1,False,2,4,73248437,39.69793326523603,13141367,-104.923978203657,1,99,22,Entire home/apt,4.5
2,False,3,4,8883510,39.71990537682353,8373583,-104.90587206744138,1,132,2,Entire home/apt,0.0
2,False,4,4,16492305,39.76669218958084,9796646,-105.04318549250473,1,84,8,Entire home/apt,4.5
2,False,5,4,23790283,39.71938467307973,9355764,-104.9422132795866,1,149,4,Entire home/apt,5.0
3,False,6,4,23414748,39.731627824919435,9374415,-104.94643375738129,1,129,15,Entire home/apt,5.0
3,False,7,4,65750490,39.73549482825261,14553194,-104.9064367563089,1,130,1,Entire home/apt,0.0
2,False,8,4,48954452,39.75631169289836,14360548,-105.05239329107,1,89,0,Entire home/apt,0.0
2,False,9,4,1994638,39.777887953800565,12255056,-105.03363136870531,1,125,5,Entire home/apt,5.0
1,True,10,4,54511139,39.76225494252508,10568492,-105.01408618921515,1,89,48,Entire home/apt,5.0
1,False,11,4,25643027,39.75464288464252,7579634,-105.01826581166267,1,99,29,Entire home/apt,5.0
2,False,12,4,4909129,39.73496936642362,14489381,-104.96369681867272,1,85,0,Entire home/apt,0.0
1,False,13,4,35922916,39.75282019075791,13168199,-105.00285383367992,1,150,12,Entire home/apt,5.0
1,True,14,4,61256033,39.756708027828736,11584604,-105.00704894175718,1,135,24,Entire home/apt,5.0
2,False,15,4,6488047,39.758226667913846,9296960,-104.92429382881602,1,115,10,Entire home/apt,5.0
2,True,16,4,11910746,39.72057453159526,13659382,-104.98676781412281,1,125,7,Entire home/apt,5.0
1,False,17,4,11275476,39.76390182597412,5174801,-104.9659519398425,1,135,32,Entire home/apt,5.0
2,True,18,4,49891425,39.76752625255879,14447199,-105.04881487526613,1,110,1,Entire home/apt,0.0
2,True,1,4,69039229,39.73335876565229,12701263,-104.96277830601197,2,84,4,Entire home/apt,5.0
1,True,2,4,14782250,39.757306028659166,5164075,-104.98323685611724,2,116,55,Entire home/apt,5.0
1,True,3,4,85206001,39.719625351546306,14127320,-105.02910888753503,2,117,4,Entire home/apt,5.0
3,False,4,4,45924625,39.72831667206178,8757140,-104.98059377971177,2,349,15,Entire home/apt,5.0
1,False,5,4,35319127,39.76914737302617,13961512,-104.99890923876337,2,93,6,Entire home/apt,5.0
0,False,6,4,7011288,39.71925270813481,4144862,-104.98871530589857,2,95,37,Entire home/apt,4.5
1,False,7,4,32442302,39.75224764736046,12704191,-105.00407939522351,2,200,28,Entire home/apt,5.0
1,False,8,4,49201985,39.77508058776917,9492971,-105.04530690562721,2,130,13,Entire home/apt,5.0
2,True,9,4,30507513,39.76030796338045,10858251,-104.9707628765206,2,80,55,Entire home/apt,4.5
2,False,10,4,35507915,39.757405757573814,7622044,-104.91949317567637,2,99,23,Entire home/apt,5.0
1,False,11,4,30064096,39.76044463020108,10923097,-105.01447670934499,2,140,4,Entire home/apt,4.5
1,False,12,4,48355356,39.72778790752874,12698509,-104.99723120456564,2,111,8,Entire home/apt,4.0
2,True,13,4,81027664,39.74214648584817,13789731,-104.97344967459433,2,142,5,Entire home/apt,5.0
1,False,14,4,7193180,39.74161545179659,9961606,-104.98140968496058,2,100,17,Entire home/apt,4.5
2,True,15,4,4666903,39.732205247316074,13997778,-104.99117471351342,2,219,2,Entire home/apt,0.0
2,False,16,4,3638426,39.74156251155385,756594,-104.91633219003344,2,100,111,Entire home/apt,5.0
1,False,17,4,18955884,39.76094362936933,3713774,-104.99936153627573,2,205,63,Entire home/apt,5.0
2,True,18,4,4391882,39.67487869624589,12211839,-104.91628713183873,2,79,14,Entire home/apt,4.5
1,False,1,4,1421370,39.70004445810069,9612645,-104.93083816805762,3,80,2,Entire home/apt,0.0
1,False,2,4,38877296,39.728831428130135,13233786,-104.99787944901907,3,118,9,Entire home/apt,4.5
2,False,3,4,6011801,39.70324452392298,9076048,-104.95583960803457,3,132,35,Entire home/apt,5.0
2,True,4,4,73373671,39.747485315664264,13291413,-105.02554407281016,3,130,9,Entire home/apt,5.0
2,True,5,4,68941411,39.73174748925797,13815789,-104.94927669534766,3,77,12,Entire home/apt,5.0
2,False,6,4,26251370,39.73315860630435,14265286,-104.98217134623968,3,225,2,Entire home/apt,0.0
1,False,7,4,11817280,39.75763992850422,12072343,-105.01691430437245,3,140,12,Entire home/apt,5.0
0,False,8,4,83162787,39.73822553181341,13959763,-104.9941408188952,3,145,5,Entire home/apt,5.0
1,True,9,4,87030243,39.74455389830952,14285190,-104.99095696654587,3,150,0,Entire home/apt,0.0
1,False,10,4,83080215,39.73726686356387,13953997,-104.99291641996788,3,145,8,Entire home/apt,4.5
2,False,11,4,41917396,39.75595695213098,7948813,-105.03952065287436,3,89,31,Entire home/apt,5.0
2,False,12,4,7524900,39.73331360508514,11145294,-104.99651021652082,3,150,24,Entire home/apt,4.5
1,True,13,4,79126554,39.75020682795373,13639865,-104.99130293761638,3,169,9,Entire home/apt,5.0
2,False,14,4,21564833,39.762663068138984,4155972,-105.02718920595213,3,240,13,Entire home/apt,5.0
2,False,15,4,16386334,39.6962253184872,14040602,-104.98934039813571,3,97,4,Entire home/apt,4.5
1,False,16,4,22699456,39.746908807000516,4465110,-104.99776216983267,3,189,51,Entire home/apt,5.0
2,False,17,4,48280813,39.741295823964215,13300432,-104.93956523245264,3,120,4,Entire home/apt,5.0
2,False,18,4,12985200,39.73876789767222,10102030,-104.94799773562517,3,85,6,Entire home/apt,5.0
3,True,1,4,27757230,39.741526661542025,10284327,-104.94638491426136,4,149,8,Entire home/apt,4.5
1,True,2,4,8071648,39.75558522727775,1511315,-104.98758448558642,4,180,224,Entire home/apt,5.0
2,False,3,4,3678114,39.75919797039552,11734287,-104.96445377997655,4,135,39,Entire home/apt,5.0
3,False,4,4,84003178,39.76093642325244,14030238,-104.97501854122741,4,200,2,Entire home/apt,0.0
1,True,5,4,90289521,39.75626983208836,14572348,-104.97680061009886,4,99,0,Entire home/apt,0.0
1,False,6,4,20003288,39.74833257066072,4781785,-104.99539700092235,4,185,61,Entire home/apt,5.0
2,False,7,4,9727183,39.76100701293792,10674874,-104.97492061039642,4,120,43,Entire home/apt,5.0
2,False,8,4,24862308,39.75138694430406,9006753,-104.99240694150913,4,258,26,Entire home/apt,5.0
2,False,9,4,35596598,39.69891493298528,14340113,-105.03901669733764,4,90,0,Entire home/apt,0.0
1,True,10,4,31089806,39.75682874679936,12847382,-104.95872757760742,4,82,26,Entire home/apt,4.5
2,True,11,4,22888639,39.71610082236669,11860473,-104.9941374252077,4,165,0,Entire home/apt,0.0
3,True,12,4,77404792,39.73862894445571,13497202,-104.99986689491935,4,213,5,Entire home/apt,4.5
2,False,13,4,23582007,39.76074874406468,13897959,-104.98472835993694,4,200,6,Entire home/apt,5.0
2,False,14,4,15932100,39.77211413915197,14267172,-105.01750068778395,4,150,3,Entire home/apt,4.5
1,False,15,4,10071861,39.71237271834119,3458486,-104.98966706500272,4,128,52,Entire home/apt,5.0
2,True,16,4,83085593,39.77025287479573,14013085,-105.0231054884498,4,200,3,Entire home/apt,4.5
