bedrooms,can_instant_book,counter,guests,host_id,latitude,listing_id,longitude,page,rate,reviews_count,room_type,star_rating
1,False,1,4,12428362,29.70863059125214,13992124,-95.41395753116453,1,70,2,Entire home/apt,0.0
0,True,2,4,15845314,29.750208853322718,5396686,-95.35526690564983,1,107,94,Entire home/apt,5.0
1,False,3,4,15213490,29.752134336464987,7368754,-95.35347489202579,1,115,71,Entire home/apt,5.0
3,True,4,4,85950306,29.73923400661403,14198341,-95.35371757321414,1,100,1,Entire home/apt,0.0
0,False,5,4,86170897,29.812905120283048,14340421,-95.70379402029232,1,70,1,Entire home/apt,0.0
2,True,6,4,40000019,29.74390173304856,9976096,-95.40699520145093,1,105,20,Entire home/apt,4.5
1,False,7,4,2209256,29.737526402021242,12114726,-95.3793780283748,1,85,28,Entire home/apt,5.0
2,True,8,4,18637526,29.810081539300842,12730174,-95.37077910913523,1,44,16,Entire home/apt,4.5
3,False,9,4,11623551,29.80601864205335,14008502,-95.4111484209437,1,125,3,Entire home/apt,4.5
1,True,10,4,56629688,29.729854130139746,12064538,-95.32380765000424,1,50,12,Entire home/apt,4.5
2,True,11,4,51562417,29.950259430264285,13050776,-95.54668311538944,1,89,1,Entire home/apt,0.0
4,False,12,4,25393286,29.736377629955957,14029654,-95.32655214729189,1,150,4,Entire home/apt,5.0
1,False,13,4,29133007,29.73964880560591,14136297,-95.32949845872507,1,89,2,Entire home/apt,0.0
2,False,14,4,2010721,29.761588316821143,14014580,-95.34794503576408,1,145,3,Entire home/apt,4.5
2,False,15,4,811726,29.755904008700554,8385635,-95.39745100097907,1,99,8,Entire home/apt,5.0
3,False,16,4,72193320,29.601370226758572,13046540,-95.3816363018569,1,79,1,Entire home/apt,0.0
1,False,17,4,114992,29.742970644516813,5072026,-95.37724074184406,1,115,176,Entire home/apt,5.0
1,True,18,4,9217128,29.750138351994327,13462199,-95.36673818615745,1,215,4,Entire home/apt,5.0
1,False,1,4,31623883,29.78169845226238,6093587,-95.3843606968944,2,100,21,Entire home/apt,5.0
1,False,2,4,38030044,29.747544012340775,13547706,-95.38192770366882,2,85,1,Entire home/apt,0.0
0,True,3,4,22122892,29.705059109347577,12474898,-95.37045426904243,2,75,16,Entire home/apt,5.0
1,True,4,4,8369519,29.699178454031717,8822621,-95.41905729019034,2,139,3,Entire home/apt,5.0
1,False,5,4,459881,29.78930869910065,9879778,-95.38719251830148,2,75,28,Entire home/apt,5.0
1,False,6,4,31876274,29.753194421247496,12498752,-95.37614465342317,2,90,1,Entire home/apt,0.0
3,False,7,4,50408582,29.74497980695647,13252016,-95.3585018100659,2,250,1,Entire home/apt,0.0
3,False,8,4,18461634,29.773276464122553,13493642,-95.39590165245774,2,189,2,Entire home/apt,0.0
3,True,9,4,281423,29.74021575158309,13587841,-95.43906365438806,2,172,16,Entire home/apt,5.0
1,False,10,4,26168561,29.698604867496684,5067703,-95.4180641918868,2,90,20,Entire home/apt,4.5
3,False,11,4,73660203,30.005732921606985,13175517,-95.56303424434505,2,100,2,Entire home/apt,0.0
1,False,12,4,1550235,29.753921413455863,13262881,-95.37785246900823,2,125,4,Entire home/apt,5.0
4,True,13,4,80973709,29.911302670121152,13813025,-95.32350414304736,2,266,0,Entire home/apt,0.0
0,False,14,4,22814626,29.747280128321663,13787994,-95.38369314997173,2,80,2,Entire home/apt,0.0
2,False,15,4,60958018,29.73297911400428,11548310,-95.43201147769189,2,140,3,Entire home/apt,4.0
1,True,16,4,26855750,29.70842037505458,13723595,-95.34848344887499,2,81,4,Entire home/apt,5.0
1,False,17,4,52138164,29.750610159177654,13220268,-95.47682344041189,2,130,3,Entire home/apt,5.0
1,False,18,4,246072,29.73891735664455,12814768,-95.37100140424049,2,95,3,Entire home/apt,5.0
2,False,1,4,13775568,29.737485364652702,2716696,-95.38237240106741,3,117,19,Entire home/apt,4.5
0,False,2,4,16575058,29.781548557246232,6866186,-95.39594277231159,3,129,56,Entire home/apt,5.0
2,False,3,4,65974638,29.746304147930083,12253595,-95.37297926188661,3,200,4,Entire home/apt,4.5
1,False,4,4,11290387,29.77746611650514,6131689,-95.3919089893962,3,139,15,Entire home/apt,4.5
1,False,5,4,9571039,29.738996522610513,11380441,-95.41316756097676,3,70,3,Entire home/apt,5.0
4,False,6,4,77552143,29.6986045433278,13511178,-95.64010888202476,3,80,0,Entire home/apt,0.0
1,False,7,4,46645872,29.80048023845857,12085903,-95.39645264302396,3,110,6,Entire home/apt,5.0
2,False,8,4,6521790,29.753297120223078,1782044,-95.39764475932498,3,170,146,Entire home/apt,4.5
2,False,9,4,11110209,29.75561715619424,8755226,-95.37787190305406,3,199,11,Entire home/apt,5.0
1,False,10,4,6133892,29.70356418222423,13559315,-95.42284612755616,3,55,5,Entire home/apt,5.0
2,False,11,4,70984023,29.803373938124032,12930665,-95.36961055856446,3,100,10,Entire home/apt,5.0
1,False,12,4,24369562,29.78411295107411,10359833,-95.40269415044742,3,109,13,Entire home/apt,5.0
2,False,13,4,9522598,29.743306876549337,12842075,-95.41645093208616,3,80,2,Entire home/apt,0.0
3,True,14,4,82334454,29.81361735939862,14075037,-95.42139431125655,3,150,2,Entire home/apt,0.0
0,True,15,4,38244942,29.730531312461803,12141785,-95.36952978225004,3,90,12,Entire home/apt,5.0
2,True,16,4,40419652,29.753631123140202,12762354,-95.3907916463213,3,130,5,Entire home/apt,5.0
1,False,17,4,5415332,29.75115166454115,11022510,-95.35359217394891,3,139,26,Entire home/apt,5.0
2,True,18,4,1433068,29.79659567054634,7636733,-95.47869302852506,3,99,37,Entire home/apt,4.5
2,False,1,4,9594251,29.736331116732163,13425490,-95.41951330382567,4,125,4,Entire home/apt,5.0
1,True,2,4,75292905,29.751456061511025,13317543,-95.35389787069538,4,110,11,Entire home/apt,4.5
2,True,3,4,87573140,29.605369377078695,14318865,-95.6112541354766,4,120,2,Entire home/apt,0.0
1,False,4,4,148936,29.71471165037797,8236509,-95.41345663969356,4,95,23,Entire home/apt,5.0
1,False,5,4,34939565,29.74760275371601,10969967,-95.38075721477553,4,95,6,Entire home/apt,4.5
1,False,6,4,13320614,29.739026757383012,11253885,-95.44648473194017,4,96,29,Entire home/apt,5.0
3,True,7,4,9926481,29.8064899151036,7743128,-95.35729425473757,4,119,24,Entire home/apt,5.0
2,False,8,4,41378415,29.73709075409681,10744111,-95.46391532231647,4,120,6,Entire home/apt,5.0
2,False,9,4,38513394,29.739344685158155,7357533,-95.37119582070079,4,135,37,Entire home/apt,5.0
1,False,10,4,39548482,29.75732228391291,9826265,-95.3844719112984,4,135,9,Entire home/apt,5.0
2,False,11,4,25863992,29.780293285582427,12423979,-95.39397916894629,4,180,12,Entire home/apt,5.0
2,False,12,4,6541015,29.73843664718459,7695032,-95.3696983860579,4,200,20,Entire home/apt,5.0
3,False,13,4,54665650,29.76752227796441,10595008,-95.37551832912209,4,599,23,Entire home/apt,5.0
0,False,14,4,51350520,29.7405985336225,13332404,-95.50080610508597,4,70,7,Entire home/apt,4.5
1,False,15,4,7795460,29.805207446218983,8054187,-95.40328642998202,4,119,37,Entire home/apt,5.0
1,True,16,4,11064031,29.78770560919218,8808894,-95.4052107795491,4,110,44,Entire home/apt,5.0
2,False,17,4,45065393,29.697008321204713,12698932,-95.39137183286975,4,125,8,Entire home/apt,5.0
1,False,18,4,66265535,29.773570019421573,12367616,-95.39490424688923,4,170,5,Entire home/apt,5.0
2,False,1,4,10212886,29.74854203954275,10982085,-95.46112299914103,5,119,13,Entire home/apt,5.0
3,False,2,4,3672127,29.792919877579685,1033590,-95.37916828702124,5,175,25,Entire home/apt,5.0
0,False,3,4,37359782,29.75015019987956,12220483,-95.35471876490922,5,109,12,Entire home/apt,5.0
1,False,4,4,83813164,29.696826121587414,14014339,-95.40295389034372,5,145,1,Entire home/apt,0.0
1,True,5,4,22294063,29.751847431130333,5050559,-95.35528429805152,5,110,37,Entire home/apt,5.0
2,False,6,4,1865268,29.76737671815498,11440505,-95.40745303661504,5,195,14,Entire home/apt,5.0
2,False,7,4,16533520,29.735942255987986,12543212,-95.41466041853599,5,118,9,Entire home/apt,5.0
3,False,8,4,2382115,29.740218919274085,13139524,-95.37332631681333,5,259,4,Entire home/apt,5.0
1,False,9,4,73838526,29.766662624770717,14235707,-95.38310033658773,5,1450,0,Entire home/apt,0.0
1,False,10,4,10216006,29.70122538373728,12172377,-95.39406340892383,5,135,3,Entire home/apt,5.0
2,False,11,4,34080887,29.79497033238269,9174852,-95.4096937619331,5,159,19,Entire home/apt,5.0
3,True,12,4,15120327,29.624357303161627,12518239,-95.59290811901978,5,99,2,Entire home/apt,0.0
1,False,13,4,32793500,29.745543217606965,14344386,-95.49723688224196,5,41,2,Entire home/apt,0.0
1,False,14,4,7765128,29.724992602586802,3200481,-95.41292253112931,5,105,46,Entire home/apt,4.5
2,False,15,4,12061005,29.74710449300587,9195158,-95.38200836594322,5,200,48,Entire home/apt,5.0
0,True,16,4,22814626,29.74786989291395,6166415,-95.38437557826413,5,80,91,Entire home/apt,4.5
1,True,17,4,8369519,29.70026585493419,8822609,-95.42060442627049,5,139,40,Entire home/apt,5.0
2,True,18,4,13775568,29.73826189570025,6016411,-95.3838382164515,5,117,24,Entire home/apt,5.0
2,False,1,4,44681153,29.78528937824931,8483837,-95.38568631952677,6,159,35,Entire home/apt,5.0
2,False,2,4,71717765,29.770593756239283,13005020,-95.41463515645015,6,250,3,Entire home/apt,5.0
3,True,3,4,9131137,29.770576593638808,5945476,-95.41851346518119,6,249,67,Entire home/apt,5.0
2,True,4,4,53308378,29.768533848226102,11141925,-95.38152194395835,6,95,8,Entire home/apt,4.5
3,True,5,4,39521012,29.668838913013293,14168899,-95.43235412740849,6,180,1,Entire home/apt,0.0
1,False,6,4,31035363,29.742721309910245,5978182,-95.39565664535968,6,190,33,Entire home/apt,5.0
1,True,7,4,30447779,29.778770184128494,5970321,-95.61730402834064,6,106,39,Entire home/apt,4.5
