,beds,can_instant_book,guests,host_id,latitude,listing_id,longitude,rate,reviews_count,room_type,star_rating
0,1,True,4,15845314,29.750208853322718,5396686,-95.35526690564983,115,84,Entire home/apt,5.0
1,2,False,4,22625933,29.768423338340728,4358898,-95.35293992305023,155,96,Entire home/apt,5.0
2,2,True,4,499201,29.79082643983669,2414344,-95.3705671461471,97,132,Entire home/apt,5.0
3,4,False,4,22623861,29.751712290997084,6912011,-95.36852571595736,218,55,Entire home/apt,5.0
4,1,True,4,39170287,29.739503478873704,7480926,-95.444482520778,109,49,Entire home/apt,4.5
5,2,False,4,15213490,29.752134336464987,7368754,-95.35347489202579,115,56,Entire home/apt,5.0
6,8,True,4,9131137,29.770576593638808,5945476,-95.41851346518119,295,62,Entire home/apt,5.0
7,6,False,4,12679801,29.719141993370275,9758849,-95.37655237337589,350,12,Entire home/apt,5.0
8,2,False,4,16533520,29.735942255987986,12543212,-95.41466041853599,118,8,Entire home/apt,5.0
9,1,True,4,56629688,29.729854130139746,12064538,-95.32380765000424,50,8,Entire home/apt,5.0
10,6,True,4,63133513,29.723172631802214,11847666,-95.37269457326207,185,11,Entire home/apt,4.5
11,4,False,4,12061005,29.74710449300587,9195158,-95.38200836594322,200,41,Entire home/apt,5.0
12,3,True,4,53876479,29.764941910040736,13559901,-95.41118600032507,165,2,Entire home/apt,0.0
13,2,False,4,24369562,29.78411295107411,10359833,-95.40269415044742,109,11,Entire home/apt,5.0
14,2,True,4,55456883,29.790720583090234,11100710,-95.40556055269096,95,42,Entire home/apt,5.0
15,2,False,4,62765823,29.69822585145888,11786222,-95.41564004071817,40,1,Entire home/apt,0.0
16,2,True,4,11064031,29.78770560919218,8808894,-95.4052107795491,110,43,Entire home/apt,5.0
17,1,False,4,65974638,29.71565924887439,13164541,-95.38003824242168,200,4,Entire home/apt,5.0
18,10,False,4,27528196,29.746093340131672,11496333,-95.46424691168073,167,0,Entire home/apt,0.0
19,4,False,4,59849996,29.744533300236768,11422518,-95.45084800185252,375,15,Entire home/apt,4.5
20,2,True,4,51562417,29.950259430264285,13050776,-95.54668311538944,89,0,Entire home/apt,0.0
21,2,True,4,11064031,29.78770560919218,8808894,-95.4052107795491,110,43,Entire home/apt,5.0
22,3,True,4,13775568,29.744366494777374,2691575,-95.38722728918162,109,22,Entire home/apt,5.0
23,1,False,4,63225802,29.753460078507704,13463312,-95.3676716198515,118,0,Entire home/apt,0.0
24,2,True,4,41856688,29.749986639986812,7937438,-95.35354040795471,137,64,Entire home/apt,5.0
25,3,True,4,63146581,29.666799063518035,11849247,-95.46930670969232,5000,0,Entire home/apt,0.0
26,8,False,4,48707928,29.77088494221067,9402817,-95.41308622514299,295,26,Entire home/apt,5.0
27,2,False,4,15213490,29.752134336464987,7368754,-95.35347489202579,115,56,Entire home/apt,5.0
28,2,False,4,3905103,29.696874764334815,6671751,-95.41052162955214,96,24,Entire home/apt,5.0
29,2,False,4,29226925,29.728203880472183,10996936,-95.44031219547155,98,9,Entire home/apt,5.0
30,4,False,4,12061005,29.74710449300587,9195158,-95.38200836594322,200,41,Entire home/apt,5.0
31,3,True,4,281423,29.74021575158309,13587841,-95.43906365438806,167,5,Entire home/apt,4.5
32,3,False,4,459881,29.78930869910065,9879778,-95.38719251830148,75,19,Entire home/apt,5.0
