bedrooms,can_instant_book,counter,guests,host_id,latitude,listing_id,longitude,page,rate,reviews_count,room_type,star_rating
3,False,1,4,29297127,29.736231545338708,5652910,-95.85102850109725,1,164,18,Entire home/apt,5.0
3,False,2,4,58032583,29.766758230156984,11159035,-95.73848506486652,1,700,0,Entire home/apt,0.0
2,False,3,4,27537739,29.76331062541458,11867888,-95.77926248466808,1,114,0,Entire home/apt,0.0
2,False,4,4,56296506,29.817918355640234,12934845,-95.73043650219716,1,145,0,Entire home/apt,0.0
4,False,5,4,5401161,29.73627603243734,9712185,-95.79216681323825,1,159,1,Entire home/apt,0.0
4,False,6,4,58036391,29.777105388492483,11304091,-95.79794102444835,1,159,1,Entire home/apt,0.0
3,True,7,4,69692863,29.869293207691896,12795898,-95.72036729253759,1,87,4,Entire home/apt,5.0
3,True,8,4,38618189,29.816671398082665,7369645,-95.7029789725251,1,200,17,Entire home/apt,5.0
3,False,9,4,50072915,29.86567014567678,10134163,-95.71582984390913,1,135,0,Entire home/apt,0.0
3,False,10,4,51033933,29.82353314823335,13188693,-95.74987238327552,1,175,1,Entire home/apt,0.0
3,False,11,4,15918708,29.818102190299808,4408550,-95.78313338259916,1,149,9,Entire home/apt,5.0
2,False,12,4,27537739,29.734963926037025,12113681,-95.73434347902163,1,118,0,Entire home/apt,0.0
4,False,13,4,34275388,29.762374385096994,6553539,-95.71914715910773,1,299,0,Entire home/apt,0.0
1,False,14,4,80720217,29.78910034060559,13766066,-95.73074320307816,1,80,0,Entire home/apt,0.0
2,False,15,4,42017882,29.786495970197095,7964001,-95.58538808169878,1,105,46,Entire home/apt,5.0
3,False,16,4,56551071,29.921449541921703,13657194,-95.59780229378624,1,225,5,Entire home/apt,5.0
1,True,17,4,39845257,29.72758048370814,13658400,-95.44585328261346,1,100,0,Entire home/apt,0.0
1,False,18,4,6133892,29.70356418222423,13559315,-95.42284612755616,1,50,2,Entire home/apt,0.0
1,False,1,4,80247798,29.726493838648317,13906962,-95.45419111721836,2,86,0,Entire home/apt,0.0
3,True,2,4,9131137,29.770576593638808,5945476,-95.41851346518119,2,295,65,Entire home/apt,5.0
3,False,3,4,56908114,29.67657352244033,10969416,-95.43362814217087,2,4500,0,Entire home/apt,0.0
2,True,4,4,81888643,29.68343243271084,13859464,-95.48346619702487,2,850,0,Entire home/apt,0.0
1,False,5,4,40642915,29.751158705765125,11420879,-95.62363623945014,2,125,5,Entire home/apt,5.0
3,True,6,4,2917064,29.67301277015703,13328783,-95.46828886265341,2,150,1,Entire home/apt,0.0
3,False,7,4,60294058,29.66287310613166,13826459,-95.61284980989883,2,40,0,Entire home/apt,0.0
3,True,8,4,72360042,29.7854496683222,13785152,-95.40737444393704,2,1500,0,Entire home/apt,0.0
1,False,9,4,13320614,29.739026757383012,11253885,-95.44648473194017,2,96,24,Entire home/apt,5.0
2,True,10,4,76017578,29.8147193809237,13378259,-95.56565073276599,2,40,1,Entire home/apt,0.0
1,False,11,4,27269480,29.738550089430273,13026460,-95.52713886118954,2,75,5,Entire home/apt,5.0
5,False,12,4,928001,29.79945205866331,13222296,-95.54410876339921,2,91,1,Entire home/apt,0.0
1,False,13,4,82759906,29.793171703061745,13929152,-95.50846260081025,2,60,0,Entire home/apt,0.0
1,False,14,4,30710190,29.7408046751955,6200365,-95.46786622358007,2,145,52,Entire home/apt,5.0
3,True,15,4,11939080,29.791603896710956,6561281,-95.47441081244695,2,295,28,Entire home/apt,5.0
4,False,16,4,77552143,29.6986045433278,13511178,-95.64010888202476,2,78,0,Entire home/apt,0.0
2,True,17,4,16054216,29.730324214027682,7440072,-95.64152793291224,2,125,19,Entire home/apt,5.0
3,False,18,4,41455816,29.743559929320416,8035996,-95.59185091934293,2,179,20,Entire home/apt,4.5
2,False,1,4,70701546,29.75296647467164,12911256,-95.61858218129352,3,90,2,Entire home/apt,0.0
2,True,2,4,51562417,29.950259430264285,13050776,-95.54668311538944,3,99,0,Entire home/apt,0.0
3,False,3,4,34039857,29.652727112533906,9095357,-95.48468684851161,3,150,15,Entire home/apt,5.0
2,False,4,4,49291772,29.729619019147613,9512851,-95.42417424521753,3,200,0,Entire home/apt,0.0
2,True,5,4,10216006,29.730688039461185,12185534,-95.46418553715834,3,135,1,Entire home/apt,0.0
2,True,6,4,31287658,29.722393715128803,6028305,-95.54320541016033,3,157,30,Entire home/apt,4.5
1,False,7,4,31968341,29.734733901871994,13718948,-95.46813062562515,3,126,0,Entire home/apt,0.0
2,False,8,4,635680,29.932660927604545,12942218,-95.580846529164,3,120,3,Entire home/apt,5.0
2,False,9,4,12790792,29.765870035245356,11637791,-95.42103562789407,3,179,1,Entire home/apt,0.0
1,False,10,4,1578206,29.748531891591863,11549740,-95.62553727352278,3,57,1,Entire home/apt,0.0
2,False,11,4,64636034,29.784004208053343,13636837,-95.46375254413192,3,200,1,Entire home/apt,0.0
2,False,12,4,80247709,29.737407815288847,13922044,-95.44183401831924,3,350,0,Entire home/apt,0.0
2,False,13,4,27528196,29.746093340131672,11496333,-95.46424691168073,3,167,1,Entire home/apt,0.0
1,True,14,4,42421822,30.003985021538064,11356702,-95.62411503572895,3,70,11,Entire home/apt,4.5
2,False,15,4,79602434,29.733511148147368,13676689,-95.54653755119202,3,45,1,Entire home/apt,0.0
3,False,16,4,35860456,29.6865431688828,13953681,-95.47825784871547,3,3000,0,Entire home/apt,0.0
3,False,17,4,17788339,29.689761011913802,3551292,-95.4968092854326,3,100,8,Entire home/apt,5.0
2,True,18,4,61801506,29.957838081877185,13688050,-95.58399472005974,3,70,0,Entire home/apt,0.0
2,True,1,4,61801506,29.957838081877185,13688050,-95.58399472005974,4,70,0,Entire home/apt,0.0
2,False,2,4,28410536,29.7437051644495,13545745,-95.47952924452244,4,95,0,Entire home/apt,0.0
2,False,3,4,49390100,29.740498002548584,12126476,-95.41668105241123,4,850,0,Entire home/apt,0.0
2,False,4,4,9594251,29.736331116732163,13425490,-95.41951330382567,4,110,0,Entire home/apt,0.0
2,True,5,4,72739622,29.738230456090974,13202719,-95.45821260612497,4,90,0,Entire home/apt,0.0
2,False,6,4,69226315,29.81414731820254,12731044,-95.70524989305234,4,105,4,Entire home/apt,5.0
4,True,7,4,11712606,29.723063976716627,6434967,-95.59940792401274,4,190,5,Entire home/apt,3.5
1,False,8,4,52138164,29.750610159177654,13220268,-95.47682344041189,4,130,1,Entire home/apt,0.0
2,True,9,4,78929406,29.908255974468197,13623600,-95.6251897906981,4,77,2,Entire home/apt,0.0
1,True,10,4,8369519,29.70026585493419,8822609,-95.42060442627049,4,109,37,Entire home/apt,5.0
2,False,11,4,53301753,29.744759691380708,13168327,-95.6260249526446,4,195,0,Entire home/apt,0.0
3,False,12,4,70405040,29.774335765488377,13657457,-95.4120161561895,4,200,0,Entire home/apt,0.0
2,False,13,4,33766554,29.72671507433659,11819324,-95.42334604596093,4,100,1,Entire home/apt,0.0
