bedrooms,can_instant_book,counter,guests,host_id,latitude,listing_id,longitude,page,rate,reviews_count,room_type,star_rating
2,True,1,4,23548715,36.11875207600657,6926927,-115.13516575431468,1,77,99,Entire home/apt,4.5
2,True,2,4,10933696,36.10839276240463,2978572,-115.17854192462855,1,44,81,Entire home/apt,4.5
2,True,3,4,1188267,36.11066818993568,7161114,-115.17432299256605,1,138,80,Entire home/apt,5.0
0,True,4,4,6202951,36.122361217547464,7399932,-115.08930144425753,1,105,3,Entire home/apt,5.0
0,False,5,4,1191130,36.11372435387657,14568307,-115.19769962653032,1,79,0,Entire home/apt,0.0
0,False,6,4,39869313,36.11498703122835,7602613,-115.19802717021739,1,69,62,Entire home/apt,5.0
1,True,7,4,14740135,36.109831887811495,2883998,-115.17953387272077,1,210,39,Entire home/apt,5.0
0,True,8,4,50091428,36.11358637822846,9700093,-115.19775035872526,1,119,45,Entire home/apt,5.0
1,False,9,4,3751238,36.10297805455703,11152190,-115.13282016440999,1,59,16,Entire home/apt,4.5
1,True,10,4,62307602,36.1090073409077,13883931,-115.22279052537912,1,89,7,Entire home/apt,5.0
0,False,11,4,68314251,36.112044735974216,14113287,-115.19776572916423,1,85,5,Entire home/apt,5.0
5,False,12,4,73461438,36.152614792085906,14430759,-115.19812123971059,1,300,0,Entire home/apt,0.0
1,True,13,4,86330405,36.11407290504362,14372712,-115.17371952265555,1,150,6,Entire home/apt,5.0
2,False,14,4,81325852,36.113193323569234,13813716,-115.18853205131578,1,99,1,Entire home/apt,0.0
1,True,15,4,18273973,36.1147588879317,10053094,-115.19741348236006,1,99,30,Entire home/apt,5.0
3,False,16,4,71192819,36.14129845570783,12967608,-115.1570674575802,1,400,2,Entire home/apt,0.0
0,False,17,4,368740,36.10561386460515,13336817,-115.16714349250586,1,110,7,Entire home/apt,5.0
0,True,18,4,18881478,36.10710694150607,10864059,-115.16629434239161,1,89,33,Entire home/apt,5.0
3,True,1,4,23548715,36.113682086886016,5725025,-115.13184259195312,2,89,117,Entire home/apt,4.5
3,False,2,4,45550122,36.12242850280321,14357009,-115.23946671825622,2,159,2,Entire home/apt,0.0
2,True,3,4,48351119,36.12137995346733,14498763,-115.19335703897978,2,85,3,Entire home/apt,4.5
1,True,4,4,50246998,36.12395409612552,11990926,-115.14880710981853,2,79,48,Entire home/apt,5.0
0,True,5,4,46430421,36.11382864163183,8870470,-115.1959126120242,2,98,57,Entire home/apt,5.0
3,False,6,4,47550302,36.13365268798618,9128957,-115.10603596046344,2,150,16,Entire home/apt,5.0
3,False,7,4,2206045,35.97055390765785,13621329,-115.18209102270445,2,90,15,Entire home/apt,5.0
1,True,8,4,43351180,36.11296493355866,8323908,-115.19862487332585,2,130,35,Entire home/apt,5.0
2,True,9,4,38128046,36.12852099150124,13496481,-115.21392635108133,2,98,29,Entire home/apt,4.5
2,False,10,4,41882613,36.0913920611896,7941509,-115.26483886281764,2,139,61,Entire home/apt,5.0
3,False,11,4,41391946,36.17197908689319,14336322,-115.13958194619217,2,449,0,Entire home/apt,0.0
1,True,12,4,71073866,36.115430209216875,12939392,-115.19737776096169,2,174,13,Entire home/apt,5.0
1,False,13,4,25541572,36.1090470585156,7700333,-115.17597652289888,2,200,6,Entire home/apt,5.0
1,True,14,4,63517493,36.11013094958891,14115161,-115.17639848652952,2,186,2,Entire home/apt,0.0
1,True,15,4,5775724,36.11354699737724,9990943,-115.19608048316655,2,124,41,Entire home/apt,5.0
4,False,16,4,45917790,36.150923481507036,9923946,-115.24816064549108,2,460,20,Entire home/apt,5.0
2,True,17,4,34788180,36.1037053805976,6660425,-115.13367145401224,2,79,103,Entire home/apt,5.0
2,True,18,4,37170700,36.13029719441343,11414979,-115.20271885047596,2,66,35,Entire home/apt,4.5
0,True,1,4,22554257,36.10624094747924,4349688,-115.16562512894917,3,100,150,Entire home/apt,5.0
2,False,2,4,41882613,36.0913920611896,7941509,-115.26483886281764,3,119,61,Entire home/apt,5.0
0,True,3,4,9461455,36.11552498320882,8226600,-115.19369943299745,3,129,68,Entire home/apt,5.0
1,True,4,4,71073866,36.115430209216875,12939392,-115.19737776096169,3,150,13,Entire home/apt,5.0
1,False,5,4,56903630,36.123016967212,10968649,-115.14779062089657,3,40,29,Entire home/apt,3.5
1,True,6,4,2945172,36.114980980916854,595927,-115.1984481272376,3,89,79,Entire home/apt,4.5
2,True,7,4,38128046,36.12852099150124,13496481,-115.21392635108133,3,78,29,Entire home/apt,4.5
1,True,8,4,81383820,36.121698440882774,13817475,-115.15074373737438,3,40,9,Entire home/apt,4.0
1,True,9,4,50246998,36.12395409612552,11990926,-115.14880710981853,3,79,48,Entire home/apt,5.0
0,True,10,4,51970468,36.12874617176143,10126967,-115.17215770195271,3,91,39,Entire home/apt,5.0
1,True,11,4,9605283,36.18211607762345,1837261,-115.2676637304623,3,59,113,Entire home/apt,4.5
4,False,12,4,35028777,36.108132140823216,7072998,-115.07410190045138,3,150,41,Entire home/apt,4.0
1,True,13,4,25603907,36.10516663614463,10196501,-114.93195904609786,3,79,33,Entire home/apt,4.5
0,True,14,4,48171296,36.10849908003734,9770646,-115.16745625186762,3,150,44,Entire home/apt,4.5
3,True,15,4,79544112,36.18244516552187,14255555,-115.18073346777697,3,160,3,Entire home/apt,5.0
0,True,16,4,47431740,36.11384452132621,11916791,-115.19595728023816,3,69,37,Entire home/apt,5.0
0,True,17,4,30730635,36.10605298516033,6223099,-115.16875492473937,3,89,60,Entire home/apt,5.0
3,False,18,4,85888269,36.185622855980796,14181646,-115.23813360718871,3,150,0,Entire home/apt,0.0
5,True,1,4,66119406,36.15115904480793,13590028,-115.12915302913518,4,242,11,Entire home/apt,5.0
0,True,2,4,51970468,36.12874617176143,10126967,-115.17215770195271,4,149,39,Entire home/apt,5.0
1,False,3,4,34274517,36.01114010768483,6924383,-115.1328639829538,4,164,20,Entire home/apt,5.0
2,False,4,4,32548920,36.114405075770954,14110876,-115.26411580711806,4,109,4,Entire home/apt,5.0
3,True,5,4,88330267,36.11727517367222,14489803,-115.14961965727453,4,75,0,Entire home/apt,0.0
2,True,6,4,10933696,36.10839276240463,2978572,-115.17854192462855,4,44,81,Entire home/apt,4.5
1,False,7,4,87177887,36.11550991715711,14318692,-115.19747256397716,4,108,2,Entire home/apt,0.0
1,False,8,4,34960194,36.10687563128999,13266131,-115.1675404264799,4,178,14,Entire home/apt,5.0
3,False,9,4,56419800,36.10723321143405,14233282,-115.17078627227768,4,600,0,Entire home/apt,0.0
2,True,10,4,27175975,36.05729902063506,5251307,-115.23888907778688,4,88,61,Entire home/apt,4.5
0,True,11,4,25604559,36.129013367518915,9310567,-115.17339091057838,4,119,50,Entire home/apt,5.0
0,True,12,4,50051128,36.115533767371396,13623427,-115.19722862296835,4,100,13,Entire home/apt,5.0
3,True,13,4,79544112,36.18244516552187,14255555,-115.18073346777697,4,140,3,Entire home/apt,5.0
2,False,14,4,33820589,36.09242960865881,13625966,-115.17045906442652,4,150,9,Entire home/apt,4.5
0,True,15,4,39885948,36.109096774485835,10060087,-115.17824413387079,4,169,28,Entire home/apt,4.5
2,True,16,4,11697746,36.109416420017425,11543541,-115.17409775916698,4,189,12,Entire home/apt,4.5
1,True,17,4,9507254,36.109610220640675,13478086,-115.17955665867264,4,89,7,Entire home/apt,5.0
1,False,18,4,47836961,36.169371644808734,9195951,-115.1406813798206,4,295,27,Entire home/apt,5.0
1,True,1,4,5775724,36.11338802881658,6213514,-115.1998348776671,5,89,90,Entire home/apt,5.0
2,True,2,4,60852347,36.10739440618042,11874765,-115.17147398337853,5,250,4,Entire home/apt,5.0
2,True,3,4,37170700,36.127017441546606,11554429,-115.21168100800091,5,58,47,Entire home/apt,4.5
3,True,4,4,23548715,36.11967417304498,13926564,-115.13601322636636,5,89,3,Entire home/apt,4.5
0,True,5,4,50321640,36.11544137151922,12854502,-115.194542603706,5,69,9,Entire home/apt,5.0
3,True,6,4,12358169,36.11978085015184,14154965,-115.13245081270362,5,79,1,Entire home/apt,0.0
0,True,7,4,38054477,36.113328688527865,7583986,-115.20010757361281,5,129,49,Entire home/apt,5.0
1,True,8,4,18273973,36.11590985107163,13194175,-115.19560547526646,5,109,20,Entire home/apt,5.0
0,True,9,4,18881478,36.10674752902948,12696410,-115.16568576576108,5,93,9,Entire home/apt,5.0
2,True,10,4,23548715,36.11875207600657,6926927,-115.13516575431468,5,79,99,Entire home/apt,4.5
1,True,11,4,50321640,36.114823908240815,12866904,-115.19465376581255,5,149,2,Entire home/apt,0.0
1,True,12,4,18273973,36.11527601988862,6390296,-115.19934799122497,5,129,51,Entire home/apt,5.0
0,True,13,4,18881478,36.10719692010929,13224803,-115.16612630834,5,89,9,Entire home/apt,5.0
1,True,14,4,18273973,36.11612164806312,10052068,-115.19441467297473,5,99,40,Entire home/apt,5.0
1,True,15,4,18273973,36.11501823837564,13095219,-115.19759090731348,5,89,15,Entire home/apt,5.0
0,True,16,4,18273973,36.11532973594717,13979280,-115.19597378107626,5,79,11,Entire home/apt,5.0
1,True,17,4,18273973,36.114735183724804,6402285,-115.19950571413956,5,79,46,Entire home/apt,5.0
2,True,18,4,18273973,36.11616938373538,10055343,-115.19676699913224,5,795,19,Entire home/apt,5.0
1,False,1,4,47836961,36.169371644808734,9195951,-115.1406813798206,6,295,27,Entire home/apt,5.0
1,True,2,4,25541572,36.10983192338308,7700198,-115.17400822731268,6,200,28,Entire home/apt,5.0
0,True,3,4,9434464,36.1148324899558,14188102,-115.1958912198762,6,99,2,Entire home/apt,0.0
