beds,can_instant_book,counter,guests,host_id,latitude,listing_id,longitude,page,rate,reviews_count,room_type,star_rating
2,False,1,4,9605283,36.170325863170696,13109953,-115.14012908496328,1,37,18,Entire home/apt,5.0
2,True,2,4,81383820,36.121698440882774,13817475,-115.15074373737438,1,40,0,Entire home/apt,0.0
1,False,3,4,56903630,36.12283196117093,11126761,-115.14891159420631,1,45,27,Entire home/apt,4.5
3,True,4,4,23548715,36.113682086886016,5725025,-115.13184259195312,1,94,106,Entire home/apt,4.5
1,True,5,4,18881478,36.10719692010929,13224803,-115.16612630834,1,99,2,Entire home/apt,0.0
1,True,6,4,50091428,36.11358637822846,9700093,-115.19775035872526,1,119,32,Entire home/apt,5.0
3,True,7,4,33392186,36.113222025722834,6448817,-115.10631645346781,1,65,3,Entire home/apt,4.0
5,True,8,4,1188267,36.11066818993568,7161114,-115.17432299256605,1,138,68,Entire home/apt,5.0
2,True,9,4,14740135,36.109831887811495,2883998,-115.17953387272077,1,210,28,Entire home/apt,5.0
2,False,10,4,39869313,36.11498703122835,7602613,-115.19802717021739,1,69,53,Entire home/apt,4.5
2,False,11,4,53223853,36.11288796120374,13729836,-115.19788827396808,1,111,1,Entire home/apt,0.0
3,True,12,4,55048807,36.092406426336794,12987047,-115.21028628008479,1,83,6,Entire home/apt,5.0
2,True,13,4,18273973,36.11627175847728,11499985,-115.19617596948255,1,149,6,Entire home/apt,5.0
2,False,14,4,61332011,36.131984490542216,11593920,-115.28034970720013,1,125,4,Entire home/apt,5.0
2,True,15,4,66658167,36.10879787490788,13124977,-115.21253187298922,1,100,5,Entire home/apt,5.0
2,True,16,4,30932956,36.10587268853043,5990738,-115.16722971459292,1,105,113,Entire home/apt,5.0
2,False,17,4,36594414,36.09867139213717,13319512,-115.2412169418757,1,78,5,Entire home/apt,5.0
2,False,18,4,25604559,36.129013367518915,9310567,-115.17339091057838,1,119,42,Entire home/apt,5.0
2,True,1,4,30932956,36.10587268853043,5990738,-115.16722971459292,2,105,113,Entire home/apt,5.0
2,True,2,4,50051128,36.11607050058957,13684399,-115.2060134490372,2,100,1,Entire home/apt,0.0
2,True,3,4,5775724,36.11354699737724,9990943,-115.19608048316655,2,124,32,Entire home/apt,5.0
2,True,4,4,24382179,36.124704864404244,9565862,-115.15536784428986,2,85,45,Entire home/apt,5.0
1,True,5,4,50091428,36.11358637822846,9700093,-115.19775035872526,2,119,32,Entire home/apt,5.0
2,False,6,4,53223853,36.11288796120374,13729836,-115.19788827396808,2,111,1,Entire home/apt,0.0
2,True,7,4,9758971,36.11327057755871,13770698,-115.19683840049882,2,175,1,Entire home/apt,0.0
2,False,8,4,39869313,36.11498703122835,7602613,-115.19802717021739,2,69,53,Entire home/apt,4.5
2,True,9,4,30730635,36.104855308215356,6214806,-115.16793451736476,2,109,76,Entire home/apt,5.0
2,False,10,4,25604559,36.129013367518915,9310567,-115.17339091057838,2,119,42,Entire home/apt,5.0
2,True,11,4,12265294,36.124254777903964,12947978,-115.15509661546507,2,99,16,Entire home/apt,4.5
2,True,12,4,2945172,36.11537890342053,12191027,-115.19775316726165,2,99,5,Entire home/apt,5.0
2,False,13,4,36594414,36.09867139213717,13319512,-115.2412169418757,2,78,5,Entire home/apt,5.0
2,True,14,4,18273973,36.11627175847728,11499985,-115.19617596948255,2,149,6,Entire home/apt,5.0
2,True,15,4,66658167,36.10879787490788,13124977,-115.21253187298922,2,100,5,Entire home/apt,5.0
3,False,16,4,47550302,36.13365268798618,9128957,-115.10603596046344,2,150,12,Entire home/apt,5.0
3,True,17,4,56069830,36.28638146679227,12891954,-115.29153587502043,2,95,21,Entire home/apt,5.0
2,True,18,4,57299062,36.07938231482114,11228668,-115.09045417347662,2,65,18,Entire home/apt,5.0
2,False,1,4,56111748,36.164974978352184,13064043,-115.27849139201426,3,134,6,Entire home/apt,5.0
4,True,2,4,37170700,36.127017441546606,11554429,-115.21168100800091,3,88,35,Entire home/apt,5.0
15,True,3,4,43891518,36.15084550915018,13210210,-115.22093075867613,3,1500,0,Entire home/apt,0.0
2,True,4,4,19905385,36.1495882840845,6156041,-115.17777998759598,3,99,36,Entire home/apt,5.0
2,True,5,4,48351119,36.122421892129786,11681446,-115.19387836104134,3,108,25,Entire home/apt,4.5
3,True,6,4,33392186,36.113222025722834,6448817,-115.10631645346781,3,65,3,Entire home/apt,4.0
2,False,7,4,77127531,36.130609749850365,13564562,-115.1405771687031,3,130,0,Entire home/apt,0.0
2,True,8,4,50246998,36.12395409612552,11990926,-115.14880710981853,3,79,31,Entire home/apt,5.0
2,True,9,4,79266038,36.00557058554234,13653455,-115.16995431954227,3,50,2,Entire home/apt,0.0
2,False,10,4,32918882,36.11513013018691,12203249,-115.19547778410488,3,149,2,Entire home/apt,0.0
2,True,11,4,47945833,36.13180434654474,9220546,-115.14242471200616,3,97,33,Entire home/apt,4.5
2,True,12,4,43351180,36.11296493355866,8323908,-115.19862487332585,3,130,27,Entire home/apt,5.0
1,False,13,4,3751238,36.10297805455703,11152190,-115.13282016440999,3,59,15,Entire home/apt,4.5
2,True,14,4,22554257,36.10624094747924,4349688,-115.16562512894917,3,100,137,Entire home/apt,5.0
2,False,15,4,31894383,36.10381541443325,7807749,-115.11057262249946,3,99,63,Entire home/apt,5.0
