bedrooms,can_instant_book,counter,guests,host_id,latitude,listing_id,longitude,page,rate,reviews_count,room_type,star_rating
6,False,1,4,76379810,34.11177014566035,13411348,-118.36398072884286,1,2500,0,Entire home/apt,0.0
2,False,2,4,36123314,34.038180113560884,9093116,-118.3456027827311,1,141,62,Entire home/apt,5.0
1,True,3,4,29530631,34.06302210049476,7183259,-118.4733185521996,1,85,34,Entire home/apt,5.0
1,True,4,4,34800549,34.18617984564824,7544248,-118.36498750694822,1,100,45,Entire home/apt,5.0
3,True,5,4,21013529,34.04625017341983,13591642,-118.25460351595288,1,177,3,Entire home/apt,4.5
2,False,6,4,25287380,34.043733566307345,6811323,-118.2669122530084,1,200,63,Entire home/apt,5.0
1,False,7,4,12880886,34.04639845471725,9565942,-118.26024550810507,1,209,43,Entire home/apt,5.0
2,True,8,4,433147,34.11708824679699,2602008,-118.26529280752077,1,335,75,Entire home/apt,5.0
0,False,9,4,107275,34.05099267587362,11229058,-118.25627279033593,1,149,21,Entire home/apt,4.5
1,True,10,4,35248535,34.05004899116983,11157580,-118.26800677001185,1,140,36,Entire home/apt,4.5
1,True,11,4,34506667,34.10216809899268,10371574,-118.3274694671445,1,219,19,Entire home/apt,4.5
1,False,12,4,28843594,34.063135882050574,8723018,-118.26622374834491,1,161,62,Entire home/apt,5.0
1,True,13,4,11704942,34.09789494123882,5459204,-118.31538985615835,1,149,54,Entire home/apt,4.0
2,False,14,4,4510013,34.076611619727274,13579801,-118.38998417052387,1,269,2,Entire home/apt,0.0
1,False,15,4,16484717,34.066202136491974,13545646,-118.35838034348167,1,129,5,Entire home/apt,5.0
1,True,16,4,27598231,34.09094881313716,11101243,-118.1306420889033,1,180,20,Entire home/apt,4.0
1,True,17,4,53876940,34.06471469022683,11967490,-118.45040398066958,1,129,17,Entire home/apt,4.0
2,True,18,4,4743375,34.03718069011492,2784096,-118.32454576831941,1,162,107,Entire home/apt,4.5
4,False,1,4,11025676,34.08600907330974,7680552,-118.25527010665168,2,225,22,Entire home/apt,5.0
0,False,2,4,239712,34.01356731465951,53579,-118.49538669088857,2,195,53,Entire home/apt,4.5
2,True,3,4,74251773,34.04599193430546,13463737,-118.26545894338223,2,449,1,Entire home/apt,0.0
0,True,4,4,62330074,34.162652608594456,11721123,-118.37950890741558,2,105,3,Entire home/apt,4.0
3,False,5,4,4265938,33.99462328150459,2801402,-118.48022735645841,2,699,46,Entire home/apt,4.5
2,False,6,4,38408342,33.98310934711131,7547430,-118.4705831220176,2,180,7,Entire home/apt,5.0
2,False,7,4,26362120,34.10881656359042,13578862,-118.34129057829831,2,452,0,Entire home/apt,0.0
5,False,8,4,633484,34.1045605430778,132908,-118.3700217566273,2,1350,77,Entire home/apt,5.0
4,True,9,4,53876940,34.07479512847674,10500242,-118.39599756024215,2,399,39,Entire home/apt,4.5
1,False,10,4,239712,34.012606957101,100074,-118.49584189309043,2,130,180,Entire home/apt,4.5
2,True,11,4,74251773,34.04448867556361,13773830,-118.2610440987512,2,549,2,Entire home/apt,0.0
2,False,12,4,4517637,34.09048189164039,1256645,-118.36593787923091,2,250,126,Entire home/apt,5.0
1,True,13,4,16915272,34.02936202489298,9839577,-118.3060784870354,2,122,12,Entire home/apt,5.0
1,True,14,4,11341922,34.18357427703229,13898282,-118.59473983731361,2,165,0,Entire home/apt,0.0
0,False,15,4,19811323,34.15278183730594,3843641,-118.42316867989908,2,138,83,Entire home/apt,5.0
1,False,16,4,8956641,34.072005027143206,1695885,-118.33711332155372,2,129,141,Entire home/apt,5.0
1,False,17,4,33959750,34.1015969932765,7731915,-118.3097734061218,2,159,83,Entire home/apt,4.5
2,False,18,4,4353260,34.09466324685532,13362097,-118.33152465687434,2,180,3,Entire home/apt,5.0
2,False,1,4,73425591,34.080315070655544,13155177,-118.30384173209575,3,124,3,Entire home/apt,5.0
1,False,2,4,2206319,33.888290709944236,6341581,-118.34431728651195,3,114,74,Entire home/apt,5.0
3,True,3,4,50832968,34.04787296583046,9880694,-118.46919791321197,3,242,0,Entire home/apt,0.0
1,True,4,4,5928424,34.02075707414961,10436077,-118.46071463514986,3,165,19,Entire home/apt,5.0
1,True,5,4,79100384,34.10255999024839,13937020,-118.33131608320524,3,119,0,Entire home/apt,0.0
1,False,6,4,54007381,34.0599503497137,13369736,-118.25099989716317,3,149,6,Entire home/apt,4.5
0,True,7,4,403838,33.986007177106444,76561,-118.35798476086819,3,125,314,Entire home/apt,5.0
1,False,8,4,4693999,34.12505041809625,2070648,-118.19583882057375,3,79,0,Entire home/apt,0.0
1,True,9,4,9895292,34.049711856440865,10370748,-118.31358168392934,3,125,15,Entire home/apt,4.5
1,True,10,4,75666647,34.10109728697729,13349546,-118.33887950140819,3,189,12,Entire home/apt,5.0
2,True,11,4,67390887,34.06199898506355,13623226,-118.24820113758813,3,165,3,Entire home/apt,4.0
0,False,12,4,12997393,34.04863454148657,12307699,-118.24746010888833,3,150,14,Entire home/apt,5.0
1,False,13,4,29964991,34.03143610506046,10075415,-118.29099729692071,3,69,1,Entire home/apt,0.0
3,False,14,4,65071586,33.816228431053794,13170847,-118.19128248401304,3,99,0,Entire home/apt,0.0
1,False,15,4,64561508,34.101197545356776,12295561,-118.33533316976144,3,179,13,Entire home/apt,5.0
0,False,16,4,283229,34.09768360765293,7772486,-118.31378772987597,3,149,40,Entire home/apt,5.0
0,False,17,4,21651138,34.032643994381154,13543581,-118.37756744927204,3,75,2,Entire home/apt,0.0
2,False,18,4,20984194,33.98623866607398,5436110,-118.45814717655114,3,150,104,Entire home/apt,5.0
0,False,1,4,1366416,34.06060417720983,260438,-118.35202689512252,4,155,296,Entire home/apt,5.0
2,False,2,4,7366602,34.09359056438114,10526380,-118.2842178583562,4,142,23,Entire home/apt,5.0
1,False,3,4,31533086,34.033258218678114,10767624,-118.37098256299377,4,80,32,Entire home/apt,4.5
2,False,4,4,6759416,34.13859205254594,7698024,-118.20908931302237,4,166,46,Entire home/apt,4.5
1,True,5,4,5356013,34.11103265234055,978549,-118.23511049149707,4,133,165,Entire home/apt,5.0
2,True,6,4,76259830,34.05321416419138,13399390,-118.26137299504992,4,216,5,Entire home/apt,5.0
1,False,7,4,14413686,34.067676766339495,9578070,-118.34903298171687,4,185,18,Entire home/apt,5.0
2,False,8,4,12658759,34.10373137300827,3842573,-118.33272576325601,4,180,116,Entire home/apt,5.0
1,True,9,4,31027438,33.76616292194293,13688860,-118.18073900804411,4,110,1,Entire home/apt,0.0
2,False,10,4,62162395,33.72117408515156,11697511,-118.32938690975386,4,160,14,Entire home/apt,5.0
2,False,11,4,25667495,34.033207210249095,6898174,-118.28854863822869,4,124,60,Entire home/apt,4.5
2,False,12,4,1680313,34.056750942201674,8306587,-118.33910573249385,4,99,22,Entire home/apt,5.0
1,False,13,4,6005593,34.086565293503476,1092952,-118.25027925081854,4,172,171,Entire home/apt,4.5
1,True,14,4,3181340,34.13738882994878,8014792,-118.34347556333815,4,205,50,Entire home/apt,5.0
2,False,15,4,27559410,34.09177310686762,5319522,-118.2823012466718,4,255,57,Entire home/apt,5.0
0,False,16,4,30730436,34.041494248687236,8670321,-118.26116913745166,4,184,44,Entire home/apt,5.0
5,True,17,4,34481224,34.12530960764393,6591055,-118.34495088954746,4,399,41,Entire home/apt,5.0
1,False,18,4,1432749,34.046742354309735,8367326,-118.25203900900705,4,130,22,Entire home/apt,4.5
3,False,1,4,6277851,34.039520573384955,11992657,-118.28617656961603,5,164,22,Entire home/apt,5.0
0,False,2,4,13044882,34.20631662612406,2547573,-118.55417638235498,5,90,74,Entire home/apt,5.0
1,False,3,4,3459337,33.77547051344233,679695,-118.32799867441844,5,255,92,Entire home/apt,5.0
0,False,4,4,27537,34.045708938499395,1373250,-118.35835507074128,5,157,42,Entire home/apt,5.0
2,True,5,4,9741116,34.04884933282366,13006150,-118.25256721291149,5,150,12,Entire home/apt,5.0
2,False,6,4,3677880,34.10975444056638,3385551,-118.20331987404508,5,130,100,Entire home/apt,5.0
3,False,7,4,2784589,34.131277743333634,11574889,-118.09094537468621,5,175,3,Entire home/apt,4.5
3,False,8,4,15282833,34.0756907063461,3005143,-118.25633606839007,5,199,95,Entire home/apt,4.5
2,False,9,4,53099579,34.09026351818392,10414641,-118.27305200189845,5,220,23,Entire home/apt,5.0
1,False,10,4,1657231,34.04507519728843,11498449,-118.23306415407257,5,159,9,Entire home/apt,5.0
1,False,11,4,69115817,34.16074471368,13764774,-118.37323801776661,5,228,1,Entire home/apt,0.0
2,False,12,4,45155523,33.90746157011863,8580038,-118.16637324246169,5,110,69,Entire home/apt,5.0
0,False,13,4,23088284,34.099967052138595,8293522,-118.3122234204875,5,108,3,Entire home/apt,4.5
1,False,14,4,48301416,34.01842595474198,11346662,-118.14298383951412,5,105,13,Entire home/apt,5.0
0,False,15,4,8442997,34.20363208287292,6426830,-118.14828931255845,5,109,60,Entire home/apt,5.0
1,True,16,4,6541773,34.06518201371386,1197478,-118.33835173638705,5,200,109,Entire home/apt,5.0
2,False,17,4,8956641,34.07294256815201,1696090,-118.33911319221716,5,160,124,Entire home/apt,5.0
0,False,18,4,23088284,34.09904415191975,7134345,-118.3007661485417,5,99,48,Entire home/apt,4.5
0,True,1,4,66837296,34.04926803112342,13802358,-118.21160360449342,6,90,0,Entire home/apt,0.0
0,True,2,4,31449938,34.05096012187844,7437744,-118.2654305579569,6,99,82,Entire home/apt,4.5
0,False,3,4,8035438,34.0822960388951,1503930,-118.2503581106199,6,90,182,Entire home/apt,4.5
0,False,4,4,12933512,34.06003908404621,7440778,-118.29452392042141,6,126,22,Entire home/apt,5.0
0,False,5,4,24912185,34.0405337878692,8067384,-118.2705944082723,6,109,60,Entire home/apt,5.0
1,False,6,4,17180967,34.05224766855072,6822294,-118.2644175321855,6,160,72,Entire home/apt,5.0
0,True,7,4,37370486,33.99762825690111,7134602,-118.406047796004,6,89,133,Entire home/apt,5.0
2,True,8,4,55186056,34.070050017722984,13772749,-118.13399162376999,6,114,0,Entire home/apt,0.0
3,False,9,4,25638454,34.04104035859773,6261398,-118.31695071455374,6,99,30,Entire home/apt,4.5
3,False,10,4,1222283,34.055233188508346,13534461,-118.34244083219201,6,173,0,Entire home/apt,0.0
1,True,11,4,27073942,34.011789092512785,11790852,-118.49916245188432,6,300,14,Entire home/apt,5.0
2,False,12,4,4175079,34.091732834092156,1001534,-118.24892315415741,6,210,120,Entire home/apt,5.0
2,False,13,4,205467,34.09281048495745,6364732,-118.33502541291834,6,159,90,Entire home/apt,5.0
2,False,14,4,8185146,34.07979632696294,13084627,-118.30506224954074,6,177,11,Entire home/apt,5.0
0,True,15,4,17739345,34.105236261050145,7957544,-118.33412256272507,6,119,44,Entire home/apt,4.5
1,False,16,4,4754442,34.065597317515305,12567214,-118.35476473587707,6,140,10,Entire home/apt,4.5
2,True,17,4,25908590,34.104310676322626,12436265,-118.34559481238585,6,169,24,Entire home/apt,4.5
1,False,18,4,77345934,34.062757776070576,13493645,-118.24808424746418,6,149,2,Entire home/apt,0.0
0,False,1,4,23088284,34.10445024196549,5421067,-118.3305578695225,7,115,113,Entire home/apt,4.5
1,False,2,4,6277851,34.09679283270931,6869042,-118.27646365828384,7,149,53,Entire home/apt,5.0
1,False,3,4,1487170,34.094825229015036,1593645,-118.35087678940937,7,140,50,Entire home/apt,5.0
2,True,4,4,61173115,33.76925796753248,11895033,-118.18314222962385,7,110,2,Entire home/apt,0.0
1,False,5,4,25618855,34.05068708319295,13171337,-118.26348991225414,7,100,4,Entire home/apt,4.5
1,False,6,4,7075618,34.07881710721112,4998579,-118.26827731910853,7,141,67,Entire home/apt,5.0
2,True,7,4,9475180,34.116396637392775,11089316,-118.2892574003824,7,105,19,Entire home/apt,4.5
2,False,8,4,32628227,34.113278490729996,6287301,-118.25177071243489,7,186,16,Entire home/apt,5.0
2,True,9,4,4193581,34.109066204347776,796099,-118.33029289806841,7,280,195,Entire home/apt,4.5
2,True,10,4,64708406,34.067366472927546,13497881,-118.3519790482179,7,190,6,Entire home/apt,4.5
2,True,11,4,14651369,34.068396223131614,9295841,-118.34866374344745,7,215,6,Entire home/apt,5.0
0,True,12,4,5326266,34.13192105050766,973874,-118.34652905864618,7,129,99,Entire home/apt,5.0
2,True,13,4,53658021,34.06288157275197,10418735,-118.2447726984121,7,200,28,Entire home/apt,4.5
1,False,14,4,2782787,34.1227848189137,1696544,-118.20451309832167,7,100,98,Entire home/apt,5.0
1,False,15,4,49761695,34.02343174161522,13602504,-118.44889793759369,7,169,5,Entire home/apt,5.0
2,True,16,4,45155159,34.120461177126245,10515823,-118.20295493268706,7,125,17,Entire home/apt,5.0
2,False,17,4,79483496,34.053360634965436,13668154,-118.2628171197372,7,185,3,Entire home/apt,5.0
0,True,18,4,9762413,34.09897574262924,4997209,-118.31521839994514,7,119,140,Entire home/apt,4.5
2,True,1,4,31726976,34.035458863697535,6833646,-118.34531629388728,8,117,21,Entire home/apt,4.5
1,False,2,4,59842484,34.02997254605452,12471353,-118.36792159973002,8,90,4,Entire home/apt,5.0
1,False,3,4,24805385,34.101476034034846,12827250,-118.34463808173957,8,99,1,Entire home/apt,0.0
1,True,4,4,35248535,34.05068933062855,11047375,-118.26702272650341,8,159,29,Entire home/apt,4.5
2,False,5,4,24942115,34.0500282326188,4914460,-118.34066488596264,8,200,54,Entire home/apt,5.0
2,False,6,4,21053971,34.09518746529804,12095048,-118.33535050783755,8,199,10,Entire home/apt,5.0
0,True,7,4,31449938,34.05151071643624,6592661,-118.26612111329356,8,104,96,Entire home/apt,4.5
2,False,8,4,50860283,34.04516132631472,9886811,-118.26239942617937,8,299,5,Entire home/apt,5.0
1,False,9,4,3294402,34.04318123338749,13138141,-118.27851532924316,8,159,4,Entire home/apt,5.0
2,True,10,4,8071324,34.096068509183645,1511247,-118.27597376919755,8,240,143,Entire home/apt,5.0
3,False,11,4,42847080,34.15103665128896,12742095,-118.20945357915853,8,249,7,Entire home/apt,4.5
0,True,12,4,33767752,34.06136584963802,11285505,-118.24886524414178,8,136,40,Entire home/apt,5.0
1,True,13,4,3483671,34.09639917211926,12972107,-118.32667561991725,8,124,9,Entire home/apt,5.0
2,True,14,4,4799384,34.062834291878275,12057138,-118.2898615328049,8,299,21,Entire home/apt,5.0
2,True,15,4,54842664,34.094572756303286,10956708,-118.3409803684639,8,135,14,Entire home/apt,5.0
1,True,16,4,107275,34.101058634024724,12344478,-118.34194526169968,8,189,12,Entire home/apt,5.0
2,False,17,4,39335849,34.095620534023624,9965844,-118.34410852492798,8,229,31,Entire home/apt,5.0
1,True,18,4,64215856,34.10409108537524,12006979,-118.3316498056099,8,160,22,Entire home/apt,4.5
1,False,1,4,3214282,34.078660297717455,9189408,-118.35456017373654,9,145,9,Entire home/apt,5.0
1,False,2,4,923522,34.08083619705792,13562554,-118.21003976981567,9,115,5,Entire home/apt,5.0
1,False,3,4,76453092,34.092892994997385,13417164,-118.34824435070783,9,109,1,Entire home/apt,0.0
0,False,4,4,2505679,34.08325847827144,11984276,-118.2757181408465,9,114,23,Entire home/apt,5.0
1,False,5,4,53236854,34.14227509665196,12137714,-117.85061060969944,9,104,21,Entire home/apt,5.0
3,False,6,4,77770403,33.7615588856766,13530049,-118.1514384767503,9,350,1,Entire home/apt,0.0
2,False,7,4,43717800,34.121645871533694,13173156,-118.21380154711278,9,125,1,Entire home/apt,0.0
0,False,8,4,40635797,34.04770659309944,7750991,-118.25090797635325,9,195,42,Entire home/apt,5.0
2,False,9,4,1971655,34.11562712930382,5626756,-118.20980855720896,9,130,41,Entire home/apt,4.5
2,False,10,4,36612340,34.06288475364111,12113649,-118.34618512033985,9,199,18,Entire home/apt,5.0
2,False,11,4,28012515,34.127098443433,11128668,-118.34783326548671,9,190,35,Entire home/apt,5.0
2,True,12,4,161042,34.067170473567714,7637797,-118.25118332751896,9,140,22,Entire home/apt,4.5
3,True,13,4,11082939,34.08973348208455,9617190,-118.29176992941983,9,199,42,Entire home/apt,5.0
3,True,14,4,74277266,34.137098708432994,13230559,-118.20611036778368,9,199,2,Entire home/apt,0.0
1,True,15,4,66075802,34.11047201963277,12709208,-118.33188465913929,9,190,10,Entire home/apt,3.0
2,False,16,4,17418802,34.069046107284514,12628735,-118.26500738465245,9,165,15,Entire home/apt,5.0
2,True,17,4,9933155,34.03879126232634,11973537,-118.36835349822289,9,149,10,Entire home/apt,5.0
1,False,18,4,3324376,34.04546640926473,4264352,-118.25382628571022,9,180,82,Entire home/apt,5.0
2,False,1,4,5778371,34.17509977788997,1049305,-118.27034306622859,10,180,73,Entire home/apt,5.0
2,False,2,4,32146880,34.063394811207694,6199137,-118.35328696416514,10,225,43,Entire home/apt,5.0
0,True,3,4,54408678,34.04896184591987,10549800,-118.27028114135268,10,145,40,Entire home/apt,4.5
2,False,4,4,7594251,34.10534654788287,7347533,-118.26232996947883,10,205,24,Entire home/apt,5.0
1,False,5,4,107275,34.04911137446082,11678714,-118.26077810688142,10,149,20,Entire home/apt,4.0
2,False,6,4,28350,33.77206463226124,9140,-118.18892968348986,10,190,225,Entire home/apt,5.0
2,False,7,4,77375239,34.080697320448785,13496065,-118.3125461741564,10,155,2,Entire home/apt,0.0
2,False,8,4,72373578,34.09093677565532,13063700,-118.1782400490323,10,114,6,Entire home/apt,5.0
0,True,9,4,20043329,34.09194718226905,7112899,-118.24909111912163,10,174,114,Entire home/apt,5.0
2,False,10,4,4659788,34.0312767137581,880864,-118.37883310319555,10,154,93,Entire home/apt,5.0
0,True,11,4,54408678,34.047223618483756,10998029,-118.27097923068347,10,133,37,Entire home/apt,5.0
1,True,12,4,13685322,34.03835985711851,12026380,-118.26949728206586,10,209,9,Entire home/apt,5.0
2,False,13,4,4799384,34.0600644324996,12549689,-118.29004146352128,10,299,17,Entire home/apt,4.5
2,False,14,4,39826194,34.01278243945686,12019996,-118.39137289640759,10,127,11,Entire home/apt,5.0
1,True,15,4,32999823,34.099761175889036,7774718,-118.33712116233946,10,159,70,Entire home/apt,5.0
1,True,16,4,41860365,34.03404364601176,12347070,-118.29101533546186,10,79,18,Entire home/apt,4.5
2,False,17,4,47287361,34.10164301346083,9081373,-118.31225361696063,10,125,22,Entire home/apt,5.0
2,False,18,4,22929317,34.09886956255746,10318426,-118.36313998342985,10,300,12,Entire home/apt,4.0
2,False,1,4,870275,34.09822023839122,12518318,-118.33050849745038,11,310,11,Entire home/apt,5.0
2,False,2,4,7968064,34.024709471426824,13768599,-118.38238251453353,11,180,0,Entire home/apt,0.0
3,False,3,4,65751871,34.05331028458303,12425141,-118.34160391823741,11,158,4,Entire home/apt,4.5
1,False,4,4,30932937,34.079390825470014,5958809,-118.34794273959078,11,145,57,Entire home/apt,5.0
1,True,5,4,8874173,34.10958780822933,2216775,-118.32131071588795,11,175,105,Entire home/apt,5.0
2,True,6,4,19399122,34.092642416157894,13659395,-118.28762056035383,11,124,1,Entire home/apt,0.0
0,True,7,4,23389136,34.13152061817516,10689566,-118.35246154731165,11,140,43,Entire home/apt,4.5
2,False,8,4,4799384,34.06087613188005,11385560,-118.29095790561134,11,299,23,Entire home/apt,5.0
2,True,9,4,6277851,34.109463272566046,13016894,-118.32418889700244,11,154,5,Entire home/apt,5.0
2,False,10,4,74695337,34.08008616365534,13264674,-118.30233757145491,11,165,8,Entire home/apt,5.0
2,True,11,4,67072012,34.04929923769796,13789141,-118.3303886275944,11,90,1,Entire home/apt,0.0
2,False,12,4,17579793,34.08947116532059,13605913,-118.28715039539972,11,145,2,Entire home/apt,0.0
0,True,13,4,11083388,34.105520452371344,9543685,-118.33176225097515,11,153,34,Entire home/apt,5.0
1,False,14,4,537523,34.13982503647863,3289960,-118.19132020166107,11,161,51,Entire home/apt,5.0
2,False,15,4,53331260,34.03753516303403,10362019,-118.61051345597276,11,225,1,Entire home/apt,0.0
2,True,16,4,20290436,34.02362702474357,5851481,-118.18340613984188,11,125,34,Entire home/apt,5.0
1,True,17,4,22053246,34.05117771997798,7526214,-118.26474724664853,11,150,60,Entire home/apt,5.0
1,False,18,4,12269798,34.087992684839875,8762211,-118.33179421924228,11,173,50,Entire home/apt,4.5
1,False,1,4,17982407,34.103619584828806,8461543,-118.3154963794075,12,126,24,Entire home/apt,5.0
2,False,2,4,15108278,34.10353600761684,12643899,-118.32485552837325,12,249,13,Entire home/apt,5.0
2,False,3,4,24308969,34.088375057154614,4702591,-118.2163494948196,12,129,26,Entire home/apt,5.0
1,True,4,4,5009369,34.06492294665399,930058,-118.31164139055139,12,169,107,Entire home/apt,4.5
1,False,5,4,3560243,34.00051268546286,5280083,-118.46764412023968,12,139,86,Entire home/apt,5.0
2,False,6,4,71805340,34.05902852341652,13013212,-118.25117083538956,12,199,8,Entire home/apt,4.5
2,True,7,4,58375630,34.13313541444825,11209054,-118.34338345990247,12,169,18,Entire home/apt,5.0
0,True,8,4,23389136,34.13328719388792,4510842,-118.35245956487098,12,128,82,Entire home/apt,4.5
2,False,9,4,26074717,34.09373066513054,5050353,-118.32282766252737,12,185,37,Entire home/apt,4.5
2,False,10,4,1226019,34.101462975895906,6464216,-118.35032757630721,12,225,5,Entire home/apt,4.5
0,True,11,4,3044293,34.078411907850665,4205684,-118.29562584112024,12,116,20,Entire home/apt,4.0
1,True,12,4,13685322,34.05246052700499,12390777,-118.26078686433692,12,149,16,Entire home/apt,5.0
2,True,13,4,29772165,34.102215623159935,12549827,-118.34109414704884,12,159,17,Entire home/apt,4.5
1,False,14,4,2972149,34.09438394396949,770046,-118.33009096864347,12,175,38,Entire home/apt,5.0
2,False,15,4,9952580,34.107186044840624,6051358,-118.19296121002871,12,155,33,Entire home/apt,5.0
4,False,16,4,42432662,33.989249363085484,12714566,-118.41551726773241,12,239,7,Entire home/apt,5.0
1,False,17,4,1597048,34.111987473459784,191733,-118.2519809332522,12,190,51,Entire home/apt,5.0
1,False,18,4,35426339,34.043937635176746,8195788,-118.3854287906548,12,89,48,Entire home/apt,4.5
1,False,1,4,411877,33.99748517610737,521222,-118.47238833819469,13,158,117,Entire home/apt,4.5
1,False,2,4,46131538,33.819133622766294,8804254,-118.3883492034692,13,175,9,Entire home/apt,4.5
2,True,3,4,4372306,34.10109449451979,2250184,-118.35077313404459,13,300,39,Entire home/apt,5.0
1,False,4,4,19133591,33.76501944177813,3772639,-118.17877562888236,13,163,42,Entire home/apt,4.5
1,False,5,4,1421694,33.75536767928059,272472,-118.1359200327726,13,199,103,Entire home/apt,5.0
2,True,6,4,70399014,34.04350765291968,12886575,-118.20762915071549,13,119,5,Entire home/apt,4.0
0,False,7,4,1010332,34.17627424309515,345489,-118.28470492978504,13,95,56,Entire home/apt,4.5
2,True,8,4,4799384,34.05055780681555,3476867,-118.26381086053583,13,175,96,Entire home/apt,4.5
2,True,9,4,2854160,34.0125648868088,3761519,-118.42193798519861,13,199,84,Entire home/apt,5.0
1,False,10,4,57937740,34.03740674626129,13297915,-118.27006373294807,13,200,3,Entire home/apt,4.5
0,True,11,4,34206352,34.061424348969624,6687728,-118.3425256017338,13,149,4,Entire home/apt,5.0
2,False,12,4,74549044,34.09139100169943,13252502,-118.28176864286607,13,145,7,Entire home/apt,5.0
2,False,13,4,29067331,34.118909552021236,5607340,-118.267528615425,13,160,52,Entire home/apt,5.0
1,True,14,4,1317502,34.07704569822849,3626359,-118.28165391050157,13,100,52,Entire home/apt,4.0
1,True,15,4,41195274,34.04970981496294,13399361,-118.41913494337214,13,104,5,Entire home/apt,5.0
3,False,16,4,22700347,34.08279367092792,9980086,-118.26446595974917,13,225,27,Entire home/apt,5.0
2,False,17,4,8692115,34.10573393727728,1637136,-118.24570223022697,13,154,84,Entire home/apt,5.0
2,False,18,4,69713993,34.0985027769335,12800442,-118.34045643247913,13,130,5,Entire home/apt,5.0
1,False,1,4,107275,34.101473335706885,12474099,-118.3391778135932,14,189,13,Entire home/apt,4.5
3,True,2,4,46979936,34.10294981592022,9030128,-118.33584237873187,14,345,47,Entire home/apt,5.0
2,False,3,4,1183018,34.08867126980379,2792574,-118.27504379996373,14,214,5,Entire home/apt,5.0
1,True,4,4,77382560,34.072685737187385,13495899,-118.38197494829846,14,150,2,Entire home/apt,0.0
1,False,5,4,50851845,34.10397135852756,12838918,-118.33420592568442,14,120,15,Entire home/apt,4.5
2,False,6,4,23126768,34.04820542422487,11826050,-118.26211337996598,14,199,16,Entire home/apt,3.5
1,True,7,4,27598231,34.127323944408424,5617650,-118.0802903359953,14,120,69,Entire home/apt,5.0
1,True,8,4,73326371,33.960812936300016,13147304,-118.45419322307698,14,229,5,Entire home/apt,5.0
2,False,9,4,18527081,33.98027630157619,13356833,-118.41110414049197,14,225,0,Entire home/apt,0.0
1,False,10,4,15643925,33.831580727950076,10554458,-118.32763347377336,14,65,50,Entire home/apt,5.0
5,False,11,4,32720959,34.08666595503425,6292699,-118.36593129261733,14,549,57,Entire home/apt,5.0
1,False,12,4,72600325,34.10162600529014,13084086,-118.31695210436746,14,149,8,Entire home/apt,5.0
1,False,13,4,46811826,34.120301877030684,8956602,-118.25878165931181,14,144,10,Entire home/apt,5.0
0,False,14,4,21474482,34.05610029821104,8733084,-118.31304026609726,14,150,47,Entire home/apt,4.5
2,True,15,4,22921031,34.092672019206034,7726969,-118.28363334763873,14,155,47,Entire home/apt,5.0
2,False,16,4,38948997,34.06078890355915,13817161,-118.39385422226655,14,205,1,Entire home/apt,0.0
0,False,17,4,40531263,33.82410470077448,9096267,-118.3853739464799,14,150,58,Entire home/apt,5.0
2,False,18,4,37336177,34.06805732909407,13606037,-118.35493958136588,14,179,0,Entire home/apt,0.0
1,False,1,4,41363429,34.106534314571704,7849689,-118.33679705915267,15,155,34,Entire home/apt,5.0
1,True,2,4,40225166,34.093385936029435,13252302,-118.34347772220109,15,125,8,Entire home/apt,5.0
