bedrooms,can_instant_book,counter,guests,host_id,latitude,listing_id,longitude,page,rate,reviews_count,room_type,star_rating
2,True,1,4,65779450,29.967391898629753,14279184,-90.05816696771377,1,150,0,Entire home/apt,0.0
2,True,2,4,50825426,29.951070416192078,12110956,-90.07059105703786,1,101,11,Entire home/apt,5.0
1,False,3,4,67484640,29.973091070569218,12509235,-90.06768950040144,1,75,10,Entire home/apt,5.0
1,False,4,4,28824801,29.971655246483863,5560129,-90.06980088934941,1,139,96,Entire home/apt,5.0
2,True,5,4,38663079,29.964181925517142,7380455,-90.06366279140796,1,48,76,Entire home/apt,5.0
2,False,6,4,27726979,29.973914213954924,9613217,-90.07366105553399,1,125,17,Entire home/apt,5.0
2,True,7,4,29387843,29.979704513439742,13153352,-90.04695719695525,1,49,14,Entire home/apt,5.0
1,False,8,4,57525048,29.95100520739175,13426678,-90.07328101151552,1,46,10,Entire home/apt,4.5
1,False,9,4,12795657,29.959462648300104,13726158,-90.0683731610522,1,130,5,Entire home/apt,4.5
1,False,10,4,43637952,29.967398914175114,13765398,-90.06123746649646,1,88,0,Entire home/apt,0.0
2,True,11,4,16686373,29.92229697481465,14176015,-90.08179041749722,1,110,2,Entire home/apt,0.0
1,True,12,4,426781,29.925411683409386,9900207,-90.07512525616394,1,69,43,Entire home/apt,5.0
2,False,13,4,4636178,29.967830424154577,12559440,-90.08638131191884,1,50,21,Entire home/apt,4.5
2,False,14,4,27003076,29.923075355272108,5219190,-90.0858110376993,1,90,49,Entire home/apt,4.5
1,False,15,4,407251,29.955844174709572,2416483,-90.06937089240178,1,125,186,Entire home/apt,5.0
1,True,16,4,58768525,29.950217134012536,13653640,-90.07095238138578,1,185,14,Entire home/apt,5.0
1,True,17,4,13159076,29.966776704494148,12102560,-90.04501264579712,1,119,23,Entire home/apt,5.0
1,True,18,4,52990715,29.959489542650534,13513425,-90.06006968558137,1,110,12,Entire home/apt,4.5
0,False,1,4,7502278,29.963566406956897,3210134,-90.05853159306943,2,90,204,Entire home/apt,5.0
0,True,2,4,5316723,29.967562636573724,9707852,-90.03487269845651,2,70,34,Entire home/apt,4.5
2,True,3,4,3588532,29.96381561641258,7494641,-90.09354976879905,2,75,33,Entire home/apt,5.0
2,True,4,4,1035708,29.9714419475136,12956460,-90.10092859423135,2,97,4,Entire home/apt,5.0
1,True,5,4,6489256,29.952009976369496,2761805,-90.06900892598586,2,299,8,Entire home/apt,5.0
2,True,6,4,16686373,29.970957895084496,14220516,-90.06829365820369,2,155,1,Entire home/apt,0.0
1,True,7,4,426781,29.925411683409386,9900207,-90.07512525616394,2,69,43,Entire home/apt,5.0
2,True,8,4,33890695,29.971579034942366,11947889,-90.0815463597342,2,80,34,Entire home/apt,4.5
1,False,9,4,51672765,29.96226441062088,12434312,-90.0592820648508,2,120,7,Entire home/apt,5.0
2,False,10,4,428362,29.97871698813793,79536,-90.07405177235498,2,87,312,Entire home/apt,5.0
1,True,11,4,9288450,29.95141795884105,10600555,-90.07220213205918,2,175,37,Entire home/apt,5.0
2,False,12,4,58189075,29.963675875694673,13827256,-90.05754045163312,2,115,3,Entire home/apt,4.5
3,False,13,4,24668830,29.93341941611947,4957711,-90.08819713137821,2,80,60,Entire home/apt,4.5
1,False,14,4,43637952,29.967398914175114,13765398,-90.06123746649646,2,88,0,Entire home/apt,0.0
3,True,15,4,34011332,29.962595826502167,13686993,-90.08695088804794,2,70,5,Entire home/apt,4.5
1,False,16,4,24831061,29.95343490654008,4823757,-90.06457359151544,2,105,63,Entire home/apt,4.5
1,True,17,4,65331512,29.952072891771955,12163729,-90.07145248987575,2,160,26,Entire home/apt,5.0
1,False,18,4,2354356,29.97333304006252,12950839,-90.05110942166753,2,74,20,Entire home/apt,5.0
1,True,1,4,29448250,29.944188951074267,13324497,-90.12035369426226,3,85,7,Entire home/apt,5.0
1,False,2,4,67633955,29.967397947692703,12491897,-90.05915217235933,3,80,11,Entire home/apt,5.0
2,False,3,4,27284037,29.974336441011523,13653810,-90.05150094626013,3,70,9,Entire home/apt,4.5
1,True,4,4,85190035,29.95456424782987,14126184,-90.06959905541277,3,175,4,Entire home/apt,5.0
1,False,5,4,48416424,29.949311761454265,14030307,-90.06847731525625,3,200,1,Entire home/apt,0.0
0,True,6,4,5316723,29.967562636573724,9707852,-90.03487269845651,3,75,34,Entire home/apt,4.5
1,False,7,4,2354356,29.97333304006252,12950839,-90.05110942166753,3,97,20,Entire home/apt,5.0
2,True,8,4,22866778,29.925205167370176,13796200,-90.07487824399264,3,149,3,Entire home/apt,4.0
2,True,9,4,31020303,29.980825874764346,11514235,-90.09268817593149,3,125,17,Entire home/apt,5.0
1,True,10,4,78930188,29.95527649459093,13623720,-90.0696566850055,3,99,11,Entire home/apt,5.0
3,False,11,4,63294204,29.91427514507622,12135747,-90.20360077413342,3,45,17,Entire home/apt,4.5
1,True,12,4,19636953,29.966122865192023,8760409,-90.06170765612774,3,95,48,Entire home/apt,5.0
0,True,13,4,33890695,29.970552564893648,11948344,-90.08071888481773,3,85,36,Entire home/apt,5.0
1,False,14,4,70403538,29.96764129894873,13083482,-90.05823360040641,3,125,3,Entire home/apt,5.0
6,True,15,4,783070,29.94465117129281,13373254,-90.09818353314849,3,179,11,Entire home/apt,5.0
2,False,16,4,428362,29.97871698813793,79536,-90.07405177235498,3,90,312,Entire home/apt,5.0
1,False,17,4,51672765,29.96226441062088,12434312,-90.0592820648508,3,140,7,Entire home/apt,5.0
2,False,18,4,74907357,29.950717662991174,13283041,-90.06828754707394,3,179,1,Entire home/apt,0.0
1,True,1,4,80390426,29.966215023720043,13735691,-90.06499722104574,4,125,16,Entire home/apt,5.0
1,True,2,4,19636953,29.966122865192023,8760409,-90.06170765612774,4,95,48,Entire home/apt,5.0
3,False,3,4,21776430,29.982814194119957,6326700,-90.10370402344712,4,126,21,Entire home/apt,5.0
2,True,4,4,63616264,29.98102616306564,11921147,-90.1076059975322,4,85,5,Entire home/apt,5.0
1,False,5,4,4990921,29.95870920992202,12544795,-90.0688203635028,4,300,22,Entire home/apt,5.0
2,False,6,4,58189075,29.963675875694673,13827256,-90.05754045163312,4,165,3,Entire home/apt,4.5
2,False,7,4,6932690,29.95244620002167,11399897,-90.07064372835787,4,395,10,Entire home/apt,5.0
1,False,8,4,64578625,29.96600511191195,12056967,-90.05749458440536,4,118,13,Entire home/apt,5.0
2,True,9,4,31020303,29.980825874764346,11514235,-90.09268817593149,4,125,17,Entire home/apt,5.0
2,True,10,4,50825426,29.95167275051844,11299723,-90.07185452970054,4,205,11,Entire home/apt,5.0
1,True,11,4,9288450,29.95141795884105,10600555,-90.07220213205918,4,175,37,Entire home/apt,5.0
1,False,12,4,57525048,29.95100520739175,13426678,-90.07328101151552,4,149,10,Entire home/apt,4.5
2,False,13,4,407251,29.957746352317972,699704,-90.06808367340444,4,155,306,Entire home/apt,5.0
1,True,14,4,58768525,29.951623839108997,11272122,-90.07184968751872,4,339,49,Entire home/apt,5.0
1,False,15,4,52990715,29.959480411558417,14450465,-90.0603903404301,4,159,0,Entire home/apt,0.0
2,True,16,4,16686373,29.970957895084496,14220516,-90.06829365820369,4,155,1,Entire home/apt,0.0
1,False,17,4,67484640,29.97540834086584,14086171,-90.06847795940868,4,59,3,Entire home/apt,5.0
2,False,18,4,24831061,29.95280264913144,12025374,-90.06847308150259,4,180,5,Entire home/apt,5.0
0,True,1,4,33890695,29.970552564893648,11948344,-90.08071888481773,5,85,36,Entire home/apt,5.0
1,False,2,4,53944862,29.93266009934817,10468728,-90.07861278006604,5,110,16,Entire home/apt,4.5
2,True,3,4,80390426,29.964632601484652,14167589,-90.06697206923101,5,140,1,Entire home/apt,0.0
2,False,4,4,27284037,29.97412516676041,8972539,-90.05119705762633,5,90,54,Entire home/apt,4.5
1,True,5,4,50825426,29.950682966357373,11008939,-90.0724639145704,5,150,10,Entire home/apt,4.5
1,False,6,4,57525048,29.950915091787717,11414663,-90.0733154488064,5,99,28,Entire home/apt,4.5
1,False,7,4,407251,29.958047434040715,7746689,-90.06719620896966,5,175,86,Entire home/apt,4.5
1,True,8,4,9288450,29.954723209628074,12630546,-90.0735081005352,5,139,20,Entire home/apt,5.0
2,True,9,4,50825426,29.963963893822967,10358811,-90.06363591732965,5,225,27,Entire home/apt,4.5
2,False,10,4,407251,29.956006718905623,5905621,-90.06870205167786,5,165,112,Entire home/apt,5.0
1,True,11,4,50825426,29.950742977504234,11652773,-90.07142388074837,5,100,8,Entire home/apt,5.0
2,True,12,4,50825426,29.952668730495294,12112386,-90.07094987548882,5,234,10,Entire home/apt,4.5
3,True,13,4,50825426,29.965804627986504,10359749,-90.06540041279781,5,300,27,Entire home/apt,4.5
1,True,14,4,50825426,29.95102983467359,11624211,-90.07000330822527,5,125,9,Entire home/apt,4.5
2,True,15,4,50825426,29.963352985672298,10459133,-90.06051260506334,5,225,33,Entire home/apt,5.0
2,True,16,4,50825426,29.96362508391113,10205060,-90.06490991284683,5,200,24,Entire home/apt,4.5
2,True,17,4,50825426,29.962806690336535,11731129,-90.06185262545051,5,325,28,Entire home/apt,5.0
1,False,18,4,407251,29.956442363008573,9097732,-90.06914289595639,5,205,65,Entire home/apt,5.0
2,True,1,4,31020303,29.980825874764346,11514235,-90.09268817593149,6,125,17,Entire home/apt,5.0
1,False,2,4,11180692,29.965252229796967,10589820,-90.06741988732132,6,65,17,Entire home/apt,5.0
0,False,3,4,7502278,29.963566406956897,3210134,-90.05853159306943,6,90,204,Entire home/apt,5.0
2,False,4,4,70403538,29.967758841242176,13020074,-90.0581267744898,6,50,5,Entire home/apt,4.5
1,False,5,4,38042878,29.96640681812029,10988924,-90.06510972533725,6,100,44,Entire home/apt,4.5
3,False,6,4,16304644,29.931375706526012,3219765,-90.10404657945189,6,475,14,Entire home/apt,5.0
2,False,7,4,15314299,29.929025296242244,11689240,-90.0980237317848,6,52,12,Entire home/apt,5.0
2,True,8,4,776684,29.96648505329783,162525,-90.0420912358799,6,115,174,Entire home/apt,5.0
1,False,9,4,3449656,29.94324878147581,14522762,-90.12476026199762,6,134,1,Entire home/apt,0.0
1,True,10,4,84257469,29.964002693488283,14050762,-90.06488055377746,6,172,0,Entire home/apt,0.0
1,False,11,4,11734377,29.950937087358888,2297440,-90.11747614671715,6,43,9,Entire home/apt,5.0
1,False,12,4,51672765,29.96226441062088,12434312,-90.0592820648508,6,120,7,Entire home/apt,5.0
3,True,13,4,35062432,30.00419831754334,13766296,-90.11283759556193,6,200,3,Entire home/apt,5.0
2,False,14,4,62091706,29.975906094777734,11708972,-90.0766870005563,6,100,7,Entire home/apt,5.0
1,False,15,4,64064667,29.918396177198975,11986069,-90.11555786159539,6,140,35,Entire home/apt,5.0
1,True,16,4,29448250,29.944188951074267,13324497,-90.12035369426226,6,85,7,Entire home/apt,5.0
2,True,17,4,6489256,29.95018366061604,2387122,-90.06870569309376,6,249,14,Entire home/apt,5.0
1,False,18,4,43637952,29.967398914175114,13765398,-90.06123746649646,6,88,0,Entire home/apt,0.0
1,False,1,4,13714179,29.929111115689878,10925522,-90.08869771124672,7,175,12,Entire home/apt,4.5
1,True,2,4,13159076,29.966776704494148,12102560,-90.04501264579712,7,127,23,Entire home/apt,5.0
2,False,3,4,43782388,29.950649844927806,11082562,-90.0687056279445,7,150,2,Entire home/apt,0.0
1,False,4,4,48416424,29.950805785205063,12394065,-90.06898811390788,7,219,13,Entire home/apt,5.0
2,False,5,4,1983929,29.91986303917459,397105,-90.08548036824979,7,200,12,Entire home/apt,5.0
1,True,6,4,65331512,29.952072891771955,12163729,-90.07145248987575,7,200,26,Entire home/apt,5.0
1,False,7,4,35207551,29.968112532495695,13992737,-90.06814804862165,7,86,2,Entire home/apt,0.0
1,True,8,4,79104680,29.928423672945815,13639862,-90.0770824485569,7,150,13,Entire home/apt,5.0
1,True,9,4,410446,29.943529392270285,14220686,-90.0520454040684,7,50,0,Entire home/apt,0.0
2,False,10,4,35920470,29.974004391012542,9076302,-90.08524527534271,7,105,13,Entire home/apt,5.0
0,False,11,4,7502278,29.963566406956897,3210134,-90.05853159306943,7,139,204,Entire home/apt,5.0
1,False,12,4,4990921,29.95870920992202,12544795,-90.0688203635028,7,300,22,Entire home/apt,5.0
2,False,13,4,32206940,29.969309291543265,6834225,-90.10297087825721,7,150,21,Entire home/apt,4.5
1,False,14,4,57440076,29.972054494697733,12431671,-90.06962145419753,7,99,12,Entire home/apt,5.0
1,False,15,4,51672765,29.96226441062088,12434312,-90.0592820648508,7,140,7,Entire home/apt,5.0
2,False,16,4,27971013,29.954389532229612,5443505,-90.06930846058842,7,220,42,Entire home/apt,5.0
1,False,17,4,53944862,29.93266009934817,10468728,-90.07861278006604,7,110,16,Entire home/apt,4.5
2,True,18,4,84567072,29.935305794312924,14075407,-90.07013346984908,7,150,0,Entire home/apt,0.0
2,False,1,4,52552489,29.961513829136308,11277247,-90.05931611214739,8,300,22,Entire home/apt,4.5
2,False,2,4,45458985,29.939265814806166,8648794,-90.07434834811758,8,40,47,Entire home/apt,5.0
3,True,3,4,51113477,29.960783428344886,14301872,-90.0580141950847,8,349,0,Entire home/apt,0.0
2,True,4,4,45335488,29.96221823998953,14254480,-90.09720713159776,8,99,0,Entire home/apt,0.0
2,False,5,4,4962900,29.95142246118383,13313522,-90.07067115698499,8,125,3,Entire home/apt,4.5
1,False,6,4,24982012,29.974797519559175,4856275,-90.103394133459,8,90,52,Entire home/apt,5.0
3,True,7,4,50825426,30.02345502859535,9927338,-90.11291181405166,8,225,22,Entire home/apt,5.0
1,True,8,4,28629999,30.02000727533678,14576387,-90.18513524882623,8,80,0,Entire home/apt,0.0
1,True,9,4,57009449,29.961149029156235,14263743,-90.12068320824727,8,149,1,Entire home/apt,0.0
2,True,10,4,4871051,29.953893095890464,12264278,-90.12201207938898,8,175,3,Entire home/apt,5.0
3,False,11,4,9946901,29.92050173288112,14154917,-90.09046245567222,8,165,2,Entire home/apt,0.0
1,True,12,4,55538694,29.95260682547577,14357191,-90.06610292838585,8,99,0,Entire home/apt,0.0
2,False,13,4,54270969,29.96501216067218,14252801,-90.0669375853105,8,95,6,Entire home/apt,4.5
2,False,14,4,70818097,29.930309924718628,12915083,-90.08350188042182,8,155,5,Entire home/apt,5.0
2,True,15,4,80302362,30.019160257538935,13747540,-90.06486212551431,8,55,9,Entire home/apt,5.0
1,False,16,4,46670196,29.953658556458688,10027796,-90.0720703508881,8,90,28,Entire home/apt,5.0
3,False,17,4,39620169,29.96784389098973,12145711,-90.05955733885783,8,400,3,Entire home/apt,5.0
1,False,18,4,65416936,29.967261720634227,13280638,-90.04225516344097,8,74,11,Entire home/apt,5.0
0,False,1,4,51248639,29.97727406163464,11794897,-90.08136685454974,9,140,19,Entire home/apt,5.0
2,False,2,4,79167221,29.920107144266996,13642623,-90.09654647946945,9,62,5,Entire home/apt,5.0
1,False,3,4,53944862,29.934157720749983,10468786,-90.07731120759924,9,80,18,Entire home/apt,5.0
1,True,4,4,4951914,29.967203056817937,11259337,-90.05231940206302,9,109,48,Entire home/apt,5.0
1,False,5,4,56617940,29.920127397924205,10922772,-90.09202794300057,9,125,25,Entire home/apt,5.0
1,True,6,4,26175051,29.9611790863738,5068870,-90.06627526169684,9,154,62,Entire home/apt,4.5
2,False,7,4,219828,29.964630164513995,12384768,-90.0503321685815,9,109,15,Entire home/apt,5.0
2,False,8,4,41853496,29.971681981034077,11849732,-90.09867567655513,9,185,22,Entire home/apt,5.0
1,False,9,4,74607065,29.92608741191871,13257565,-90.07797038192429,9,65,19,Entire home/apt,5.0
3,False,10,4,24668830,29.93341941611947,4957711,-90.08819713137821,9,80,60,Entire home/apt,4.5
4,True,11,4,72182606,29.86129992278905,13687037,-90.05244608778676,9,195,1,Entire home/apt,0.0
2,False,12,4,12085204,29.95280407646603,12831062,-90.04930790649124,9,84,24,Entire home/apt,5.0
1,False,13,4,8050200,29.92588370116226,11618499,-90.07434462238825,9,85,16,Entire home/apt,5.0
1,True,14,4,50825426,29.963215030885483,10565821,-90.06032258743726,9,111,36,Entire home/apt,5.0
0,False,15,4,51834366,29.980837418701554,10328035,-90.09967128706748,9,99,10,Entire home/apt,5.0
2,False,16,4,50153900,29.96312336542721,9715233,-90.03839343809038,9,60,21,Entire home/apt,5.0
1,True,17,4,5316723,29.966281994930227,1283353,-90.03588632878346,9,85,165,Entire home/apt,4.5
2,True,18,4,12458123,29.971952468846897,12854870,-90.06075258110815,9,80,3,Entire home/apt,4.0
1,False,1,4,24109383,29.946309104885128,4659255,-90.07105644870678,10,225,28,Entire home/apt,5.0
2,True,2,4,4796527,29.935277118795955,1605798,-90.07995175127071,10,157,103,Entire home/apt,4.5
1,False,3,4,11180692,29.965252229796967,10589820,-90.06741988732132,10,125,17,Entire home/apt,5.0
1,False,4,4,407251,29.956442363008573,9097732,-90.06914289595639,10,205,65,Entire home/apt,5.0
3,False,5,4,21776430,29.982814194119957,6326700,-90.10370402344712,10,126,21,Entire home/apt,5.0
1,True,6,4,5316723,29.966281994930227,1283353,-90.03588632878346,10,98,165,Entire home/apt,4.5
1,False,7,4,5124883,29.945461009028246,945849,-90.07123478492102,10,210,187,Entire home/apt,5.0
1,False,8,4,4981655,29.93271253699141,4388334,-90.07234422726843,10,119,21,Entire home/apt,4.5
0,True,9,4,21063599,29.974360738607814,14028945,-90.07812456025545,10,60,0,Entire home/apt,0.0
2,False,10,4,43972279,29.979939717217604,12564871,-90.08367288182181,10,160,8,Entire home/apt,5.0
2,False,11,4,50333387,29.951400529213057,9759943,-90.07184626956641,10,150,46,Entire home/apt,4.5
1,False,12,4,64636611,29.96404004254292,12064287,-90.03408761998266,10,89,23,Entire home/apt,5.0
2,False,13,4,60299257,29.97537637115769,13318752,-90.10945817482788,10,120,10,Entire home/apt,5.0
