bedrooms,can_instant_book,counter,guests,host_id,latitude,listing_id,longitude,page,rate,reviews_count,room_type,star_rating
2,True,1,4,34472398,29.93685484174522,6704975,-90.07887382676795,1,189,104,Entire home/apt,5.0
4,True,2,4,3489816,29.936730274546505,4821308,-90.07656114905731,1,800,55,Entire home/apt,5.0
4,True,3,4,76136518,29.96843103789539,13389503,-90.04134078665886,1,300,7,Entire home/apt,5.0
0,True,4,4,4605202,29.978218279504716,938165,-90.08016880086323,1,134,82,Entire home/apt,4.5
1,False,5,4,57525048,29.952502319742425,13993067,-90.07368432987569,1,108,1,Entire home/apt,0.0
1,False,6,4,28824801,29.971655246483863,5560129,-90.06980088934941,1,146,89,Entire home/apt,5.0
1,True,7,4,13159076,29.965150633702592,2570053,-90.04486048152673,1,126,192,Entire home/apt,5.0
1,True,8,4,50825426,29.95102983467359,11624211,-90.07000330822527,1,125,7,Entire home/apt,4.5
2,True,9,4,38663079,29.964181925517142,7380455,-90.06366279140796,1,198,72,Entire home/apt,4.5
1,False,10,4,426781,29.925411683409386,9900207,-90.07512525616394,1,135,38,Entire home/apt,5.0
1,True,11,4,58768525,29.951623839108997,11272122,-90.07184968751872,1,339,42,Entire home/apt,5.0
1,True,12,4,4951914,29.967203056817937,11259337,-90.05231940206302,1,195,42,Entire home/apt,5.0
3,False,13,4,721812,29.918585863111772,12880791,-90.10669423490678,1,250,6,Entire home/apt,5.0
3,False,14,4,6714967,29.99236005792644,1231265,-90.06188809001368,1,249,100,Entire home/apt,5.0
2,True,15,4,79167221,29.920107144266996,13642623,-90.09654647946945,1,74,0,Entire home/apt,0.0
1,False,16,4,72942966,29.949510707745752,13115438,-90.06977408140338,1,139,15,Entire home/apt,5.0
2,False,17,4,4899885,29.946878053262825,912988,-90.10049961694715,1,125,115,Entire home/apt,4.5
1,False,18,4,47652276,29.96515994584258,10313502,-90.07144260111556,1,160,59,Entire home/apt,5.0
0,True,1,4,4605202,29.978218279504716,938165,-90.08016880086323,2,134,82,Entire home/apt,4.5
1,False,2,4,426781,29.925411683409386,9900207,-90.07512525616394,2,135,38,Entire home/apt,5.0
2,True,3,4,45335488,29.961364394582816,8618008,-90.09757720056955,2,108,14,Entire home/apt,4.5
1,True,4,4,79104680,29.928423672945815,13639862,-90.0770824485569,2,150,7,Entire home/apt,5.0
1,True,5,4,80390426,29.966215023720043,13735691,-90.06499722104574,2,199,7,Entire home/apt,5.0
2,True,6,4,67183395,29.966146991622374,12421292,-90.06937527959454,2,145,9,Entire home/apt,4.5
1,True,7,4,85190035,29.95456424782987,14126184,-90.06959905541277,2,175,1,Entire home/apt,0.0
1,False,8,4,74607065,29.92690541191871,13257565,-90.07702438192429,2,70,12,Entire home/apt,5.0
2,True,9,4,85549706,29.952592576031336,14154564,-90.06442490329684,2,200,0,Entire home/apt,0.0
1,True,10,4,72422503,29.95628797631552,13676509,-90.06987993330621,2,99,1,Entire home/apt,0.0
1,False,11,4,72942966,29.949510707745752,13115438,-90.06977408140338,2,139,15,Entire home/apt,5.0
1,True,12,4,84257469,29.964002693488283,14050762,-90.06488055377746,2,175,0,Entire home/apt,0.0
3,False,13,4,721812,29.918585863111772,12880791,-90.10669423490678,2,250,6,Entire home/apt,5.0
1,True,14,4,36989650,29.962595338607528,13529072,-90.03164338199234,2,99,4,Entire home/apt,5.0
2,False,15,4,6182543,29.931074186009564,13432945,-90.10811683684629,2,65,6,Entire home/apt,5.0
0,False,16,4,7502278,29.963566406956897,3210134,-90.05853159306943,2,139,196,Entire home/apt,5.0
0,True,17,4,5316723,29.967562636573724,9707852,-90.03487269845651,2,75,28,Entire home/apt,4.5
1,True,18,4,63143878,29.959950723764983,11848965,-90.06558053588434,2,109,9,Entire home/apt,5.0
1,False,1,4,30634668,29.965176344437722,5898346,-90.09625894262507,3,135,17,Entire home/apt,4.5
1,False,2,4,65416936,29.967261720634227,13280638,-90.04225516344097,3,78,6,Entire home/apt,5.0
0,False,3,4,64057874,29.95996061300924,11985212,-90.05998958046179,3,150,22,Entire home/apt,5.0
1,False,4,4,27334601,29.96608930963618,9364465,-90.06605603993496,3,135,52,Entire home/apt,5.0
