bedrooms,can_instant_book,counter,guests,host_id,latitude,listing_id,longitude,page,rate,reviews_count,room_type,star_rating
1,False,1,4,11349268,33.475181696024265,11902477,-112.06369340206773,1,83,65,Entire home/apt,5.0
2,True,2,4,2702900,33.52846402127483,4607616,-112.05248309016105,1,104,184,Entire home/apt,5.0
1,False,3,4,46886754,33.4773745453866,13246000,-112.03173082145373,1,105,15,Entire home/apt,5.0
2,True,4,4,61844130,33.59343448175282,12513528,-111.98156667112377,1,75,16,Entire home/apt,5.0
2,True,5,4,23193939,33.58939812388501,6178832,-112.05681413536352,1,144,51,Entire home/apt,5.0
3,True,6,4,4812715,33.476900781852216,7032590,-112.08491380606094,1,97,39,Entire home/apt,5.0
2,True,7,4,61556399,33.466656851321666,13616382,-112.06187597782709,1,55,0,Entire home/apt,0.0
5,False,8,4,33603422,33.37262449217715,6436968,-112.02444778861624,1,150,15,Entire home/apt,5.0
3,True,9,4,57559837,33.60008374782458,11086504,-112.04019310036747,1,75,5,Entire home/apt,4.5
3,False,10,4,74849254,33.483309718850045,13278538,-111.97253404990998,1,210,4,Entire home/apt,5.0
3,False,11,4,10395723,33.4751504224514,9154710,-112.09478200546802,1,100,3,Entire home/apt,5.0
1,False,12,4,42368617,33.44422092872065,11569383,-112.07138619885659,1,80,10,Entire home/apt,5.0
2,False,13,4,13320652,33.470242972839785,11043867,-112.1021474950416,1,63,9,Entire home/apt,5.0
3,False,14,4,53012392,33.586571845039614,10303448,-112.0555188394371,1,60,54,Entire home/apt,5.0
2,True,15,4,15447876,33.487970037705104,9786215,-112.00100877614439,1,54,23,Entire home/apt,5.0
4,False,16,4,36144440,33.40100003850214,11009076,-112.0512825225664,1,79,24,Entire home/apt,5.0
3,True,17,4,5672190,33.4617937094814,6505439,-112.05880691167762,1,99,99,Entire home/apt,5.0
1,False,18,4,8217255,33.49279062177597,3810472,-112.0041788720943,1,145,140,Entire home/apt,5.0
3,False,1,4,72922344,33.641263078636044,13398195,-112.00758085225551,2,145,8,Entire home/apt,5.0
3,False,2,4,1390809,33.3628228170818,6522990,-111.9835074874176,2,145,31,Entire home/apt,5.0
1,False,3,4,4759807,33.474932759842616,11146200,-112.06572369682085,2,88,13,Entire home/apt,5.0
4,False,4,4,36144440,33.40100003850214,11009076,-112.0512825225664,2,79,24,Entire home/apt,5.0
2,True,5,4,34404090,33.481931315998345,8408017,-112.09930079536478,2,47,4,Entire home/apt,4.0
3,True,6,4,5672190,33.4617937094814,6505439,-112.05880691167762,2,289,99,Entire home/apt,5.0
3,False,7,4,78954420,33.556955089663866,13625208,-112.13015917401886,2,79,16,Entire home/apt,5.0
2,False,8,4,25093356,33.501831067776195,4877808,-112.02987691622381,2,200,7,Entire home/apt,5.0
3,False,9,4,10395723,33.4751504224514,9154710,-112.09478200546802,2,100,3,Entire home/apt,5.0
2,True,10,4,15447876,33.487970037705104,9786215,-112.00100877614439,2,100,23,Entire home/apt,5.0
3,False,11,4,74849254,33.483309718850045,13278538,-111.97253404990998,2,300,4,Entire home/apt,5.0
2,True,12,4,10612376,33.4781632998725,8673545,-112.04602509676576,2,75,14,Entire home/apt,4.5
2,False,13,4,30508023,33.55544332553041,13317493,-112.13210626578224,2,79,11,Entire home/apt,4.5
3,True,14,4,57559837,33.60008374782458,11086504,-112.04019310036747,2,100,5,Entire home/apt,4.5
3,False,15,4,1567860,33.45984665646953,11512137,-112.08461311343925,2,119,11,Entire home/apt,5.0
2,False,16,4,32917444,33.470168892432774,8516246,-112.06291120581704,2,115,33,Entire home/apt,5.0
2,False,17,4,5814308,33.52445345028975,7094889,-112.05190068114494,2,135,4,Entire home/apt,5.0
5,False,18,4,33603422,33.37262449217715,6436968,-112.02444778861624,2,275,15,Entire home/apt,5.0
3,True,1,4,34367008,33.503053911454685,6570737,-112.10162773140426,3,110,16,Entire home/apt,4.5
2,True,2,4,4812715,33.476187477800856,5007132,-112.06521832970267,3,96,98,Entire home/apt,5.0
1,False,3,4,26416761,33.47844386990205,5112671,-112.10557328556868,3,99,34,Entire home/apt,5.0
3,False,4,4,75424322,33.29636585843527,13328969,-111.98827098515862,3,78,9,Entire home/apt,5.0
5,True,5,4,5788696,33.50966613151268,7615047,-111.95921353762964,3,1500,4,Entire home/apt,4.0
3,True,6,4,73668349,33.476614577623636,13175992,-112.07130970119724,3,155,3,Entire home/apt,5.0
2,True,7,4,61556399,33.46270536313102,13620504,-112.0424123161876,3,75,0,Entire home/apt,0.0
2,False,8,4,5393045,33.4954371190833,983750,-112.00199302107319,3,200,16,Entire home/apt,5.0
2,False,9,4,65577866,33.638125303750044,12197936,-112.00933417766562,3,116,0,Entire home/apt,0.0
1,False,10,4,55188027,33.50219424486289,10683289,-112.0322264038458,3,165,3,Entire home/apt,4.0
