bedrooms,can_instant_book,counter,guests,host_id,latitude,listing_id,longitude,page,rate,reviews_count,room_type,star_rating
1,False,1,4,62574962,39.52714825959053,11758634,-119.78049623618666,1,69,40,Entire home/apt,5.0
3,False,2,4,55175137,39.55208588058747,10681284,-119.81413651173393,1,137,29,Entire home/apt,5.0
2,False,3,4,45252213,39.52365541955161,8598857,-119.79330303847868,1,170,7,Entire home/apt,4.0
0,False,4,4,52651623,39.52407085745346,13134700,-119.81361378410452,1,68,0,Entire home/apt,0.0
1,False,5,4,13002731,39.52422643433679,2539439,-119.81534661341612,1,117,58,Entire home/apt,5.0
1,True,6,4,25065602,39.5008372346125,11891922,-119.81859973786263,1,69,15,Entire home/apt,5.0
2,False,7,4,18899831,39.53799320972096,4644480,-119.83402427746775,1,125,38,Entire home/apt,5.0
2,False,8,4,28473420,39.5360168307758,5491148,-119.80821006390215,1,149,24,Entire home/apt,4.5
2,False,9,4,17572981,39.55273041777426,3489751,-119.81303123822302,1,229,79,Entire home/apt,5.0
2,False,10,4,17135017,39.48862136360143,3479125,-119.83109645449125,1,90,4,Entire home/apt,5.0
2,False,11,4,77288260,39.511959522099886,13573016,-119.80845037815911,1,100,14,Entire home/apt,5.0
3,True,12,4,78933622,39.54255971671059,14204235,-119.91915235983839,1,199,1,Entire home/apt,0.0
2,True,13,4,35716606,39.52407952756009,6820424,-119.81688978930976,1,300,0,Entire home/apt,0.0
3,False,14,4,48504728,39.50408653585516,9346027,-119.89158054334729,1,320,22,Entire home/apt,4.5
4,True,15,4,63076336,39.49263812784287,12317996,-119.73925805552118,1,325,3,Entire home/apt,5.0
2,True,16,4,61257740,39.508980103002,11585017,-119.84300534204762,1,189,18,Entire home/apt,4.5
2,False,17,4,28817937,39.51775982945609,6169896,-119.80882642436453,1,145,89,Entire home/apt,5.0
3,False,18,4,4724892,39.51337510091509,890099,-119.81351219287005,1,395,12,Entire home/apt,5.0
3,True,1,4,46378369,39.353988770863026,14686594,-119.83345249855556,2,235,1,Entire home/apt,0.0
3,False,2,4,11300217,39.51194169047056,2215564,-119.83410709598546,2,130,21,Entire home/apt,5.0
2,True,3,4,61257740,39.508980103002,11585017,-119.84300534204762,2,189,18,Entire home/apt,4.5
3,True,4,4,26232836,39.5115076104317,13927116,-119.81224776209156,2,200,3,Entire home/apt,5.0
0,False,5,4,45604976,39.525975979618444,13751775,-119.8151452974332,2,115,0,Entire home/apt,0.0
2,True,6,4,41950714,39.52423801772117,7954885,-119.780773368563,2,249,8,Entire home/apt,5.0
3,False,7,4,19709467,39.42775836704793,3829417,-119.74324675371537,2,135,28,Entire home/apt,5.0
2,False,8,4,17135017,39.48862136360143,3479125,-119.83109645449125,2,90,4,Entire home/apt,5.0
2,True,9,4,81849443,39.50197101507206,14016026,-119.81764744291861,2,165,4,Entire home/apt,5.0
2,False,10,4,28817937,39.51775982945609,6169896,-119.80882642436453,2,145,89,Entire home/apt,5.0
1,True,11,4,25065602,39.5008372346125,11891922,-119.81859973786263,2,69,15,Entire home/apt,5.0
