bedrooms,can_instant_book,counter,guests,host_id,latitude,listing_id,longitude,page,rate,reviews_count,room_type,star_rating
1,True,1,4,70714296,38.57721299813712,12918601,-121.46802719885278,1,95,17,Entire home/apt,5.0
1,True,2,4,50906895,38.56714695041776,12307432,-121.47434813067368,1,89,14,Entire home/apt,4.5
2,True,3,4,10217774,38.57040148410844,13399576,-121.4792863586244,1,140,8,Entire home/apt,4.5
0,False,4,4,9422162,38.573825222471,14109181,-121.48362380912214,1,119,4,Entire home/apt,5.0
2,False,5,4,20241309,38.53405319237888,3907859,-121.49804840757668,1,158,67,Entire home/apt,5.0
2,True,6,4,19785560,38.62848741943026,3914463,-121.500395756911,1,65,149,Entire home/apt,4.5
1,False,7,4,55691022,38.57635866131141,13459018,-121.50346777967775,1,131,16,Entire home/apt,5.0
2,False,8,4,588617,38.5618071969469,3241911,-121.48203156072834,1,110,130,Entire home/apt,5.0
3,False,9,4,1526315,38.58181393810297,13209625,-121.48885677029814,1,209,5,Entire home/apt,4.5
2,False,10,4,7292196,38.5548237177488,1344230,-121.49652164718307,1,115,7,Entire home/apt,5.0
2,False,11,4,310740,38.56687114703573,2496297,-121.47964392316146,1,132,18,Entire home/apt,5.0
1,False,12,4,395726,38.559809391902,7689164,-121.4915425376878,1,117,55,Entire home/apt,5.0
1,False,13,4,32225297,38.60493858914469,6214574,-121.45046459347815,1,95,32,Entire home/apt,5.0
4,False,14,4,73090465,38.59071741982585,13394929,-121.36195805602706,1,499,15,Entire home/apt,5.0
1,False,15,4,29808862,38.60017167191209,5747023,-121.38015589170544,1,140,20,Entire home/apt,5.0
2,False,16,4,249554,38.60415728955064,11571942,-121.4496965631488,1,110,13,Entire home/apt,5.0
1,False,17,4,49508122,38.571431059832584,9563916,-121.45763507261175,1,145,45,Entire home/apt,5.0
1,False,18,4,9978529,38.45292794066027,4269763,-121.29854910051468,1,109,99,Entire home/apt,5.0
4,False,1,4,73090465,38.59071741982585,13394929,-121.36195805602706,2,399,15,Entire home/apt,5.0
2,False,2,4,5830782,38.56661067264728,1058944,-121.49297567585097,2,80,118,Entire home/apt,5.0
2,False,3,4,9755993,38.54393603071176,6161919,-121.43042813518063,2,108,48,Entire home/apt,5.0
1,True,4,4,713942,38.58151640971345,7502819,-121.40621732112211,2,84,18,Entire home/apt,4.5
1,False,5,4,49508122,38.571431059832584,9563916,-121.45763507261175,2,125,45,Entire home/apt,5.0
1,False,6,4,395726,38.559809391902,7689164,-121.4915425376878,2,117,55,Entire home/apt,5.0
4,False,7,4,31759433,38.566218475496726,6121073,-121.38971065039252,2,350,17,Entire home/apt,5.0
2,False,8,4,70191076,38.560710098416614,12849421,-121.32395577447123,2,120,8,Entire home/apt,5.0
2,True,9,4,8994763,38.581286368239766,6304073,-121.47405414582136,2,119,12,Entire home/apt,5.0
2,False,10,4,51149345,38.52887044772796,9953319,-121.51739384621298,2,140,22,Entire home/apt,5.0
2,False,11,4,9596881,38.57043819528953,2257011,-121.47605458474176,2,155,77,Entire home/apt,5.0
3,False,12,4,870380,38.582420441684114,9976561,-121.40649235321364,2,95,7,Entire home/apt,4.5
2,False,13,4,24420701,38.673202573954896,12989152,-121.5026110665831,2,110,13,Entire home/apt,5.0
3,False,14,4,87103452,38.57076980426174,14297563,-121.477375772309,2,139,1,Entire home/apt,0.0
1,True,15,4,41738030,38.657425913868,8744549,-121.54339446919592,2,105,14,Entire home/apt,5.0
0,False,16,4,79332951,38.57124514694541,13656648,-121.49390366486456,2,135,1,Entire home/apt,0.0
1,False,17,4,29808862,38.60017167191209,5747023,-121.38015589170544,2,140,20,Entire home/apt,5.0
2,True,18,4,2577048,38.61050856613749,682042,-121.46386395726044,2,70,16,Entire home/apt,4.5
2,False,1,4,5830782,38.56661067264728,1058944,-121.49297567585097,3,105,118,Entire home/apt,5.0
3,False,2,4,1193123,38.578173002749566,6185860,-121.45946016087727,3,295,20,Entire home/apt,5.0
2,True,3,4,2577048,38.61050856613749,682042,-121.46386395726044,3,75,16,Entire home/apt,4.5
1,False,4,4,29808862,38.60017167191209,5747023,-121.38015589170544,3,140,20,Entire home/apt,5.0
3,False,5,4,519678,38.55082229754502,2914469,-121.49592664327957,3,225,82,Entire home/apt,5.0
2,False,6,4,24420701,38.673202573954896,12989152,-121.5026110665831,3,130,13,Entire home/apt,5.0
2,True,7,4,10217774,38.56979361427491,6600698,-121.47763213770459,3,105,42,Entire home/apt,5.0
2,False,8,4,2126719,38.55354125423643,6391865,-121.46585040749368,3,109,4,Entire home/apt,5.0
2,False,9,4,20241309,38.53405319237888,3907859,-121.49804840757668,3,158,67,Entire home/apt,5.0
3,False,10,4,11882678,38.55330821609686,12473592,-121.45727960316277,3,325,7,Entire home/apt,5.0
3,False,11,4,6067214,38.64456942631919,9176324,-121.5398569623182,3,220,10,Entire home/apt,5.0
1,False,12,4,4327660,38.473358411502254,13174250,-121.43890884551924,3,95,7,Entire home/apt,4.0
2,False,13,4,7292196,38.5548237177488,1344230,-121.49652164718307,3,115,7,Entire home/apt,5.0
1,True,14,4,41738030,38.657425913868,8744549,-121.54339446919592,3,112,14,Entire home/apt,5.0
1,False,15,4,59921963,38.60468545661942,12681681,-121.45704921219452,3,100,8,Entire home/apt,5.0
4,False,16,4,73090465,38.59071741982585,13394929,-121.36195805602706,3,499,15,Entire home/apt,5.0
2,False,17,4,20510340,38.690954021540854,5280130,-121.2091079728241,3,110,56,Entire home/apt,5.0
2,False,18,4,66820115,38.59083733167369,14700368,-121.51152267324072,3,76,0,Entire home/apt,0.0
2,False,1,4,10014746,38.54354352310008,11893441,-121.36651145223236,4,155,10,Entire home/apt,4.5
2,False,2,4,10274878,38.55750945062596,4279528,-121.47898077998006,4,99,54,Entire home/apt,5.0
3,True,3,4,79278017,38.47168436036412,14072103,-121.45059273362322,4,149,1,Entire home/apt,0.0
1,False,4,4,4327660,38.473358411502254,13174250,-121.43890884551924,4,95,7,Entire home/apt,4.0
2,True,5,4,1222733,38.6151839521346,2310069,-121.49886675377707,4,154,35,Entire home/apt,5.0
2,True,6,4,10217774,38.56979361427491,6600698,-121.47763213770459,4,105,42,Entire home/apt,5.0
3,False,7,4,11882678,38.55330821609686,12473592,-121.45727960316277,4,325,7,Entire home/apt,5.0
3,False,8,4,25139257,38.55544752464065,12539725,-121.4447747321787,4,125,3,Entire home/apt,3.5
1,True,9,4,56212199,38.52791477826863,11554825,-121.52545215842062,4,209,31,Entire home/apt,5.0
3,False,10,4,67511790,38.57997578007018,14672267,-121.49551399006072,4,199,1,Entire home/apt,0.0
3,False,11,4,11494877,38.60181172131755,2250544,-121.4631946027791,4,210,19,Entire home/apt,5.0
2,False,12,4,1651965,38.55728331275108,337857,-121.50878990845216,4,113,26,Entire home/apt,5.0
4,False,13,4,30079936,38.606070517843776,5797579,-121.36939569330221,4,500,0,Entire home/apt,0.0
3,False,14,4,35890534,38.58097167978658,9151808,-121.4747878929701,4,95,1,Entire home/apt,0.0
