bedrooms,can_instant_book,counter,guests,host_id,latitude,listing_id,longitude,page,rate,reviews_count,room_type,star_rating
2,False,1,4,8524447,40.731688272706606,11571217,-111.88363282031052,1,85,3,Entire home/apt,4.5
2,True,2,4,59906419,40.775035868087095,11881169,-111.8850400751769,1,117,15,Entire home/apt,5.0
1,False,3,4,31725189,40.78205916085235,6115035,-111.89216129727785,1,89,108,Entire home/apt,5.0
2,False,4,4,40867802,40.71683509470618,7773544,-111.84219064442402,1,90,28,Entire home/apt,5.0
2,True,5,4,8878186,40.74355790068602,9168435,-111.86879177632065,1,85,25,Entire home/apt,5.0
2,False,6,4,33134287,40.78957556076721,10282221,-111.87426797484211,1,88,15,Entire home/apt,5.0
2,False,7,4,29964183,40.738387936673035,10677016,-111.88198112396559,1,70,13,Entire home/apt,4.5
1,False,8,4,23458971,40.770200164315966,5456930,-111.88759324787657,1,94,174,Entire home/apt,5.0
1,True,9,4,14206057,40.72986358941928,8857513,-111.85635420263506,1,79,48,Entire home/apt,5.0
2,True,10,4,23785131,40.69625385979599,6785091,-112.03649306464622,1,49,81,Entire home/apt,4.5
2,False,11,4,64446738,40.75485625204784,12039161,-111.87371919995742,1,105,41,Entire home/apt,5.0
1,False,12,4,16592773,40.72893796446398,13007751,-111.85121067181214,1,99,5,Entire home/apt,4.0
1,False,13,4,369994,40.772627217690776,71934,-111.88355206944242,1,99,259,Entire home/apt,4.5
1,False,14,4,53778874,40.77275334438536,10439292,-111.90955352692505,1,89,21,Entire home/apt,5.0
2,False,15,4,51608103,40.75832479179013,10056447,-111.86861645474096,1,150,9,Entire home/apt,5.0
2,False,16,4,43384502,40.7652908202016,9487088,-111.8818815106095,1,85,30,Entire home/apt,5.0
2,False,17,4,63767759,40.71220080490656,11943832,-111.86795897019024,1,75,17,Entire home/apt,5.0
1,False,18,4,21788617,40.775347675272116,4199587,-111.8646861381018,1,89,110,Entire home/apt,5.0
1,False,1,4,25399410,40.68512417023549,4930597,-111.80361928982877,2,66,20,Entire home/apt,5.0
2,False,2,4,12806762,40.73278706204062,9637569,-111.8904122686663,2,75,21,Entire home/apt,4.5
1,False,3,4,82685357,40.7195973679132,13925126,-111.80787826448751,2,55,1,Entire home/apt,0.0
2,True,4,4,38390523,40.70642814923077,9631791,-111.80222009162479,2,105,37,Entire home/apt,5.0
2,False,5,4,18094831,40.729946631275176,3592015,-111.88558370387543,2,75,8,Entire home/apt,5.0
2,False,6,4,1462429,40.69588399976627,907380,-111.88127117721977,2,95,289,Entire home/apt,5.0
2,True,7,4,70166475,40.78157952979167,13578193,-111.86681847872669,2,129,3,Entire home/apt,5.0
1,False,8,4,5097585,40.77281358174351,2461994,-111.8875466684091,2,99,53,Entire home/apt,5.0
1,False,9,4,6949226,40.752179105857536,12190728,-111.87153247485199,2,110,8,Entire home/apt,5.0
2,True,10,4,16427696,40.78125031766807,3820385,-111.87069385341839,2,99,105,Entire home/apt,5.0
2,False,11,4,114999,40.768350766600825,10417891,-111.85796192078746,2,130,26,Entire home/apt,4.5
1,True,12,4,2079276,40.77228819271809,12950100,-111.8868626394269,2,125,9,Entire home/apt,4.5
3,False,13,4,929421,40.77558892504233,5717126,-111.87924631139312,2,220,0,Entire home/apt,0.0
1,False,14,4,16084241,40.77417663516799,13109990,-111.88510129968888,2,99,3,Entire home/apt,5.0
2,True,15,4,46408093,40.77666486034065,9009282,-111.87182167446439,2,105,17,Entire home/apt,5.0
2,True,16,4,31524614,40.768260581623665,6073054,-111.90609667316134,2,315,9,Entire home/apt,5.0
2,False,17,4,25802589,40.7713320271012,9013231,-111.88378401560202,2,115,20,Entire home/apt,4.5
3,True,18,4,25303803,40.72827855031069,13396475,-111.87745086524069,2,79,1,Entire home/apt,0.0
2,False,1,4,63767759,40.71220080490656,11943832,-111.86795897019024,3,75,17,Entire home/apt,5.0
2,True,2,4,26231469,40.731895908275405,10471766,-111.79809729348366,3,175,17,Entire home/apt,5.0
5,True,3,4,8555338,40.734832914337275,8031749,-111.81854273212024,3,275,36,Entire home/apt,5.0
2,False,4,4,43384502,40.7652908202016,9487088,-111.8818815106095,3,85,30,Entire home/apt,5.0
3,False,5,4,63280684,40.70666049986613,11869804,-111.81648182248422,3,76,1,Entire home/apt,0.0
2,False,6,4,4743392,40.75173324215742,1961357,-111.86480730512294,3,110,58,Entire home/apt,5.0
3,True,7,4,23171039,40.72733860988613,7365614,-111.86021947111462,3,145,33,Entire home/apt,5.0
2,False,8,4,51608103,40.75832479179013,10056447,-111.86861645474096,3,150,9,Entire home/apt,5.0
1,False,9,4,16084241,40.77417663516799,13109990,-111.88510129968888,3,99,3,Entire home/apt,5.0
2,True,10,4,52830165,40.710512670960306,10273476,-111.8669731590351,3,109,12,Entire home/apt,5.0
3,False,11,4,6067733,40.672432766000476,8408122,-111.80804007451262,3,109,31,Entire home/apt,4.5
2,True,12,4,28828606,40.731592792575135,5560816,-111.88433928512721,3,99,31,Entire home/apt,5.0
2,False,13,4,661456,40.62704582829603,4025456,-111.9140530533561,3,135,25,Entire home/apt,5.0
2,False,14,4,13079395,40.75818945029849,12544848,-111.86481311335218,3,79,0,Entire home/apt,0.0
1,False,15,4,114999,40.7671427772101,5242378,-111.8566899923078,3,95,55,Entire home/apt,5.0
2,True,16,4,28006464,40.78239805740386,8666716,-111.86855090198164,3,149,29,Entire home/apt,5.0
2,True,17,4,31524614,40.768260581623665,6073054,-111.90609667316134,3,315,9,Entire home/apt,5.0
4,True,18,4,1686779,40.600176432935534,330627,-111.78697855064236,3,99,98,Entire home/apt,4.5
1,True,1,4,55184566,40.761959698255275,10682762,-111.86171605944901,4,100,12,Entire home/apt,5.0
2,True,2,4,26231469,40.731895908275405,10471766,-111.79809729348366,4,175,17,Entire home/apt,5.0
4,True,3,4,1686779,40.600176432935534,330627,-111.78697855064236,4,99,98,Entire home/apt,4.5
3,True,4,4,37948737,40.77904869846628,10290991,-111.87110852059995,4,175,9,Entire home/apt,5.0
2,False,5,4,8121029,40.780087544705616,3802216,-111.86780333281183,4,99,63,Entire home/apt,5.0
3,False,6,4,1177162,40.756205878142026,7160754,-111.8807561272935,4,180,0,Entire home/apt,0.0
1,False,7,4,9510847,40.78720378854341,12069466,-111.86534657260933,4,89,11,Entire home/apt,5.0
3,True,8,4,29415038,40.75322471991084,5678767,-111.85230937060344,4,160,36,Entire home/apt,4.5
3,False,9,4,5830168,40.74846467593833,11862157,-111.85281058835874,4,150,5,Entire home/apt,4.5
3,False,10,4,33990312,40.74979744386619,9664111,-111.87410612876315,4,105,51,Entire home/apt,5.0
