beds,can_instant_book,counter,guests,host_id,latitude,listing_id,longitude,page,rate,reviews_count,room_type,star_rating
2,False,1,4,61983661,37.75098283944305,13389746,-122.41249851854359,1,180,1,Entire home/apt,0.0
2,False,2,4,49207248,37.78631406091425,9493932,-122.44021864529908,1,210,39,Entire home/apt,5.0
2,True,3,4,3675617,37.76369466514492,713877,-122.45303727508765,1,165,251,Entire home/apt,4.5
3,True,4,4,56082528,37.77939919745898,10830702,-122.40360744806412,1,300,0,Entire home/apt,0.0
2,False,5,4,8290605,37.773339033314656,8651483,-122.42245525744443,1,495,5,Entire home/apt,5.0
2,False,6,4,49716827,37.74936681137381,9608262,-122.42508697003694,1,188,10,Entire home/apt,4.5
3,False,7,4,41190422,37.77615199382701,7823272,-122.50717312834112,1,145,31,Entire home/apt,5.0
2,True,8,4,38787416,37.762105442187355,7478631,-122.45201657617436,1,165,63,Entire home/apt,4.5
2,True,9,4,30234442,37.770878338303405,10945139,-122.42341686285258,1,255,0,Entire home/apt,0.0
4,False,10,4,17536951,37.74330991863642,7028127,-122.41973860114544,1,250,23,Entire home/apt,5.0
2,False,11,4,48696913,37.776110421922105,9387457,-122.42447045656375,1,250,2,Entire home/apt,0.0
2,False,12,4,55181010,37.775782943129066,13788970,-122.46674425059132,1,250,0,Entire home/apt,0.0
1,True,13,4,2503390,37.77752018080136,2648748,-122.42501329098066,1,180,0,Entire home/apt,0.0
2,False,14,4,1155340,37.772185828513436,8472666,-122.41672221479028,1,200,6,Entire home/apt,4.5
2,False,15,4,1094844,37.755043648132755,9821284,-122.40888924629014,1,257,5,Entire home/apt,5.0
2,False,16,4,56742312,37.79574336763301,10943035,-122.41349792946053,1,188,7,Entire home/apt,5.0
3,True,17,4,6954280,37.78454795220815,1687330,-122.47520430103457,1,190,33,Entire home/apt,5.0
2,True,18,4,38788552,37.734997602033076,11722263,-122.44921286057725,1,165,4,Entire home/apt,5.0
2,False,1,4,3318918,37.764493785620786,8488103,-122.44633571627338,2,275,24,Entire home/apt,4.5
2,False,2,4,55952440,37.777511132820024,10808224,-122.43786454168472,2,195,5,Entire home/apt,5.0
3,False,3,4,6167267,37.75112586456496,13282475,-122.42306469440854,2,150,3,Entire home/apt,5.0
2,False,4,4,16968890,37.764515039363566,5505643,-122.42717682950155,2,300,8,Entire home/apt,5.0
2,False,5,4,23852998,37.77392204444223,8456859,-122.50925050174969,2,150,47,Entire home/apt,4.5
2,False,6,4,26914130,37.802194995543346,5202841,-122.42171070471596,2,240,75,Entire home/apt,4.5
2,True,7,4,9095946,37.747327851612425,1725853,-122.4895150244504,2,169,202,Entire home/apt,5.0
2,False,8,4,40993599,37.72583190215594,10385321,-122.4304184331456,2,100,34,Entire home/apt,5.0
3,False,9,4,57321179,37.775405532117645,11119969,-122.41284773687025,2,200,13,Entire home/apt,4.0
2,False,10,4,1904876,37.77497351026737,11872752,-122.42593668689396,2,160,3,Entire home/apt,5.0
1,True,11,4,181317,37.77572545096308,1850609,-122.41335941012265,2,163,24,Entire home/apt,4.5
1,False,12,4,3383765,37.75617918335374,10745423,-122.4059861116921,2,220,4,Entire home/apt,5.0
