beds,can_instant_book,guests,host_id,latitude,listing_id,longitude,rate,reviews_count,room_type,star_rating
2.0,False,4,2671000,29.445919734219196,13011611,-98.50338448290206,64,2,Entire home/apt,0.0
2.0,True,4,1596426,29.407891459749347,4016598,-98.48257896721474,81,259,Entire home/apt,5.0
3.0,False,4,75225956,29.45400345689198,13311424,-98.49063013367817,100,11,Entire home/apt,5.0
2.0,False,4,3659768,29.466198391588772,8730940,-98.49558911349247,85,85,Entire home/apt,5.0
1.0,False,4,139506,29.44294878323329,8722081,-98.48285807389742,124,52,Entire home/apt,5.0
2.0,False,4,45806729,29.434179824445806,8729962,-98.49557168859913,99,58,Entire home/apt,5.0
4.0,False,4,6051328,29.425366469572428,5786437,-98.49899983478733,199,57,Entire home/apt,4.5
2.0,False,4,65969407,29.424509205966014,12253081,-98.49733708714392,249,9,Entire home/apt,5.0
2.0,True,4,64908596,29.449769297917587,12105587,-98.472422365024,95,0,Entire home/apt,0.0
,False,4,15239939,29.498216570217135,12884274,-98.5827028643369,95,11,Entire home/apt,5.0
4.0,False,4,77384378,29.47006334739957,13496211,-98.6068097096813,165,0,Entire home/apt,0.0
1.0,True,4,31308053,29.52059945076474,13659417,-98.55814224402107,63,2,Entire home/apt,0.0
2.0,False,4,2948394,29.44178404972487,2016685,-98.4954522628781,101,142,Entire home/apt,5.0
2.0,False,4,40797762,29.459352526770942,7758941,-98.53428235580036,115,61,Entire home/apt,5.0
2.0,True,4,54923602,29.37269037971895,11162964,-98.53056123805699,58,17,Entire home/apt,5.0
1.0,False,4,18011045,29.432665940322888,12740993,-98.49133912615892,85,6,Entire home/apt,4.5
1.0,True,4,6027729,29.4014410031688,2540198,-98.4880197179162,169,117,Entire home/apt,5.0
2.0,False,4,79163038,29.647046367892926,13642434,-98.39952885480486,139,0,Entire home/apt,0.0
3.0,True,4,46951575,29.526291550041602,12779418,-98.51528484574813,125,2,Entire home/apt,0.0
5.0,False,4,48884642,29.454539200900225,9430879,-98.46047600728285,130,56,Entire home/apt,4.5
4.0,False,4,8187962,29.452790263421548,13091921,-98.51083311842613,70,3,Entire home/apt,4.5
3.0,True,4,4987318,29.41140376900246,2025210,-98.48542043241179,161,69,Entire home/apt,5.0
1.0,False,4,698312,29.45140275470904,144037,-98.50054831545542,98,149,Entire home/apt,5.0
2.0,False,4,482003,29.44509638669599,208174,-98.49439694144996,155,133,Entire home/apt,5.0
6.0,True,4,49739908,29.454400188889625,9613798,-98.45964874879677,125,33,Entire home/apt,4.5
3.0,True,4,31218226,29.51259248788648,8116693,-98.64476065200643,125,25,Entire home/apt,5.0
2.0,False,4,5085114,29.456769255167067,13669215,-98.4687114620485,94,1,Entire home/apt,0.0
2.0,False,4,14192519,29.463986136161594,2775076,-98.46347060056422,70,8,Entire home/apt,5.0
3.0,False,4,68582306,29.547970393875225,13669482,-98.57399016154126,85,0,Entire home/apt,0.0
1.0,False,4,64243492,29.549318832244445,12341984,-98.52534499579866,76,8,Entire home/apt,4.5
3.0,False,4,18952556,29.557521601361003,3713225,-98.46245233583632,149,54,Entire home/apt,5.0
2.0,True,4,20815310,29.406693764765706,8322667,-98.48305553430083,85,15,Entire home/apt,5.0
2.0,False,4,5783794,29.424885115526727,3324334,-98.47286275733074,110,115,Entire home/apt,4.5
2.0,True,4,19936346,29.43954348000503,11355321,-98.49208866731617,123,10,Entire home/apt,4.5
2.0,False,4,547682,29.446110459386233,3987748,-98.484431290163,112,42,Entire home/apt,5.0
1.0,True,4,10293918,29.611750087173093,11064552,-98.60839317355662,100,38,Entire home/apt,4.5
2.0,False,4,482003,29.44509638669599,208174,-98.49439694144996,155,133,Entire home/apt,5.0
1.0,False,4,44207388,29.40415625005932,12466318,-98.50262861311623,125,6,Entire home/apt,5.0
6.0,True,4,2500603,29.449139250746033,4661150,-98.50552401471427,98,73,Entire home/apt,4.5
2.0,False,4,57014227,29.39233286966792,10989572,-98.49527279477856,85,7,Entire home/apt,5.0
3.0,False,4,24198825,29.499705224262016,4679255,-98.4948301506874,200,54,Entire home/apt,4.5
3.0,False,4,47278677,29.4300828921607,9063926,-98.48742281145337,150,4,Entire home/apt,4.5
2.0,False,4,4565632,29.465958806283396,973459,-98.52730783974431,75,100,Entire home/apt,5.0
2.0,True,4,68237648,29.48084136579795,12582239,-98.47287157386435,87,6,Entire home/apt,5.0
1.0,True,4,28999092,29.66008105860411,5593081,-98.63305257639865,232,7,Entire home/apt,5.0
9.0,False,4,59215246,29.53000599825289,11321125,-98.53917259667828,315,5,Entire home/apt,5.0
3.0,True,4,57195814,29.3578045319076,11022296,-98.47106913042285,90,17,Entire home/apt,5.0
2.0,True,4,20815310,29.406693764765706,8322667,-98.48305553430083,85,15,Entire home/apt,5.0
3.0,True,4,4826122,29.42519189064297,12719781,-98.46913388809294,160,9,Entire home/apt,4.5
2.0,False,4,547682,29.446110459386233,3987748,-98.484431290163,112,42,Entire home/apt,5.0
5.0,True,4,21905140,29.480107374312453,5978360,-98.57929081279175,140,17,Entire home/apt,5.0
2.0,False,4,8742068,29.39638536544163,1648002,-98.47919145329752,175,0,Entire home/apt,0.0
2.0,True,4,19936346,29.43954348000503,11355321,-98.49208866731617,123,10,Entire home/apt,4.5
2.0,False,4,21568994,29.46813502164387,4156694,-98.49751544364806,139,104,Entire home/apt,4.5
1.0,False,4,23127560,29.444886115612565,4594662,-98.4896635538059,112,204,Entire home/apt,5.0
3.0,False,4,24198825,29.499705224262016,4679255,-98.4948301506874,200,54,Entire home/apt,4.5
6.0,False,4,41943363,29.508353450921145,10250269,-98.54367986665147,175,13,Entire home/apt,5.0
1.0,False,4,18256578,29.421543043953832,12886812,-98.49245275608797,136,0,Entire home/apt,0.0
1.0,True,4,28999092,29.66008105860411,5593081,-98.63305257639865,232,7,Entire home/apt,5.0
7.0,False,4,76173263,29.41869003007061,13514797,-98.46852546593139,179,0,Entire home/apt,0.0
3.0,False,4,61679725,29.442584245365822,11637015,-98.4726125380979,150,7,Entire home/apt,4.0
2.0,False,4,4565632,29.465958806283396,973459,-98.52730783974431,75,100,Entire home/apt,5.0
4.0,False,4,59065656,29.420163763303695,13393189,-98.49263262385392,189,0,Entire home/apt,0.0
3.0,False,4,30600482,29.43007997877642,8014019,-98.4688890190881,125,33,Entire home/apt,4.5
5.0,True,4,21905140,29.480107374312453,5978360,-98.57929081279175,140,17,Entire home/apt,5.0
3.0,True,4,5515234,29.559226197102905,6977015,-98.31159311285514,100,7,Entire home/apt,4.5
1.0,True,4,14913054,29.53817408768754,13079444,-98.52235961705217,100,5,Entire home/apt,5.0
3.0,False,4,2948394,29.44142135919538,2139583,-98.49503774518469,105,139,Entire home/apt,5.0
3.0,False,4,73081571,29.51805240073474,13127589,-98.60637724898685,120,1,Entire home/apt,0.0
2.0,False,4,49116611,29.659500537448665,11498059,-98.43936134258628,150,7,Entire home/apt,4.5
3.0,False,4,36236818,29.61008823448854,9350208,-98.6051090563455,129,3,Entire home/apt,4.5
1.0,False,4,42785990,29.45539785505562,8184029,-98.46459490493392,100,16,Entire home/apt,4.0
4.0,False,4,5269864,29.495976624281422,7652724,-98.57317312648699,119,4,Entire home/apt,3.5
9.0,False,4,59215246,29.53000599825289,11321125,-98.53917259667828,315,5,Entire home/apt,5.0
3.0,False,4,47278677,29.4300828921607,9063926,-98.48742281145337,150,4,Entire home/apt,4.5
3.0,False,4,50318769,29.43316510643706,10503262,-98.6667455255243,90,18,Entire home/apt,5.0
2.0,False,4,64911077,29.448252990362846,12105551,-98.48378629747033,145,2,Entire home/apt,0.0
4.0,False,4,50051552,29.410363029732572,9690794,-98.4834529320184,225,6,Entire home/apt,5.0
3.0,True,4,4826122,29.42519189064297,12719781,-98.46913388809294,160,9,Entire home/apt,4.5
2.0,False,4,8820034,29.440768260685594,1665135,-98.4563926213324,130,31,Entire home/apt,5.0
5.0,True,4,25993412,29.55524936256225,7292240,-98.46143193613355,118,31,Entire home/apt,4.5
3.0,True,4,4987318,29.412708185045553,9695765,-98.48433692249698,128,27,Entire home/apt,5.0
4.0,True,4,10293918,29.512228095624323,12470405,-98.68742088575063,100,17,Entire home/apt,4.5
4.0,True,4,18952556,29.554899611238355,6088158,-98.45988097576009,149,36,Entire home/apt,5.0
1.0,False,4,5783794,29.42064839963146,3569992,-98.47289503735442,110,110,Entire home/apt,4.5
3.0,False,4,2948394,29.44231308154422,596380,-98.49585899918002,108,206,Entire home/apt,5.0
2.0,False,4,4987318,29.41231684592881,4085510,-98.48526911553564,187,71,Entire home/apt,5.0
1.0,True,4,10293918,29.457636378993882,9254968,-98.69907091750608,60,38,Entire home/apt,4.5
2.0,True,4,4987318,29.412049505959352,4069535,-98.48550518307135,147,59,Entire home/apt,5.0
3.0,True,4,4987318,29.409801408831857,6437922,-98.4844145761208,161,55,Entire home/apt,4.5
2.0,True,4,20409003,29.41562741228152,3820908,-98.49597521188453,111,55,Entire home/apt,4.5
2.0,False,4,49425852,29.466312667984194,9543444,-98.48984965827933,120,4,Entire home/apt,5.0
2.0,False,4,43598381,29.513901231080958,8268604,-98.46393923279564,99,4,Entire home/apt,5.0
2.0,False,4,8742068,29.39683533433155,1769706,-98.483817434442,175,25,Entire home/apt,5.0
1.0,False,4,23666826,29.45820371985969,13045741,-98.51995626478966,85,0,Entire home/apt,0.0
2.0,False,4,5269864,29.48134692324585,11533013,-98.53601524037362,89,3,Entire home/apt,4.5
2.0,False,4,75094391,29.6706383422407,13299372,-98.6582156981223,275,1,Entire home/apt,0.0
3.0,True,4,4987318,29.409801408831857,6437922,-98.4844145761208,161,55,Entire home/apt,4.5
