beds,can_instant_book,guests,host_id,latitude,listing_id,longitude,rate,reviews_count,room_type,star_rating
2,True,4,76243176,32.718624626486076,13547144,-117.15794434599033,119,4,Entire home/apt,5.0
2,True,4,10242958,32.745114423806584,13592347,-117.11678906744777,115,0,Entire home/apt,0.0
2,False,4,19638524,32.771793964108625,3818701,-117.1209329228859,110,127,Entire home/apt,5.0
2,True,4,4374657,32.750779979238025,914317,-117.25052982205642,130,217,Entire home/apt,5.0
3,False,4,77616891,32.868179190360834,13522628,-117.23759157208171,134,2,Entire home/apt,0.0
2,True,4,70081060,32.715434919116696,13017525,-117.16063757972258,130,0,Entire home/apt,0.0
1,False,4,79904708,32.75176687139639,13700171,-117.23424918328713,108,0,Entire home/apt,0.0
2,True,4,42073407,32.71431068275629,9471142,-117.16032185956306,400,0,Entire home/apt,0.0
4,True,4,4113688,32.775981455671186,9577702,-117.25221686429694,275,17,Entire home/apt,5.0
2,True,4,79527040,32.71567479658664,13743062,-117.16073853362893,398,0,Entire home/apt,0.0
2,True,4,64983958,32.78484865894451,12114843,-117.25270293723806,142,12,Entire home/apt,5.0
2,False,4,16672424,32.77769296608128,13713670,-117.253363651985,200,0,Entire home/apt,0.0
2,True,4,34552280,32.715662934375956,7134019,-117.16031125337858,155,1,Entire home/apt,0.0
2,False,4,19529459,32.75218321802147,3801623,-117.2395710004674,99,110,Entire home/apt,5.0
2,True,4,59102411,32.71917538537016,11526884,-117.1579101079466,111,4,Entire home/apt,5.0
4,True,4,71872719,32.71265543596039,13019443,-117.16980126256225,199,7,Entire home/apt,4.5
2,True,4,7788614,32.75942717146483,13201539,-117.12856071752455,140,0,Entire home/apt,0.0
2,False,4,63805258,32.838775656323996,11948847,-117.27410819318688,125,8,Entire home/apt,5.0
1,False,4,6425057,32.73955377638869,1173925,-117.1659421713726,105,184,Entire home/apt,4.5
2,False,4,61127636,32.75774795720215,11569714,-117.11338094949285,141,24,Entire home/apt,5.0
2,False,4,30298734,32.733782911128124,11987206,-117.12265089336617,133,16,Entire home/apt,5.0
2,True,4,64983958,32.78484865894451,12114843,-117.25270293723806,142,12,Entire home/apt,5.0
2,True,4,58888047,32.730051118638535,11276742,-117.16661477397281,135,4,Entire home/apt,5.0
3,False,4,67935181,32.76611532169528,12540869,-117.17431814834752,195,6,Entire home/apt,5.0
1,True,4,71721238,32.70370812286936,13279751,-117.13546289015096,150,2,Entire home/apt,0.0
2,True,4,2165667,32.749217176191074,8037037,-117.1442123787873,95,25,Entire home/apt,5.0
1,False,4,2822659,32.740848220295064,12158450,-117.24170931685227,96,17,Entire home/apt,5.0
2,False,4,49671171,32.78521845304251,9596976,-117.25429692260022,190,33,Entire home/apt,5.0
3,False,4,22942772,32.746159127553874,13095978,-117.14580948076234,125,11,Entire home/apt,5.0
2,True,4,10242958,32.745114423806584,13592347,-117.11678906744777,115,0,Entire home/apt,0.0
3,False,4,18219542,32.74513055288645,4146041,-117.24992352709941,133,52,Entire home/apt,5.0
2,False,4,10555237,32.731316195514225,2072340,-117.17061366328338,119,91,Entire home/apt,5.0
3,True,4,29204997,32.7458345435907,5634816,-117.25238430556415,164,44,Entire home/apt,5.0
2,False,4,19529459,32.75218321802147,3801623,-117.2395710004674,99,110,Entire home/apt,5.0
2,False,4,28481444,32.746982462392566,12914389,-117.24137609785068,97,6,Entire home/apt,4.5
2,True,4,15557078,32.7995129383372,7118856,-117.25621551465935,140,6,Entire home/apt,4.5
2,True,4,19067054,32.784290011540946,4268523,-117.25235010606774,140,71,Entire home/apt,5.0
2,False,4,30298734,32.733782911128124,11987206,-117.12265089336617,133,16,Entire home/apt,5.0
