bedrooms,can_instant_book,counter,guests,host_id,latitude,listing_id,longitude,page,rate,reviews_count,room_type,star_rating
1,True,1,4,3675617,37.76369466514492,713877,-122.45303727508765,1,165,265,Entire home/apt,4.5
1,True,2,4,1867997,37.77759183509758,7278586,-122.4335479316802,1,345,75,Entire home/apt,5.0
2,False,3,4,63020208,37.7574635185719,11829072,-122.47382881186839,1,235,2,Entire home/apt,0.0
1,False,4,4,8749573,37.78054107530683,9531201,-122.40462265739481,1,250,8,Entire home/apt,5.0
2,False,5,4,61983661,37.75098283944305,13389746,-122.41249851854359,1,180,6,Entire home/apt,4.5
2,False,6,4,252154,37.79422202989985,286231,-122.41425804520371,1,284,23,Entire home/apt,4.5
2,False,7,4,81513590,37.74432696943345,13827669,-122.4780429736593,1,150,0,Entire home/apt,0.0
1,True,8,4,26821897,37.78199377130366,5298133,-122.46349080240677,1,182,91,Entire home/apt,4.5
1,False,9,4,428807,37.77593419775169,11625548,-122.44469709864718,1,200,10,Entire home/apt,4.5
2,False,10,4,26914130,37.80304913711399,8673754,-122.42154540733979,1,450,8,Entire home/apt,5.0
2,False,11,4,40993599,37.72583190215594,10385321,-122.4304184331456,1,100,47,Entire home/apt,5.0
1,True,12,4,62202627,37.758293653789714,13396831,-122.4476120821979,1,225,1,Entire home/apt,0.0
2,False,13,4,49716827,37.74936681137381,9608262,-122.42508697003694,1,188,12,Entire home/apt,5.0
1,False,14,4,16841056,37.7771292098502,6503281,-122.46765461347542,1,160,26,Entire home/apt,5.0
2,True,15,4,338939,37.75845745886824,10586068,-122.40866539981121,1,275,7,Entire home/apt,5.0
1,True,16,4,61550013,37.78337034770366,14085488,-122.48923770589374,1,125,6,Entire home/apt,5.0
2,False,17,4,1094844,37.75480264813275,9821284,-122.40882824629014,1,300,10,Entire home/apt,5.0
1,False,18,4,37191616,37.77512320201817,7393518,-122.40244096814962,1,165,4,Entire home/apt,4.5
3,False,1,4,1462631,37.72628631839417,10788469,-122.4046305084275,2,350,16,Entire home/apt,5.0
2,False,2,4,642553,37.739740716762114,11511240,-122.43027970242308,2,200,6,Entire home/apt,5.0
0,True,3,4,1984059,37.777524525809966,14986582,-122.41809653950966,2,133,0,Entire home/apt,0.0
1,False,4,4,42540814,37.798998565793156,8054733,-122.42983718865418,2,220,53,Entire home/apt,5.0
2,False,5,4,1491922,37.74675853382519,8336228,-122.40912223470905,2,315,2,Entire home/apt,0.0
2,True,6,4,8263560,37.78963357052771,12362408,-122.41350826745158,2,239,2,Entire home/apt,0.0
2,False,7,4,40993599,37.72583190215594,10385321,-122.4304184331456,2,100,47,Entire home/apt,5.0
2,False,8,4,81879,37.78508550652572,10058134,-122.44297502127932,2,300,19,Entire home/apt,5.0
2,True,9,4,338939,37.75845745886824,10586068,-122.40866539981121,2,275,7,Entire home/apt,5.0
2,False,10,4,3399839,37.74992986268061,1543266,-122.40655202724689,2,190,150,Entire home/apt,5.0
1,False,11,4,56742312,37.79574336763301,10943035,-122.41349792946053,2,188,7,Entire home/apt,5.0
1,False,12,4,59263567,37.78727018651735,11326769,-122.45834038632269,2,365,14,Entire home/apt,5.0
1,True,13,4,26821897,37.78199377130366,5298133,-122.46349080240677,2,182,91,Entire home/apt,4.5
1,False,14,4,11775397,37.754016199431746,14187894,-122.41822408829692,2,200,8,Entire home/apt,5.0
3,False,15,4,30865412,37.75191312793246,9108108,-122.40497241246426,2,325,12,Entire home/apt,5.0
1,False,16,4,37191616,37.77512320201817,7393518,-122.40244096814962,2,165,4,Entire home/apt,4.5
3,False,17,4,27292887,37.71967892178214,11163298,-122.44972835391367,2,209,6,Entire home/apt,5.0
1,False,18,4,16933260,37.77390863810561,3481025,-122.47972097604487,2,185,119,Entire home/apt,4.5
2,False,1,4,432967,37.77686427958934,6915290,-122.42928651306713,3,325,56,Entire home/apt,5.0
2,False,2,4,10456230,37.77375898005033,12254872,-122.42718350610637,3,387,7,Entire home/apt,5.0
3,False,3,4,727246,37.75065685054285,591431,-122.4234918406435,3,350,9,Entire home/apt,4.0
2,True,4,4,45697565,37.77084505858908,8705073,-122.43030180786336,3,175,8,Entire home/apt,4.0
3,False,5,4,9310705,37.77176701653497,6213273,-122.50887055577566,3,390,67,Entire home/apt,5.0
3,False,6,4,53373733,37.729953084822874,10369307,-122.39578346493852,3,149,11,Entire home/apt,4.5
1,True,7,4,5101368,37.7295338739166,11642774,-122.37097110115553,3,149,8,Entire home/apt,5.0
3,False,8,4,2860364,37.80171787412727,581216,-122.43501307494165,3,245,163,Entire home/apt,4.5
1,False,9,4,12328050,37.748688193210924,2412158,-122.43213004526446,3,300,12,Entire home/apt,5.0
3,False,10,4,29195062,37.772864508206496,14996410,-122.42057253347153,3,250,0,Entire home/apt,0.0
2,False,11,4,8362954,37.77488517635385,3917869,-122.42810453176622,3,250,11,Entire home/apt,5.0
1,True,12,4,62202627,37.758293653789714,13396831,-122.4476120821979,3,225,1,Entire home/apt,0.0
2,True,13,4,23752034,37.77183313153258,9977811,-122.50180704224452,3,150,5,Entire home/apt,5.0
3,False,14,4,7479539,37.78267645429306,7650100,-122.48819260470778,3,299,39,Entire home/apt,4.5
1,False,15,4,3273603,37.77358049034084,1738415,-122.42806372501764,3,250,196,Entire home/apt,5.0
2,False,16,4,5029188,37.72090818758098,9760014,-122.46372084447765,3,145,4,Entire home/apt,4.5
2,False,17,4,5214776,37.74019341368586,11390565,-122.4136537927652,3,145,4,Entire home/apt,5.0
4,True,18,4,79107749,37.78813058456459,13674090,-122.44555526447263,3,699,6,Entire home/apt,5.0
2,False,1,4,5029188,37.72090818758098,9760014,-122.46372084447765,4,145,4,Entire home/apt,4.5
2,False,2,4,5214776,37.74019341368586,11390565,-122.4136537927652,4,145,4,Entire home/apt,5.0
4,True,3,4,79107749,37.78813058456459,13674090,-122.44555526447263,4,699,6,Entire home/apt,5.0
1,True,4,4,4901615,37.79556625660639,1263140,-122.4135094839289,4,265,11,Entire home/apt,5.0
2,False,5,4,899994,37.74245447278565,2890120,-122.42093167221657,4,320,14,Entire home/apt,5.0
1,False,6,4,357468,37.7629528056997,4287481,-122.48324337981244,4,160,118,Entire home/apt,4.5
2,False,7,4,1211180,37.76388505795567,9090641,-122.44410994978892,4,220,7,Entire home/apt,5.0
2,False,8,4,3424714,37.77520313491163,13118901,-122.39277154590664,4,398,14,Entire home/apt,4.5
2,True,9,4,15336469,37.76390889746729,3257886,-122.49778681725688,4,160,179,Entire home/apt,4.5
3,False,10,4,377744,37.798780423726285,12176844,-122.4035596150818,4,550,16,Entire home/apt,5.0
2,False,11,4,2519235,37.77567023703567,5845170,-122.42736374350353,4,255,8,Entire home/apt,5.0
1,False,12,4,26482762,37.78841006632927,14197078,-122.41245383910467,4,215,0,Entire home/apt,0.0
3,True,13,4,4152724,37.80227702132305,11190379,-122.40690610466548,4,600,8,Entire home/apt,5.0
2,False,14,4,48763599,37.778615628455185,9402993,-122.43220901574655,4,300,4,Entire home/apt,5.0
2,True,15,4,30979016,37.77465863262607,5967901,-122.42704571527487,4,225,52,Entire home/apt,5.0
2,True,16,4,252376,37.78775469122634,53934,-122.41634362452434,4,200,218,Entire home/apt,5.0
2,True,17,4,68308998,37.79552632437219,12592391,-122.40397878453155,4,199,24,Entire home/apt,4.0
2,False,18,4,2861996,37.770755734793845,6761066,-122.43003278029259,4,200,4,Entire home/apt,5.0
2,False,1,4,6542907,37.79013218901961,13436195,-122.44266139105414,5,220,9,Entire home/apt,4.5
3,False,2,4,55983066,37.77794411001243,10812630,-122.47992527229822,5,198,47,Entire home/apt,4.5
1,False,3,4,5640732,37.77931768459129,11140705,-122.46073116592076,5,180,6,Entire home/apt,5.0
2,False,4,4,9186765,37.768706294933665,14589739,-122.44539691158138,5,285,2,Entire home/apt,0.0
0,False,5,4,6346492,37.788974753154996,1474209,-122.41121066947122,5,175,93,Entire home/apt,5.0
2,False,6,4,16010762,37.759509040421015,13220623,-122.48980764639728,5,195,6,Entire home/apt,5.0
3,False,7,4,46107941,37.76176009403668,8799100,-122.42492381934873,5,545,10,Entire home/apt,5.0
3,True,8,4,74679017,37.77994325078395,13319043,-122.47552619702371,5,235,3,Entire home/apt,5.0
2,False,9,4,8217087,37.77354050229166,10390390,-122.4329118354707,5,275,7,Entire home/apt,5.0
2,False,10,4,31370440,37.72981707464869,14341301,-122.36873317232495,5,187,3,Entire home/apt,5.0
3,True,11,4,5537980,37.769738909685245,6415052,-122.43695102058447,5,380,10,Entire home/apt,5.0
2,False,12,4,2479128,37.75908149574468,11281876,-122.42132684609768,5,269,56,Entire home/apt,4.5
2,False,13,4,27960596,37.76223543284772,5394104,-122.4324121993068,5,295,34,Entire home/apt,5.0
3,False,14,4,14818517,37.76023984879865,7549488,-122.39898667479835,5,425,2,Entire home/apt,0.0
1,True,15,4,65239845,37.780958364492044,12151345,-122.38928366314279,5,349,32,Entire home/apt,5.0
1,False,16,4,61949143,37.77448060236366,14745916,-122.41784999012144,5,249,0,Entire home/apt,0.0
2,False,17,4,338939,37.757246417145325,10406646,-122.40931471446184,5,220,22,Entire home/apt,4.5
3,False,18,4,28028214,37.79207606794673,5406893,-122.4460275500881,5,450,7,Entire home/apt,5.0
2,True,1,4,713079,37.77797616979985,7956253,-122.43372263774575,6,175,6,Entire home/apt,4.5
1,True,2,4,35610278,37.77474936877383,13625049,-122.41723961228998,6,350,7,Entire home/apt,5.0
2,False,3,4,20286121,37.71452908275452,6587037,-122.452747981065,6,182,10,Entire home/apt,5.0
2,True,4,4,49577520,37.762507540518754,14614355,-122.50370114169186,6,189,0,Entire home/apt,0.0
1,False,5,4,266101,37.786288923650815,56200,-122.43956576202952,6,335,262,Entire home/apt,5.0
2,False,6,4,4184115,37.74094550262811,7810254,-122.42124240666392,6,320,5,Entire home/apt,5.0
2,False,7,4,2501567,37.71846884869995,2119773,-122.45181280070824,6,200,119,Entire home/apt,5.0
2,False,8,4,11698860,37.762160912689104,11205620,-122.45258951351592,6,275,7,Entire home/apt,5.0
2,False,9,4,640797,37.755873031353076,6107359,-122.40905707897586,6,319,88,Entire home/apt,5.0
2,False,10,4,7173776,37.77454212732908,7861157,-122.45109295196418,6,195,40,Entire home/apt,4.5
0,False,11,4,6346492,37.78846327958704,2937902,-122.41054680888364,6,180,17,Entire home/apt,5.0
1,True,12,4,57281254,37.77317980184832,11038085,-122.4227680896565,6,710,0,Entire home/apt,0.0
1,False,13,4,45309506,37.79307770797046,8612964,-122.41481262057246,6,220,4,Entire home/apt,5.0
2,True,14,4,7301895,37.775496579112236,10468747,-122.41828734210371,6,1999,0,Entire home/apt,0.0
2,False,15,4,63020208,37.7574635185719,11829072,-122.47382881186839,6,235,2,Entire home/apt,0.0
5,True,16,4,22009135,37.773925499274625,9298491,-122.47687334038372,6,499,36,Entire home/apt,4.5
2,False,17,4,50499062,37.78258951000649,9799565,-122.39302378091128,6,300,6,Entire home/apt,4.0
1,True,18,4,331559,37.80507587931245,12987777,-122.40775163036948,6,175,20,Entire home/apt,5.0
2,False,1,4,25133816,37.764623915654596,7933407,-122.40675158621576,7,225,22,Entire home/apt,5.0
1,True,2,4,2192745,37.79817832588284,11480730,-122.39924690580465,7,280,9,Entire home/apt,4.0
2,False,3,4,23918094,37.78359751241085,10103881,-122.3986210123256,7,450,3,Entire home/apt,5.0
2,False,4,4,2488089,37.77525386359369,13893720,-122.4650084495038,7,196,1,Entire home/apt,0.0
0,False,5,4,2633666,37.776691593038436,13447420,-122.41544117807061,7,121,4,Entire home/apt,5.0
1,False,6,4,44535758,37.793604437896526,10906958,-122.41998952721514,7,250,11,Entire home/apt,4.5
1,True,7,4,7040033,37.74358506251817,12708049,-122.43880313954918,7,140,7,Entire home/apt,5.0
2,False,8,4,66417402,37.7921947812221,13154998,-122.40232633449693,7,590,6,Entire home/apt,5.0
2,False,9,4,45077913,37.74915714147895,8565299,-122.41985641538888,7,300,11,Entire home/apt,5.0
2,True,10,4,41480463,37.80225210912375,7870535,-122.44211823738577,7,585,12,Entire home/apt,5.0
2,False,11,4,15601479,37.75125672267617,8461190,-122.40793933992781,7,188,1,Entire home/apt,0.0
0,False,12,4,6346492,37.78729381989861,1281167,-122.40943663089524,7,180,147,Entire home/apt,5.0
4,False,13,4,4170606,37.72856381434586,14638103,-122.43494835136795,7,220,0,Entire home/apt,0.0
2,False,14,4,7184255,37.77765534678831,8940883,-122.40439130800917,7,315,49,Entire home/apt,4.5
2,False,15,4,5450691,37.80094298211765,992596,-122.4128080096063,7,260,16,Entire home/apt,4.5
2,False,16,4,5516215,37.74257972648931,5581254,-122.48744022042963,7,205,48,Entire home/apt,4.5
