bedrooms,can_instant_book,counter,guests,host_id,latitude,listing_id,longitude,page,rate,reviews_count,room_type,star_rating
1,False,1,4,52091606,37.342048303277046,10149826,-121.95127947139883,1,135,29,Entire home/apt,5.0
3,True,2,4,47850823,37.34341563902404,9199361,-121.99200408941601,1,300,10,Entire home/apt,5.0
2,False,3,4,17807198,37.3960841685248,10626471,-121.95929417425668,1,100,4,Entire home/apt,5.0
2,False,4,4,7664442,37.392220736610064,8403527,-121.95050716207005,1,220,33,Entire home/apt,5.0
2,False,5,4,45948605,37.396929693661775,8762283,-121.94197198490677,1,200,25,Entire home/apt,5.0
3,True,6,4,11377707,37.401211825018635,10593515,-121.94690102212235,1,299,9,Entire home/apt,4.5
3,True,7,4,43541740,37.353595044770444,8554799,-121.9441856349462,1,600,0,Entire home/apt,0.0
2,True,8,4,19981178,37.35675801511878,9886924,-121.97244378471233,1,900,0,Entire home/apt,0.0
1,False,9,4,11821591,37.39716437499461,10590606,-121.94135627665776,1,160,1,Entire home/apt,0.0
2,False,10,4,54805415,37.33960848347427,10619034,-121.9345208677567,1,105,1,Entire home/apt,0.0
3,False,11,4,49657060,37.33465794184049,9594217,-121.95406820906076,1,2300,0,Entire home/apt,0.0
2,False,12,4,9813333,37.367192894507994,11041098,-121.98942588064189,1,75,8,Entire home/apt,5.0
4,False,13,4,78954122,37.3954801941351,13625030,-121.96370541880198,1,400,0,Entire home/apt,0.0
2,False,14,4,48826122,37.35646265136691,9416936,-121.99964514858678,1,188,0,Entire home/apt,0.0
2,True,15,4,30236486,37.40609320422372,8593202,-121.9646089497673,1,1500,0,Entire home/apt,0.0
2,True,16,4,2120205,37.34418196566031,9735293,-121.97777045182146,1,195,3,Entire home/apt,4.5
1,False,17,4,33473115,37.40264415897259,6417733,-121.95609625489297,1,108,5,Entire home/apt,4.5
1,False,18,4,32993656,37.367973141850754,10598754,-121.97481674088237,1,300,1,Entire home/apt,0.0
2,False,1,4,53763865,37.33642733228293,10437103,-121.95561067845856,2,1000,0,Entire home/apt,0.0
2,False,2,4,45317900,37.406297135609016,10335741,-121.96235061636347,2,875,0,Entire home/apt,0.0
2,False,3,4,2586169,37.39635412639574,3938025,-121.95969498851652,2,570,19,Entire home/apt,5.0
