bedrooms,can_instant_book,counter,guests,host_id,latitude,listing_id,longitude,page,rate,reviews_count,room_type,star_rating
1,True,1,4,24242419,35.65975956025361,7351231,-106.02084272112593,1,79,17,Entire home/apt,4.5
1,False,2,4,3520330,35.685903951106795,10830658,-105.95432680283322,1,89,20,Entire home/apt,5.0
1,True,3,4,9615762,35.68617064774034,5490974,-105.9556747503545,1,129,81,Entire home/apt,5.0
2,False,4,4,35393215,35.69407272269026,6760625,-105.93166100689025,1,137,39,Entire home/apt,4.5
2,True,5,4,9761716,35.6830212525195,2016964,-105.9321600342403,1,111,175,Entire home/apt,5.0
2,True,6,4,56671597,35.728834971296536,13731789,-105.95124232267314,1,185,11,Entire home/apt,5.0
2,False,7,4,16356850,35.679587026612914,11900003,-105.96316507280274,1,85,29,Entire home/apt,5.0
2,True,8,4,49956174,35.6927012625799,9667291,-105.93226852603888,1,125,39,Entire home/apt,5.0
1,False,9,4,9788568,35.67659945521384,3498770,-105.9301315910915,1,145,130,Entire home/apt,5.0
3,False,10,4,594840,35.66410154293943,8146857,-105.98355751746548,1,99,47,Entire home/apt,5.0
2,True,11,4,65509914,35.65824835788194,13971698,-106.01750990437952,1,79,12,Entire home/apt,5.0
1,False,12,4,87288562,35.494203549733406,14294984,-106.06069369916115,1,85,4,Entire home/apt,5.0
2,True,13,4,7900606,35.67871838826699,1476219,-105.94416093057141,1,189,48,Entire home/apt,5.0
2,False,14,4,8551447,35.64058376624129,13779233,-105.90630644207978,1,136,10,Entire home/apt,5.0
3,False,15,4,3272433,35.67698295711393,10157564,-105.91629388651128,1,165,37,Entire home/apt,5.0
1,False,16,4,16833786,35.679579432089035,3334204,-105.93848249667413,1,95,78,Entire home/apt,5.0
2,True,17,4,20947388,35.59510434038734,6623020,-105.86399577141508,1,125,68,Entire home/apt,5.0
1,True,18,4,38785662,35.69342826937282,7402158,-105.94477279143537,1,207,96,Entire home/apt,5.0
2,True,1,4,37429960,35.69645472982494,7147386,-105.95417574534045,2,99,32,Entire home/apt,5.0
2,True,2,4,7900606,35.67871838826699,1476219,-105.94416093057141,2,189,48,Entire home/apt,5.0
1,False,3,4,9788568,35.67659945521384,3498770,-105.9301315910915,2,145,130,Entire home/apt,5.0
1,True,4,4,17688071,35.542529515687264,3512993,-105.85956576861234,2,95,78,Entire home/apt,5.0
2,True,5,4,20947388,35.59510434038734,6623020,-105.86399577141508,2,125,68,Entire home/apt,5.0
1,True,6,4,8259908,35.682204902546125,1636754,-105.94024325612891,2,135,99,Entire home/apt,5.0
3,True,7,4,1164019,35.71127451460093,7264431,-105.88436827945914,2,229,38,Entire home/apt,5.0
