bedrooms,can_instant_book,counter,guests,host_id,latitude,listing_id,longitude,page,rate,reviews_count,room_type,star_rating
1,True,1,4,13200167,47.618430804447286,12908346,-122.34741970966873,1,124,29,Entire home/apt,4.5
3,False,2,4,9060841,47.63993138254302,7697340,-122.3228395657492,1,450,13,Entire home/apt,4.5
0,False,3,4,74049603,47.56768963771332,13209735,-122.40934612359716,1,229,17,Entire home/apt,5.0
1,True,4,4,60556469,47.55716849814899,11498160,-122.38277040990185,1,79,34,Entire home/apt,5.0
1,True,5,4,74349576,47.59693841638812,13237572,-122.32357248002685,1,107,4,Entire home/apt,5.0
2,False,6,4,41209589,47.605429414130505,8372038,-122.331364403788,1,150,117,Entire home/apt,4.5
1,False,7,4,65541152,47.61053482603496,13131530,-122.32492491463874,1,132,14,Entire home/apt,4.5
1,False,8,4,21659291,47.61371870762442,13648441,-122.33373948107835,1,100,4,Entire home/apt,5.0
2,False,9,4,14015217,47.61558796884932,2935486,-122.34882232861952,1,250,124,Entire home/apt,4.5
0,False,10,4,11280258,47.58691125673145,13845855,-122.31172944651266,1,149,3,Entire home/apt,5.0
1,True,11,4,52365502,47.64138980252754,10899830,-122.34541868870262,1,77,33,Entire home/apt,5.0
2,True,12,4,20293011,47.67718810804244,14167381,-122.34846629485472,1,85,0,Entire home/apt,0.0
1,False,13,4,15563461,47.66611364547469,11022927,-122.28628677171861,1,80,3,Entire home/apt,4.5
1,True,14,4,66206482,47.69641329148196,14654968,-122.37173955495713,1,45,2,Entire home/apt,0.0
1,False,15,4,25249644,47.612689255727354,8209623,-122.35090414656008,1,170,47,Entire home/apt,5.0
1,True,16,4,48604323,47.66365131127364,9367465,-122.3620817788268,1,120,33,Entire home/apt,5.0
1,False,17,4,46566046,47.64955162768306,8902327,-122.31830855007524,1,150,50,Entire home/apt,5.0
1,False,18,4,726673,47.52320157598515,12064196,-122.37816607422147,1,89,11,Entire home/apt,5.0
1,False,1,4,65541152,47.61053482603496,13131530,-122.32492491463874,2,138,14,Entire home/apt,4.5
1,False,2,4,15563461,47.66611364547469,11022927,-122.28628677171861,2,100,3,Entire home/apt,4.5
2,True,3,4,20293011,47.67718810804244,14167381,-122.34846629485472,2,125,0,Entire home/apt,0.0
0,True,4,4,16727906,47.66005609984663,3312406,-122.35768266419049,2,129,121,Entire home/apt,5.0
1,False,5,4,236714,47.67555762007289,12028522,-122.3343351963032,2,110,17,Entire home/apt,5.0
1,False,6,4,5934694,47.52553001428419,5852034,-122.3577343324363,2,105,109,Entire home/apt,5.0
2,False,7,4,60543758,47.61194832891824,11497199,-122.30148577986637,2,150,8,Entire home/apt,5.0
2,True,8,4,22372266,47.63977159418694,4310085,-122.36591257161811,2,187,53,Entire home/apt,4.5
0,False,9,4,11984004,47.68511442487386,8923774,-122.31830485867309,2,115,21,Entire home/apt,5.0
1,True,10,4,66206482,47.69641329148196,14654968,-122.37173955495713,2,75,2,Entire home/apt,0.0
0,True,11,4,10558142,47.61171392994843,7735313,-122.32860197178175,2,149,74,Entire home/apt,5.0
2,False,12,4,6047879,47.54154472189448,10635696,-122.35884384516636,2,95,32,Entire home/apt,5.0
0,True,13,4,35961304,47.617883056053756,8956628,-122.34552200962833,2,120,61,Entire home/apt,4.5
2,True,14,4,74305,47.61418994451972,59838,-122.34495731476815,2,147,90,Entire home/apt,4.5
1,True,15,4,11039803,47.62766752090634,9522082,-122.34961677115957,2,159,15,Entire home/apt,5.0
3,False,16,4,63327334,47.57486153655205,13186648,-122.39730630068546,2,145,5,Entire home/apt,5.0
1,False,17,4,391714,47.60593225354328,92835,-122.33083231531664,2,190,386,Entire home/apt,4.5
0,False,18,4,54302966,47.62147275048516,11657126,-122.34886730214274,2,167,52,Entire home/apt,4.5
2,True,1,4,5011779,47.640127266889934,7676574,-122.40273909978015,3,250,8,Entire home/apt,5.0
1,True,2,4,74349576,47.59693841638812,13237572,-122.32357248002685,3,107,4,Entire home/apt,5.0
1,False,3,4,46566046,47.64955162768306,8902327,-122.31830855007524,3,150,50,Entire home/apt,5.0
1,True,4,4,10013531,47.62124200930772,11356904,-122.31703838360572,3,160,23,Entire home/apt,5.0
2,False,5,4,3265476,47.57708127026005,10104190,-122.41314380215063,3,179,29,Entire home/apt,4.5
1,False,6,4,4784535,47.67766891254269,5978160,-122.31595083050458,3,80,20,Entire home/apt,5.0
1,False,7,4,2431399,47.560511109106216,491958,-122.2789483009719,3,95,185,Entire home/apt,5.0
0,True,8,4,9010826,47.68004932577747,13733344,-122.34877355750062,3,125,12,Entire home/apt,5.0
2,False,9,4,29480224,47.61556576443697,5685646,-122.28527866611971,3,150,104,Entire home/apt,4.5
2,True,10,4,14980831,47.61136873936966,3624990,-122.328852549505,3,175,38,Entire home/apt,4.5
3,True,11,4,3787979,47.638406836124176,9694921,-122.34407700488275,3,300,8,Entire home/apt,4.5
2,False,12,4,3725877,47.54917166658114,12604124,-122.38211015061938,3,100,2,Entire home/apt,0.0
1,False,13,4,20219487,47.618369484235586,9924107,-122.31474073780551,3,110,46,Entire home/apt,5.0
2,False,14,4,53061761,47.694910623369836,12761753,-122.31610910394673,3,99,16,Entire home/apt,5.0
2,False,15,4,430709,47.60613005279123,4251235,-122.33776785077139,3,275,18,Entire home/apt,5.0
1,False,16,4,31669424,47.686169731685396,6474341,-122.37724756911916,3,88,24,Entire home/apt,5.0
2,False,17,4,24916371,47.61602024189273,6689259,-122.31404921274489,3,100,45,Entire home/apt,5.0
1,True,18,4,34946797,47.56085902790565,8627921,-122.2759678556447,3,85,68,Entire home/apt,5.0
2,False,1,4,38494686,47.68031450226036,9350960,-122.39790337310326,4,140,30,Entire home/apt,4.5
1,True,2,4,48604323,47.66365131127364,9367465,-122.3620817788268,4,120,33,Entire home/apt,5.0
0,True,3,4,15454102,47.62137650042686,9939740,-122.35562328066419,4,175,16,Entire home/apt,5.0
4,False,4,4,77199716,47.67224396103443,13481511,-122.2905699917112,4,160,3,Entire home/apt,5.0
1,False,5,4,50586425,47.674852489418214,14539551,-122.26802374865653,4,90,3,Entire home/apt,4.5
2,True,6,4,316200,47.640917298786654,7581631,-122.32332152102768,4,110,27,Entire home/apt,5.0
1,False,7,4,32631462,47.56895261944462,13334770,-122.38670083392402,4,109,17,Entire home/apt,5.0
3,True,8,4,658155,47.61118049817984,13332139,-122.31422579045417,4,300,8,Entire home/apt,5.0
0,False,9,4,8612866,47.66524463768145,1618842,-122.37040951426208,4,140,143,Entire home/apt,5.0
2,False,10,4,35997976,47.63817767601824,9465166,-122.36429391562804,4,145,21,Entire home/apt,5.0
2,False,11,4,80711046,47.44403407698995,14093672,-122.35854681633742,4,175,6,Entire home/apt,5.0
3,True,12,4,8009691,47.59929355186548,14236183,-122.31328749711707,4,199,0,Entire home/apt,0.0
1,False,13,4,726673,47.52320157598515,12064196,-122.37816607422147,4,89,11,Entire home/apt,5.0
1,True,14,4,76826485,47.61800514259628,14198083,-122.31607479132991,4,189,2,Entire home/apt,0.0
2,False,15,4,4335914,47.62086249765871,7439802,-122.33896607982014,4,550,21,Entire home/apt,5.0
0,False,16,4,24883855,47.61165683534938,13510333,-122.34237425726633,4,270,10,Entire home/apt,4.5
2,False,17,4,26017435,47.589407826119896,7257457,-122.38350853173353,4,185,19,Entire home/apt,5.0
2,True,18,4,4027067,47.622173610306966,13173789,-122.32655888049638,4,149,7,Entire home/apt,4.5
1,True,1,4,22764472,47.543648219587716,14489156,-122.38768717075689,5,120,3,Entire home/apt,4.5
2,True,2,4,15427558,47.52852708032181,14204835,-122.3741317822741,5,120,9,Entire home/apt,5.0
2,True,3,4,52553028,47.59718882139485,12682209,-122.32425647677164,5,85,21,Entire home/apt,4.5
1,True,4,4,453540,47.61186259581745,2621746,-122.33878166789837,5,195,156,Entire home/apt,4.5
2,False,5,4,1691632,47.67545173021141,6676926,-122.30141956593464,5,155,71,Entire home/apt,5.0
1,True,6,4,14012754,47.6545411736103,12473960,-122.35548949450899,5,145,12,Entire home/apt,5.0
2,False,7,4,5790470,47.59245764250219,11907396,-122.39091898368781,5,149,18,Entire home/apt,4.5
3,False,8,4,3480688,47.60864789605203,9828205,-122.30575788647398,5,195,25,Entire home/apt,5.0
2,False,9,4,25616243,47.67630935891897,4968752,-122.32618136391967,5,103,80,Entire home/apt,5.0
2,False,10,4,48499062,47.53243793397175,13960559,-122.38332611008607,5,160,9,Entire home/apt,5.0
1,True,11,4,40335071,47.63936210298089,8925878,-122.37240255654483,5,249,25,Entire home/apt,5.0
2,False,12,4,74305,47.61598891499045,11226739,-122.34632799421475,5,175,7,Entire home/apt,4.0
0,True,13,4,35961304,47.61554503148651,8027776,-122.34044270018019,5,145,94,Entire home/apt,5.0
1,True,14,4,2612779,47.62060974901337,1321090,-122.35626606423557,5,165,218,Entire home/apt,5.0
2,True,15,4,50586425,47.6764701385461,9820818,-122.26818273750983,5,102,41,Entire home/apt,5.0
2,True,16,4,658155,47.59379732048903,281208,-122.30514883618577,5,180,53,Entire home/apt,5.0
1,False,17,4,391714,47.607274980640824,397117,-122.33156445150713,5,157,334,Entire home/apt,5.0
2,True,18,4,658155,47.61045614213458,13452009,-122.31377143027763,5,250,6,Entire home/apt,5.0
2,False,1,4,43681106,47.64688299216495,14668316,-122.38304173172786,6,54,0,Entire home/apt,0.0
2,False,2,4,63808108,47.59998977434937,14715814,-122.3192012780381,6,158,0,Entire home/apt,0.0
0,True,3,4,35961304,47.617883056053756,8956628,-122.34552200962833,6,120,61,Entire home/apt,4.5
2,True,4,4,1262470,47.64238208473374,6404427,-122.37207284613996,6,299,56,Entire home/apt,5.0
1,False,5,4,17986403,47.60810282021911,6795678,-122.29706112950724,6,119,71,Entire home/apt,5.0
1,False,6,4,5934694,47.52553001428419,5852034,-122.3577343324363,6,105,109,Entire home/apt,5.0
3,False,7,4,2957846,47.67815411573712,14302656,-122.38162728584,6,150,1,Entire home/apt,0.0
2,False,8,4,541036,47.64005543962841,14407202,-122.30880872786277,6,164,1,Entire home/apt,0.0
2,False,9,4,4335914,47.62086249765871,7439802,-122.33896607982014,6,550,21,Entire home/apt,5.0
1,False,10,4,25138851,47.673357775952795,8536441,-122.32732533007767,6,85,24,Entire home/apt,5.0
2,True,11,4,15427558,47.52852708032181,14204835,-122.3741317822741,6,115,9,Entire home/apt,5.0
1,True,12,4,2612779,47.621281453446144,1071843,-122.35675215495829,6,145,186,Entire home/apt,5.0
1,True,13,4,11039803,47.62766752090634,9522082,-122.34961677115957,6,159,15,Entire home/apt,5.0
1,False,14,4,20783903,47.61320676781894,4607830,-122.3220072811501,6,207,95,Entire home/apt,4.5
1,False,15,4,31669424,47.686169731685396,6474341,-122.37724756911916,6,179,24,Entire home/apt,5.0
2,False,16,4,24526173,47.61168312260929,4752817,-122.32873782791197,6,229,98,Entire home/apt,4.5
1,False,17,4,16756919,47.66396766058472,5744931,-122.30651847741079,6,81,18,Entire home/apt,4.5
2,False,18,4,91030971,47.6965382187701,14656265,-122.33789972055666,6,125,0,Entire home/apt,0.0
2,False,1,4,53061761,47.694910623369836,12761753,-122.31610910394673,7,99,16,Entire home/apt,5.0
0,True,2,4,35961304,47.615841624514466,10400763,-122.34072247984834,7,129,69,Entire home/apt,4.5
2,True,3,4,316200,47.64016060331191,13606919,-122.3240112771929,7,199,8,Entire home/apt,5.0
1,True,4,4,9058822,47.61096539961981,4137114,-122.32907247302464,7,172,86,Entire home/apt,4.5
1,False,5,4,5934694,47.52553001428419,5852034,-122.3577343324363,7,105,109,Entire home/apt,5.0
2,True,6,4,14980831,47.61136873936966,3624990,-122.328852549505,7,175,38,Entire home/apt,4.5
1,False,7,4,4874276,47.614836477740184,10292753,-122.34683375318461,7,155,23,Entire home/apt,4.5
1,True,8,4,70227750,47.62782698102199,12853295,-122.35795315013934,7,140,5,Entire home/apt,5.0
3,True,9,4,13784525,47.635846234051286,12972518,-122.3402956876414,7,281,15,Entire home/apt,5.0
1,True,10,4,2612779,47.62060974901337,1321090,-122.35626606423557,7,145,218,Entire home/apt,5.0
1,False,11,4,32631462,47.56822230412272,10332360,-122.38625570783576,7,109,44,Entire home/apt,5.0
2,False,12,4,24916371,47.61602024189273,6689259,-122.31404921274489,7,95,45,Entire home/apt,5.0
0,True,13,4,9010826,47.68004932577747,13733344,-122.34877355750062,7,125,12,Entire home/apt,5.0
2,False,14,4,33664430,47.65793474952211,13175944,-122.3625161399293,7,195,11,Entire home/apt,5.0
1,True,15,4,11039803,47.62766752090634,9522082,-122.34961677115957,7,159,15,Entire home/apt,5.0
1,False,16,4,129014,47.670532383123266,4138423,-122.3653184658712,7,140,79,Entire home/apt,4.5
3,False,17,4,19779189,47.60393133796265,5277900,-122.29451687656584,7,199,13,Entire home/apt,5.0
1,True,18,4,658155,47.61033262319912,13451764,-122.31381873700946,7,220,8,Entire home/apt,5.0
2,True,1,4,3792761,47.62983052497401,12917773,-122.36832523033667,8,285,6,Entire home/apt,5.0
2,True,2,4,2593671,47.683998903166255,6445769,-122.363589479076,8,160,61,Entire home/apt,4.5
2,False,3,4,24526173,47.61168312260929,4752817,-122.32873782791197,8,229,98,Entire home/apt,4.5
3,False,4,4,18791339,47.597591903158666,3691288,-122.29875247670658,8,163,44,Entire home/apt,5.0
2,False,5,4,28345344,47.68566012028713,12434496,-122.31458570849931,8,161,6,Entire home/apt,5.0
2,True,6,4,24485668,47.67153511788777,9883227,-122.32618663749653,8,130,24,Entire home/apt,5.0
2,True,7,4,316200,47.63884578244905,12918045,-122.32378583722128,8,125,10,Entire home/apt,5.0
2,False,8,4,2379173,47.733054154520765,13913679,-122.34374554054993,8,140,2,Entire home/apt,0.0
2,True,9,4,316200,47.6396350754695,1494828,-122.3244523916632,8,140,110,Entire home/apt,5.0
1,True,10,4,51770966,47.6196967545068,10089466,-122.32560140716433,8,140,10,Entire home/apt,4.5
1,True,11,4,76826485,47.61800514259628,14198083,-122.31607479132991,8,189,2,Entire home/apt,0.0
