availability,date,listing_id,rate
False,2016-07-31,13765120,195.0
False,2016-08-01,13765120,195.0
False,2016-08-02,13765120,195.0
False,2016-08-03,13765120,195.0
False,2016-08-04,13765120,195.0
False,2016-08-05,13765120,195.0
False,2016-08-06,13765120,195.0
False,2016-08-07,13765120,195.0
False,2016-08-08,13765120,195.0
False,2016-08-09,13765120,195.0
False,2016-08-10,13765120,195.0
False,2016-08-11,13765120,195.0
False,2016-08-12,13765120,195.0
False,2016-08-13,13765120,195.0
False,2016-08-14,13765120,195.0
False,2016-08-15,13765120,195.0
False,2016-08-16,13765120,195.0
False,2016-08-17,13765120,195.0
False,2016-08-18,13765120,195.0
False,2016-08-19,13765120,195.0
False,2016-08-20,13765120,195.0
False,2016-08-21,13765120,195.0
False,2016-08-22,13765120,195.0
False,2016-08-23,13765120,195.0
False,2016-08-24,13765120,195.0
False,2016-08-25,13765120,195.0
False,2016-08-26,13765120,195.0
False,2016-08-27,13765120,195.0
False,2016-08-28,13765120,195.0
False,2016-08-29,13765120,195.0
False,2016-08-30,13765120,195.0
False,2016-08-31,13765120,195.0
False,2016-09-01,13765120,195.0
False,2016-09-02,13765120,225.0
False,2016-09-03,13765120,225.0
False,2016-09-04,13765120,250.0
False,2016-09-05,13765120,195.0
False,2016-09-06,13765120,195.0
False,2016-09-07,13765120,195.0
True,2016-09-08,13765120,195.0
True,2016-09-09,13765120,195.0
True,2016-09-10,13765120,195.0
True,2016-09-11,13765120,195.0
False,2016-09-12,13765120,195.0
False,2016-09-13,13765120,195.0
False,2016-09-14,13765120,195.0
False,2016-09-15,13765120,195.0
True,2016-09-16,13765120,195.0
True,2016-09-17,13765120,195.0
True,2016-09-18,13765120,195.0
False,2016-09-19,13765120,195.0
False,2016-09-20,13765120,195.0
False,2016-09-21,13765120,195.0
False,2016-09-22,13765120,195.0
True,2016-09-23,13765120,195.0
True,2016-09-24,13765120,195.0
True,2016-09-25,13765120,195.0
False,2016-09-26,13765120,195.0
False,2016-09-27,13765120,195.0
False,2016-09-28,13765120,195.0
False,2016-09-29,13765120,195.0
False,2016-09-30,13765120,195.0
False,2016-10-01,13765120,195.0
False,2016-10-02,13765120,195.0
False,2016-10-03,13765120,195.0
False,2016-10-04,13765120,195.0
False,2016-10-05,13765120,195.0
False,2016-10-06,13765120,195.0
False,2016-10-07,13765120,195.0
False,2016-10-08,13765120,195.0
False,2016-10-09,13765120,195.0
False,2016-10-10,13765120,195.0
False,2016-10-11,13765120,195.0
False,2016-10-12,13765120,195.0
False,2016-10-13,13765120,195.0
False,2016-10-14,13765120,195.0
False,2016-10-15,13765120,195.0
False,2016-10-16,13765120,195.0
False,2016-10-17,13765120,195.0
False,2016-10-18,13765120,195.0
False,2016-10-19,13765120,195.0
False,2016-10-20,13765120,195.0
False,2016-10-21,13765120,195.0
False,2016-10-22,13765120,195.0
False,2016-10-23,13765120,195.0
False,2016-10-24,13765120,195.0
False,2016-10-25,13765120,195.0
False,2016-10-26,13765120,195.0
False,2016-10-27,13765120,195.0
False,2016-10-28,13765120,195.0
False,2016-10-29,13765120,195.0
False,2016-10-30,13765120,195.0
False,2016-10-31,13765120,195.0
False,2016-11-01,13765120,195.0
False,2016-11-02,13765120,195.0
False,2016-11-03,13765120,195.0
False,2016-11-04,13765120,195.0
False,2016-11-05,13765120,195.0
True,2016-07-31,8327083,550.0
True,2016-08-01,8327083,550.0
True,2016-08-02,8327083,550.0
True,2016-08-03,8327083,550.0
True,2016-08-04,8327083,550.0
True,2016-08-05,8327083,550.0
True,2016-08-06,8327083,550.0
True,2016-08-07,8327083,550.0
True,2016-08-08,8327083,550.0
True,2016-08-09,8327083,550.0
True,2016-08-10,8327083,550.0
True,2016-08-11,8327083,550.0
True,2016-08-12,8327083,550.0
False,2016-08-13,8327083,450.0
False,2016-08-14,8327083,450.0
False,2016-08-15,8327083,450.0
True,2016-08-16,8327083,550.0
True,2016-08-17,8327083,550.0
True,2016-08-18,8327083,550.0
True,2016-08-19,8327083,550.0
True,2016-08-20,8327083,550.0
True,2016-08-21,8327083,550.0
True,2016-08-22,8327083,550.0
True,2016-08-23,8327083,550.0
False,2016-08-24,8327083,550.0
False,2016-08-25,8327083,550.0
False,2016-08-26,8327083,550.0
False,2016-08-27,8327083,550.0
False,2016-08-28,8327083,550.0
False,2016-08-29,8327083,550.0
False,2016-08-30,8327083,450.0
False,2016-08-31,8327083,450.0
True,2016-09-01,8327083,315.0
False,2016-09-02,8327083,550.0
False,2016-09-03,8327083,550.0
False,2016-09-04,8327083,550.0
False,2016-09-05,8327083,550.0
True,2016-09-06,8327083,315.0
True,2016-09-07,8327083,315.0
True,2016-09-08,8327083,315.0
True,2016-09-09,8327083,315.0
True,2016-09-10,8327083,315.0
True,2016-09-11,8327083,315.0
True,2016-09-12,8327083,315.0
True,2016-09-13,8327083,315.0
True,2016-09-14,8327083,315.0
False,2016-09-15,8327083,315.0
False,2016-09-16,8327083,315.0
False,2016-09-17,8327083,315.0
False,2016-09-18,8327083,315.0
False,2016-09-19,8327083,315.0
False,2016-09-20,8327083,315.0
False,2016-09-21,8327083,315.0
