bedrooms,can_instant_book,counter,guests,host_id,latitude,listing_id,longitude,page,rate,reviews_count,room_type,star_rating
2,False,1,4,62938286,41.6062507100225,13466040,-83.59606739105482,1,47,11,Entire home/apt,4.5
2,False,2,4,6912330,41.66773137846932,1270015,-83.701638945519,1,159,19,Entire home/apt,4.5
3,False,3,4,43250120,41.729807803190674,9181323,-83.46546483287338,1,80,28,Entire home/apt,4.5
3,False,4,4,34232316,41.673123151807005,6893140,-83.56014014213245,1,110,27,Entire home/apt,5.0
2,False,5,4,30873177,41.68945915413444,5953550,-83.57862196711486,1,70,59,Entire home/apt,5.0
3,True,6,4,25372123,41.721828625688914,13494244,-83.46630483992394,1,95,8,Entire home/apt,4.5
2,False,7,4,44587158,41.66764264932022,8560942,-83.55835960091078,1,110,23,Entire home/apt,5.0
2,False,8,4,3032727,41.60207047040171,13685841,-83.61829887599058,1,70,7,Entire home/apt,4.5
2,False,9,4,86606957,41.65834864729842,14238946,-83.70550432993808,1,175,0,Entire home/apt,0.0
3,False,10,4,62938286,41.60531484088617,12992581,-83.5947076808899,1,39,22,Entire home/apt,5.0
4,True,11,4,14846737,41.664226898858196,2906151,-83.66104612875101,1,123,41,Entire home/apt,4.5
3,False,12,4,76042037,41.655519004422715,13379808,-83.59328999796217,1,135,1,Entire home/apt,0.0
2,False,13,4,418001,41.69767717918459,7515199,-83.56549307735902,1,80,4,Entire home/apt,5.0
2,False,14,4,418001,41.69585454272202,11426567,-83.56439719261357,1,60,2,Entire home/apt,0.0
2,False,15,4,418001,41.69145921659125,609472,-83.56467714477424,1,60,180,Entire home/apt,5.0
1,False,16,4,418001,41.68823784294066,5456562,-83.5895674932478,1,50,13,Entire home/apt,5.0
2,False,17,4,51999585,41.644555769087084,10132520,-83.53878711942569,1,98,0,Entire home/apt,0.0
5,False,18,4,69424845,41.54899810511636,12761728,-83.62136195194212,1,105,10,Entire home/apt,4.5
3,False,1,4,816201,41.55805806630655,1597880,-83.62848748980254,2,195,74,Entire home/apt,5.0
2,False,2,4,3828661,41.519588204552335,734405,-83.70842876400619,2,225,16,Entire home/apt,5.0
1,False,3,4,7375727,41.58751151931011,4571631,-83.65765850303205,2,95,17,Entire home/apt,4.5
5,True,4,4,14846737,41.58406622874853,13562282,-83.73258060819754,2,197,0,Entire home/apt,0.0
3,False,5,4,85304195,41.591854327830355,14136068,-83.70073040032884,2,100,0,Entire home/apt,0.0
2,True,6,4,81660117,41.47106341260832,13839902,-83.75376760831963,2,125,7,Entire home/apt,4.5
1,False,7,4,59779425,41.608925057154686,11393903,-83.10036527866704,2,107,3,Entire home/apt,4.5
0,False,8,4,38399372,41.47472754114654,7329986,-83.2958879059757,2,100,35,Entire home/apt,5.0
1,True,9,4,67041915,41.60986903724361,12398933,-83.1019519269819,2,105,5,Entire home/apt,5.0
1,False,10,4,7054913,41.609213191915565,7670950,-83.10078814002564,2,100,4,Entire home/apt,4.5
1,False,11,4,12301213,41.607933344185184,2406562,-83.10291279192361,2,110,20,Entire home/apt,4.5
5,False,12,4,26631590,41.68631047532217,5151516,-83.9060004129983,2,225,19,Entire home/apt,5.0
3,False,13,4,9563806,41.44355949052784,1897937,-83.7883466143476,2,222,88,Entire home/apt,5.0
2,False,14,4,39639535,41.863495605511844,7561620,-83.39076351709853,2,250,0,Entire home/apt,0.0
4,True,15,4,35519636,41.9384686530942,6784552,-83.26563781862077,2,199,1,Entire home/apt,0.0
3,False,16,4,32580192,41.545928223148415,6269310,-83.7236626554002,2,120,24,Entire home/apt,5.0
3,False,17,4,56700259,41.74030362935489,11020449,-83.67610949049282,2,250,0,Entire home/apt,0.0
2,False,18,4,43707477,41.93562528171253,8289622,-83.26565089858157,2,289,1,Entire home/apt,0.0
