bedrooms,can_instant_book,counter,guests,host_id,latitude,listing_id,longitude,page,rate,reviews_count,room_type,star_rating
1,True,1,4,55649058,41.06908061800726,11751652,-80.68038701178409,1,85,19,Entire home/apt,4.5
2,False,2,4,77250208,41.10002429816999,13889835,-80.6490676362788,1,90,1,Entire home/apt,0.0
2,False,3,4,55649058,41.069998566147554,13896329,-80.67993591443899,1,100,2,Entire home/apt,0.0
3,False,4,4,7138650,41.13627068580876,14003562,-80.64885461583653,1,398,0,Entire home/apt,0.0
3,False,5,4,8764718,41.06646668478333,6726340,-80.68180730150455,1,90,3,Entire home/apt,5.0
3,True,6,4,87475971,41.067345807006255,14311255,-80.30827568200174,1,175,0,Entire home/apt,0.0
3,False,7,4,48691562,41.10288329920875,9386131,-80.27278670739423,1,110,25,Entire home/apt,5.0
3,False,8,4,22523945,41.16319295177939,10980628,-80.559417270257,1,133,19,Entire home/apt,5.0
2,False,9,4,63190110,40.79745640714281,11855270,-80.88332409761007,1,165,0,Entire home/apt,0.0
4,True,10,4,75047810,41.18562444754932,13295618,-80.57750624154461,1,250,2,Entire home/apt,0.0
1,False,11,4,89348084,41.15542769193426,14484339,-80.46703137734637,1,400,0,Entire home/apt,0.0
3,True,12,4,74617613,41.00720496992605,13258498,-81.04376182528607,1,2500,0,Entire home/apt,0.0
3,False,13,4,47266825,41.06080912345731,9061217,-80.9234901261992,1,280,0,Entire home/apt,0.0
1,True,14,4,9858935,40.90165916517218,1897913,-80.85544928080014,1,150,32,Entire home/apt,5.0
2,False,15,4,50526220,40.866784132126014,9807072,-80.33278985944376,1,125,0,Entire home/apt,0.0
1,False,16,4,16174820,40.901462096142254,13772728,-80.83833604508419,1,109,0,Entire home/apt,0.0
3,False,17,4,9472765,41.10835985344533,5280369,-80.97268252292528,1,275,0,Entire home/apt,0.0
2,False,18,4,73244793,40.99505876326169,13140769,-81.01728006800558,1,175,0,Entire home/apt,0.0
3,False,1,4,9472765,41.10899039216486,3235409,-80.97289744664201,2,275,1,Entire home/apt,0.0
