"Date","Value"
2016-05-31,327200
2016-03-31,333300
2016-02-29,340500
2016-01-31,337000
2015-12-31,336200
2015-11-30,333000
2015-10-31,332600
2015-09-30,333800
2015-08-31,329900
2015-07-31,329100
2015-06-30,330100
2015-05-31,331600
2015-04-30,331500
2015-03-31,336000
2015-02-28,330500
2015-01-31,331100
2014-12-31,330400
2014-11-30,329700
2014-10-31,328800
2014-09-30,327700
2014-08-31,326800
2014-07-31,327200
2014-06-30,327800
2014-05-31,327200
2014-04-30,323300
2014-03-31,319400
2014-02-28,318400
2014-01-31,319000
2013-12-31,318600
2013-11-30,317500
2013-10-31,316500
2013-09-30,316400
2013-08-31,316800
2013-07-31,316600
2013-06-30,316900
2013-05-31,318700
2013-04-30,320800
2013-03-31,321800
2013-02-28,322300
2013-01-31,322500
2012-12-31,322000
2012-11-30,321000
2012-10-31,319700
2012-09-30,318700
2012-08-31,318100
2012-07-31,318000
2012-06-30,317900
2012-05-31,318100
2012-04-30,319000
2012-03-31,320500
2012-02-29,321800
2012-01-31,322900
2011-12-31,324100
2011-11-30,325500
2011-10-31,327300
2011-09-30,329900
2011-08-31,331800
2011-07-31,333500
2011-06-30,335300
2011-05-31,336600
2011-04-30,337300
2011-03-31,337300
2011-02-28,337300
2011-01-31,338100
2010-12-31,339200
2010-11-30,340800
2010-10-31,342500
2010-09-30,343000
2010-08-31,343100
2010-07-31,344000
2010-06-30,345100
2010-05-31,345700
2010-04-30,346500
2010-03-31,346500
2010-02-28,346400
2010-01-31,344500
2009-12-31,341900
2009-11-30,340600
2009-10-31,341600
2009-09-30,342200
2009-08-31,342400
2009-07-31,342300
2009-06-30,342300
2009-05-31,343000
2009-04-30,344900
2009-03-31,347200
2009-02-28,348900
2009-01-31,349900
2008-12-31,352700
2008-11-30,356600
2008-10-31,359300
2008-09-30,361000
2008-08-31,363700
2008-07-31,365700
2008-06-30,367000
2008-05-31,367800
2008-04-30,368700
2008-03-31,370600
2008-02-29,373300
2008-01-31,375500
2007-12-31,376100
2007-11-30,376200
2007-10-31,377100
2007-09-30,379300
2007-08-31,381500
2007-07-31,384000
2007-06-30,386200
2007-05-31,388600
2007-04-30,390800
2007-03-31,393100
2007-02-28,395000
2007-01-31,398900
2006-12-31,404900
2006-11-30,409300
2006-10-31,410600
2006-09-30,411900
2006-08-31,412800
2006-07-31,413400
2006-06-30,414200
2006-05-31,415800
2006-04-30,418300
2006-03-31,420700
2006-02-28,421000
2006-01-31,420300
2005-12-31,419500
2005-11-30,418200
2005-10-31,416000
2005-09-30,413400
2005-08-31,410500
2005-07-31,406700
2005-06-30,402500
2005-05-31,397900
2005-04-30,392700
2005-03-31,387800
2005-02-28,383800
2005-01-31,379600
2004-12-31,374700
2004-11-30,369300
2004-10-31,364000
2004-09-30,358700
2004-08-31,353800
2004-07-31,349200
2004-06-30,344400
2004-05-31,338400
2004-04-30,332500
2004-03-31,328300
2004-02-29,324900
2004-01-31,321200
2003-12-31,317200
2003-11-30,313600
2003-10-31,309800
2003-09-30,305200
2003-08-31,299700
2003-07-31,294000
2003-06-30,289400
2003-05-31,286000
2003-04-30,282000
2003-03-31,275900
2003-02-28,269800
2003-01-31,264600
2002-12-31,258700
2002-11-30,251700
2002-10-31,245400
2002-09-30,240900
2002-08-31,237100
2002-07-31,233000
2002-06-30,228200
2002-05-31,223700
2002-04-30,218600
2002-03-31,213000
2002-02-28,207400
2002-01-31,202400
2001-12-31,198000
2001-11-30,194700
2001-10-31,192700
2001-09-30,190800
2001-08-31,188800
2001-07-31,186900
2001-06-30,184900
2001-05-31,182800
2001-04-30,181100
2001-03-31,179400
2001-02-28,177600
2001-01-31,175800
2000-12-31,173800
2000-11-30,171800
2000-10-31,170200
2000-09-30,168200
2000-08-31,165800
2000-07-31,163500
2000-06-30,161500
2000-05-31,159600
2000-04-30,157800
2000-03-31,156700
2000-02-29,155300
2000-01-31,153800
1999-12-31,153100
1999-11-30,153000
1999-10-31,151900
1999-09-30,150300
1999-08-31,148900
1999-07-31,148300
1999-06-30,147400
1999-05-31,145700
1999-04-30,143800
1999-03-31,143200
1999-02-28,142800
1999-01-31,141600
1998-12-31,139900
1998-11-30,138300
1998-10-31,136400
1998-09-30,135100
1998-08-31,134300
1998-07-31,133700
1998-06-30,133100
1998-05-31,132100
1998-04-30,130600
1998-03-31,128700
1998-02-28,126800
1998-01-31,125200
1997-12-31,124200
1997-11-30,123700
1997-10-31,123500
1997-09-30,123400
1997-08-31,123400
1997-07-31,123200
1997-06-30,123400
1997-05-31,124100
1997-04-30,124900
1997-03-31,125400
1997-02-28,125600
1997-01-31,125400
1996-12-31,125000
1996-11-30,125000
1996-10-31,125300
1996-09-30,125200
1996-08-31,124700
1996-07-31,123700
1996-06-30,122700
1996-05-31,122600
1996-04-30,123300
