"Date","Value"
2016-06-30,990100
2016-05-31,987800
2016-04-30,1004400
2016-03-31,1001500
2016-02-29,984700
2016-01-31,983900
2015-12-31,974200
2015-11-30,959300
2015-10-31,943400
2015-09-30,924200
2015-08-31,915000
2015-07-31,908000
2015-06-30,894600
2015-05-31,883200
2015-04-30,871600
2015-03-31,853600
2015-02-28,832100
2015-01-31,814400
2014-12-31,811400
2014-11-30,807200
2014-10-31,803100
2014-09-30,797900
2014-08-31,792200
2014-07-31,788300
2014-06-30,784900
2014-05-31,779900
2014-04-30,777400
2014-03-31,776800
2014-02-28,774200
2014-01-31,769400
2013-12-31,764800
2013-11-30,762500
2013-10-31,761600
2013-09-30,759700
2013-08-31,756900
2013-07-31,751800
2013-06-30,741300
2013-05-31,727000
2013-04-30,713600
2013-03-31,701300
2013-02-28,690400
2013-01-31,679900
2012-12-31,670300
2012-11-30,660400
2012-10-31,650000
2012-09-30,641200
2012-08-31,635200
2012-07-31,629300
2012-06-30,622700
2012-05-31,616600
2012-04-30,610500
2012-03-31,605200
2012-02-29,601400
2012-01-31,598900
2011-12-31,598000
2011-11-30,598200
2011-10-31,599000
2011-09-30,598800
2011-08-31,596800
2011-07-31,595700
2011-06-30,598300
2011-05-31,602900
2011-04-30,606700
2011-03-31,609900
2011-02-28,612900
2011-01-31,615700
2010-12-31,617600
2010-11-30,617700
2010-10-31,616000
2010-09-30,615300
2010-08-31,614700
2010-07-31,612300
2010-06-30,609500
2010-05-31,607800
2010-04-30,605200
2010-03-31,601700
2010-02-28,599400
2010-01-31,599300
2009-12-31,598900
2009-11-30,596300
2009-10-31,591900
2009-09-30,588300
2009-08-31,586500
2009-07-31,588400
2009-06-30,592700
2009-05-31,595100
2009-04-30,595900
2009-03-31,599200
2009-02-28,604600
2009-01-31,607000
2008-12-31,608200
2008-11-30,612400
2008-10-31,618800
2008-09-30,624800
2008-08-31,631100
2008-07-31,634100
2008-06-30,635900
2008-05-31,640800
2008-04-30,649100
2008-03-31,657100
2008-02-29,664000
2008-01-31,670300
2007-12-31,676100
2007-11-30,680500
2007-10-31,684500
2007-09-30,688000
2007-08-31,690700
2007-07-31,693500
2007-06-30,695300
2007-05-31,695600
2007-04-30,695700
2007-03-31,694100
2007-02-28,688500
2007-01-31,684000
2006-12-31,683600
2006-11-30,686400
2006-10-31,689800
2006-09-30,694000
2006-08-31,697400
2006-07-31,700600
2006-06-30,705400
2006-05-31,711300
2006-04-30,716000
2006-03-31,719400
2006-02-28,721700
2006-01-31,723100
2005-12-31,723800
2005-11-30,723000
2005-10-31,720500
2005-09-30,716900
2005-08-31,713200
2005-07-31,708200
2005-06-30,701300
2005-05-31,692000
2005-04-30,681300
2005-03-31,668500
2005-02-28,655100
2005-01-31,641800
2004-12-31,628400
2004-11-30,616600
2004-10-31,606500
2004-09-30,596300
2004-08-31,584800
2004-07-31,573500
2004-06-30,562000
2004-05-31,550600
2004-04-30,540900
2004-03-31,533700
2004-02-29,528100
2004-01-31,522500
2003-12-31,516300
2003-11-30,509600
2003-10-31,503400
2003-09-30,498500
2003-08-31,495200
2003-07-31,493800
2003-06-30,494200
2003-05-31,495700
2003-04-30,497300
2003-03-31,498300
2003-02-28,498300
2003-01-31,497400
2002-12-31,495000
2002-11-30,490800
2002-10-31,485900
2002-09-30,482100
2002-08-31,478400
2002-07-31,473000
2002-06-30,465500
2002-05-31,457200
2002-04-30,449900
2002-03-31,447000
2002-02-28,448700
2002-01-31,452500
2001-12-31,457000
2001-11-30,463500
2001-10-31,469700
2001-09-30,473600
2001-08-31,476900
2001-07-31,481900
2001-06-30,487900
2001-05-31,492200
2001-04-30,493300
2001-03-31,490600
2001-02-28,485100
2001-01-31,478800
2000-12-31,471800
2000-11-30,463200
2000-10-31,453300
2000-09-30,443800
2000-08-31,434700
2000-07-31,424300
2000-06-30,413000
2000-05-31,401600
2000-04-30,390400
2000-03-31,379200
2000-02-29,368800
2000-01-31,359400
1999-12-31,351700
1999-11-30,345300
1999-10-31,339600
1999-09-30,334000
1999-08-31,327900
1999-07-31,321900
1999-06-30,316900
1999-05-31,314200
1999-04-30,313300
1999-03-31,313300
1999-02-28,312300
1999-01-31,310400
1998-12-31,308400
1998-11-30,306900
1998-10-31,305400
1998-09-30,303900
1998-08-31,302100
1998-07-31,3e+05
1998-06-30,297600
1998-05-31,294800
1998-04-30,291800
1998-03-31,288300
1998-02-28,283600
1998-01-31,277700
1997-12-31,271800
1997-11-30,266400
1997-10-31,261200
1997-09-30,256300
1997-08-31,252100
1997-07-31,248700
1997-06-30,246700
1997-05-31,245100
1997-04-30,243600
1997-03-31,242200
1997-02-28,240400
1997-01-31,238000
1996-12-31,236100
1996-11-30,234700
1996-10-31,233500
1996-09-30,232800
1996-08-31,232100
1996-07-31,231200
1996-06-30,230400
1996-05-31,229600
1996-04-30,228400
