"Date","Value"
2016-06-30,157400
2016-05-31,156600
2016-04-30,156000
2016-03-31,154900
2016-02-29,153800
2016-01-31,153100
2015-12-31,152300
2015-11-30,151700
2015-10-31,151100
2015-09-30,150600
2015-08-31,150500
2015-07-31,146500
2015-06-30,145300
2015-05-31,144100
2015-04-30,142600
2015-03-31,141900
2015-02-28,141000
2015-01-31,139800
2014-12-31,138700
2014-11-30,137400
2014-10-31,136700
2014-09-30,136100
2014-08-31,135500
2014-07-31,135300
2014-06-30,135700
2014-05-31,136400
2014-04-30,136700
2014-03-31,135000
2014-02-28,132400
2014-01-31,130400
2013-12-31,129300
2013-11-30,128600
2013-10-31,129000
2013-09-30,128700
2013-08-31,127500
2013-07-31,126500
2013-06-30,126000
2013-05-31,125300
2013-04-30,124400
2013-03-31,123200
2013-02-28,122400
2013-01-31,121400
2012-12-31,120600
2012-11-30,120300
2012-10-31,120100
2012-09-30,119400
2012-08-31,119100
2012-07-31,119100
2012-06-30,118600
2012-05-31,117900
2012-04-30,117900
2012-03-31,118300
2012-02-29,118500
2012-01-31,119300
2011-12-31,119700
2011-11-30,119800
2011-10-31,120000
2011-09-30,120700
2011-08-31,121300
2011-07-31,121700
2011-06-30,121900
2011-05-31,121900
2011-04-30,121600
2011-03-31,121600
2011-02-28,122300
2011-01-31,122400
2010-12-31,122100
2010-11-30,122400
2010-10-31,123100
2010-09-30,123800
2010-08-31,124500
2010-07-31,124600
2010-06-30,124300
2010-05-31,124500
2010-04-30,125200
2010-03-31,125800
2010-02-28,125200
2010-01-31,126600
2009-12-31,130200
2009-11-30,132700
2009-10-31,132800
2009-09-30,133100
2009-08-31,133100
2009-07-31,132900
2009-06-30,133100
2009-05-31,132900
2009-04-30,132600
2009-03-31,132500
2009-02-28,132400
2009-01-31,131600
2008-12-31,130500
2008-11-30,130000
2008-10-31,130100
2008-09-30,129900
2008-08-31,129600
2008-07-31,128700
2008-06-30,129100
2008-05-31,130400
2008-04-30,132100
2008-03-31,133300
2008-02-29,135200
2008-01-31,136400
2007-12-31,135900
2007-11-30,135300
2007-10-31,136000
2007-09-30,136600
2007-08-31,136000
2007-07-31,135700
2007-06-30,135600
2007-05-31,135000
2007-04-30,133000
2007-03-31,132100
2007-02-28,133700
2007-01-31,134500
2006-12-31,133200
2006-11-30,132100
2006-10-31,130100
2006-09-30,128800
2006-08-31,128900
2006-07-31,129200
2006-06-30,127800
2006-05-31,127400
2006-04-30,128200
2006-03-31,128400
2006-02-28,126100
2006-01-31,125000
2005-12-31,125500
2005-11-30,125100
2005-10-31,123100
2005-09-30,121800
2005-08-31,121600
2005-07-31,122800
2005-06-30,124400
2005-05-31,124600
2005-04-30,123800
2005-03-31,122900
2005-02-28,122600
2005-01-31,122400
2004-12-31,121500
2004-11-30,120900
2004-10-31,120900
2004-09-30,120500
2004-08-31,119800
2004-07-31,119200
2004-06-30,118300
2004-05-31,117200
2004-04-30,116100
2004-03-31,114400
2004-02-29,111900
2004-01-31,109000
2003-12-31,107700
2003-11-30,107300
2003-10-31,108100
2003-09-30,109100
2003-08-31,109400
2003-07-31,108200
2003-06-30,107000
2003-05-31,105800
2003-04-30,105100
2003-03-31,104800
2003-02-28,104900
2003-01-31,104500
2002-12-31,104700
2002-11-30,105400
2002-10-31,105000
2002-09-30,103000
2002-08-31,101500
2002-07-31,101000
2002-06-30,100700
2002-05-31,100400
2002-04-30,100200
2002-03-31,100100
2002-02-28,99900
2002-01-31,1e+05
2001-12-31,99700
2001-11-30,99100
2001-10-31,99000
2001-09-30,99900
2001-08-31,99800
2001-07-31,98600
2001-06-30,97600
2001-05-31,97100
2001-04-30,96800
2001-03-31,96500
2001-02-28,96500
2001-01-31,96400
2000-12-31,96300
2000-11-30,96200
2000-10-31,95700
2000-09-30,95000
2000-08-31,94400
2000-07-31,94200
2000-06-30,94300
2000-05-31,94400
2000-04-30,94100
2000-03-31,93700
2000-02-29,93800
2000-01-31,93700
1999-12-31,93400
1999-11-30,93200
1999-10-31,92700
1999-09-30,92000
1999-08-31,91500
1999-07-31,91200
1999-06-30,90700
1999-05-31,90000
1999-04-30,89200
1999-03-31,88500
1999-02-28,88000
1999-01-31,87400
1998-12-31,86900
1998-11-30,86800
1998-10-31,86500
1998-09-30,85800
1998-08-31,85300
1998-07-31,85300
1998-06-30,85200
1998-05-31,85100
1998-04-30,85100
1998-03-31,85100
1998-02-28,84800
1998-01-31,84000
1997-12-31,83400
1997-11-30,83700
1997-10-31,83700
1997-09-30,83100
1997-08-31,82500
1997-07-31,82200
1997-06-30,81900
1997-05-31,81500
1997-04-30,81200
1997-03-31,80900
1997-02-28,80500
