"Date","Value"
1996-04-01,331900
1996-05-01,330700
1996-06-01,330200
1996-07-01,330800
1996-08-01,331000
1996-09-01,330800
1996-10-01,331300
1996-11-01,331200
1996-12-01,330600
1997-01-01,330500
1997-02-01,332800
1997-03-01,336100
1997-04-01,340500
1997-05-01,345700
1997-06-01,353300
1997-07-01,362000
1997-08-01,372600
1997-09-01,380700
1997-10-01,386900
1997-11-01,395500
1997-12-01,401600
1998-01-01,400800
1998-02-01,396900
1998-03-01,395000
1998-04-01,392200
1998-05-01,387800
1998-06-01,382700
1998-07-01,382600
1998-08-01,387700
1998-09-01,395300
1998-10-01,399600
1998-11-01,399400
1998-12-01,398800
1999-01-01,401800
1999-02-01,407200
1999-03-01,412100
1999-04-01,415800
1999-05-01,419300
1999-06-01,425300
1999-07-01,434500
1999-08-01,445300
1999-09-01,462900
1999-10-01,490300
1999-11-01,518100
1999-12-01,539600
2000-01-01,556800
2000-02-01,571800
2000-03-01,586200
2000-04-01,598900
2000-05-01,611100
2000-06-01,625200
2000-07-01,633900
2000-08-01,635800
2000-09-01,638500
2000-10-01,644900
2000-11-01,654600
2000-12-01,671700
2001-01-01,686300
2001-02-01,693000
2001-03-01,699600
2001-04-01,707300
2001-05-01,708900
2001-06-01,706200
2001-07-01,692400
2001-08-01,672000
2001-09-01,653600
2001-10-01,640000
2001-11-01,622600
2001-12-01,605400
2002-01-01,595600
2002-02-01,593100
2002-03-01,588000
2002-04-01,585800
2002-05-01,589200
2002-06-01,597500
2002-07-01,603700
2002-08-01,601000
2002-09-01,592400
2002-10-01,580100
2002-11-01,568500
2002-12-01,568000
2003-01-01,574500
2003-02-01,570200
2003-03-01,566400
2003-04-01,563300
2003-05-01,553200
2003-06-01,535900
2003-07-01,533500
2003-08-01,544400
2003-09-01,555600
2003-10-01,564800
2003-11-01,578000
2003-12-01,584800
2004-01-01,585900
2004-02-01,595600
2004-03-01,608200
2004-04-01,616000
2004-05-01,624300
2004-06-01,635300
2004-07-01,645000
2004-08-01,657200
2004-09-01,672300
2004-10-01,684200
2004-11-01,698400
2004-12-01,716200
2005-01-01,734200
2005-02-01,752400
2005-03-01,768700
2005-04-01,777200
2005-05-01,783000
2005-06-01,791000
2005-07-01,799700
2005-08-01,806100
2005-09-01,805400
2005-10-01,802600
2005-11-01,803800
2005-12-01,798200
2006-01-01,789800
2006-02-01,779400
2006-03-01,766300
2006-04-01,773400
2006-05-01,811300
2006-06-01,846300
2006-07-01,859200
2006-08-01,862500
2006-09-01,867100
2006-10-01,869700
2006-11-01,865700
2006-12-01,866800
2007-01-01,877100
2007-02-01,886300
2007-03-01,894100
2007-04-01,901400
2007-05-01,898800
2007-06-01,885200
2007-07-01,875900
2007-08-01,876900
2007-09-01,876400
2007-10-01,875100
2007-11-01,881100
2007-12-01,884300
2008-01-01,870400
2008-02-01,858500
2008-03-01,865100
2008-04-01,879000
2008-05-01,884000
2008-06-01,890700
2008-07-01,903100
2008-08-01,908500
2008-09-01,905800
2008-10-01,908200
2008-11-01,905000
2008-12-01,903600
2009-01-01,908700
2009-02-01,912000
2009-03-01,891400
2009-04-01,850800
2009-05-01,809900
2009-06-01,790000
2009-07-01,779600
2009-08-01,771400
2009-09-01,769900
2009-10-01,766000
2009-11-01,757600
2009-12-01,752900
2010-01-01,755700
2010-02-01,757700
2010-03-01,752800
2010-04-01,747500
2010-05-01,749400
2010-06-01,752300
2010-07-01,746300
2010-08-01,741500
2010-09-01,742200
2010-10-01,744000
2010-11-01,744900
2010-12-01,744500
2011-01-01,735900
2011-02-01,732600
2011-03-01,755300
2011-04-01,785300
2011-05-01,798700
2011-06-01,802900
2011-07-01,806700
2011-08-01,802900
2011-09-01,792900
2011-10-01,788300
2011-11-01,788100
2011-12-01,790500
2012-01-01,804500
2012-02-01,822600
2012-03-01,827100
2012-04-01,834400
2012-05-01,853000
2012-06-01,870700
2012-07-01,887500
2012-08-01,905800
2012-09-01,929700
2012-10-01,963900
2012-11-01,996400
2012-12-01,1016400
2013-01-01,1028100
2013-02-01,1037100
2013-03-01,1048000
2013-04-01,1047200
2013-05-01,1044400
2013-06-01,1052100
2013-07-01,1076200
2013-08-01,1113100
2013-09-01,1155000
2013-10-01,1181000
2013-11-01,1201300
2013-12-01,1218400
2014-01-01,1232800
2014-02-01,1247700
2014-03-01,1260200
2014-04-01,1266900
2014-05-01,1277200
2014-06-01,1293500
2014-07-01,1309300
2014-08-01,1320700
2014-09-01,1328800
2014-10-01,1334800
2014-11-01,1340700
2014-12-01,1352800
2015-01-01,1369300
2015-02-01,1385200
2015-03-01,1407500
2015-04-01,1443100
2015-05-01,1470900
2015-06-01,1476100
2015-07-01,1475000
2015-08-01,1477500
2015-09-01,1478500
2015-10-01,1482900
2015-11-01,1500700
2015-12-01,1514700
2016-01-01,1521200
2016-02-01,1520200
2016-03-01,1527400
2016-04-01,1541400
2016-05-01,1556300
2016-06-01,1555200
2016-07-01,1545600
2016-08-01,1535000
2016-09-01,1532900
2016-10-01,1534000
