"Date","Value"
1996-04-01,233700
1996-05-01,232800
1996-06-01,231700
1996-07-01,230700
1996-08-01,230200
1996-09-01,229200
1996-10-01,228200
1996-11-01,228300
1996-12-01,229200
1997-01-01,230300
1997-02-01,231900
1997-03-01,233300
1997-04-01,233900
1997-05-01,234200
1997-06-01,235700
1997-07-01,238300
1997-08-01,241200
1997-09-01,244400
1997-10-01,247700
1997-11-01,251100
1997-12-01,254600
1998-01-01,257500
1998-02-01,259700
1998-03-01,261300
1998-04-01,262800
1998-05-01,264400
1998-06-01,266800
1998-07-01,269200
1998-08-01,271400
1998-09-01,273500
1998-10-01,275600
1998-11-01,277700
1998-12-01,280300
1999-01-01,283000
1999-02-01,285400
1999-03-01,288100
1999-04-01,291600
1999-05-01,296000
1999-06-01,301300
1999-07-01,307700
1999-08-01,313900
1999-09-01,319100
1999-10-01,323600
1999-11-01,328100
1999-12-01,333500
2000-01-01,340300
2000-02-01,347900
2000-03-01,355200
2000-04-01,363000
2000-05-01,372000
2000-06-01,380900
2000-07-01,388200
2000-08-01,393500
2000-09-01,398700
2000-10-01,404800
2000-11-01,410400
2000-12-01,414800
2001-01-01,418300
2001-02-01,421700
2001-03-01,424800
2001-04-01,427000
2001-05-01,425800
2001-06-01,421500
2001-07-01,416700
2001-08-01,414000
2001-09-01,413400
2001-10-01,413200
2001-11-01,412800
2001-12-01,411900
2002-01-01,411400
2002-02-01,412800
2002-03-01,416100
2002-04-01,420200
2002-05-01,425900
2002-06-01,432000
2002-07-01,437700
2002-08-01,443000
2002-09-01,446700
2002-10-01,448900
2002-11-01,451200
2002-12-01,453100
2003-01-01,454600
2003-02-01,456100
2003-03-01,458100
2003-04-01,460400
2003-05-01,462200
2003-06-01,464100
2003-07-01,466700
2003-08-01,470100
2003-09-01,474900
2003-10-01,481800
2003-11-01,489300
2003-12-01,496400
2004-01-01,503300
2004-02-01,510700
2004-03-01,519600
2004-04-01,529700
2004-05-01,539700
2004-06-01,549200
2004-07-01,559600
2004-08-01,569900
2004-09-01,580000
2004-10-01,589200
2004-11-01,598000
2004-12-01,608100
2005-01-01,619700
2005-02-01,629900
2005-03-01,637700
2005-04-01,643600
2005-05-01,649400
2005-06-01,656400
2005-07-01,663100
2005-08-01,669000
2005-09-01,675000
2005-10-01,679000
2005-11-01,681500
2005-12-01,683800
2006-01-01,686200
2006-02-01,689200
2006-03-01,692300
2006-04-01,693300
2006-05-01,693100
2006-06-01,692400
2006-07-01,692200
2006-08-01,693000
2006-09-01,693600
2006-10-01,693200
2006-11-01,692600
2006-12-01,690300
2007-01-01,688500
2007-02-01,689100
2007-03-01,688600
2007-04-01,684000
2007-05-01,678900
2007-06-01,674200
2007-07-01,668700
2007-08-01,663400
2007-09-01,658300
2007-10-01,653400
2007-11-01,647800
2007-12-01,638900
2008-01-01,626300
2008-02-01,613400
2008-03-01,601900
2008-04-01,592000
2008-05-01,582300
2008-06-01,573700
2008-07-01,567100
2008-08-01,558800
2008-09-01,548300
2008-10-01,540200
2008-11-01,534900
2008-12-01,528900
2009-01-01,523800
2009-02-01,521500
2009-03-01,519100
2009-04-01,514800
2009-05-01,510900
2009-06-01,507800
2009-07-01,504800
2009-08-01,503000
2009-09-01,501500
2009-10-01,499100
2009-11-01,494800
2009-12-01,499700
2010-01-01,508400
2010-02-01,509600
2010-03-01,503900
2010-04-01,503300
2010-05-01,505000
2010-06-01,506200
2010-07-01,503900
2010-08-01,499900
2010-09-01,496600
2010-10-01,494500
2010-11-01,493700
2010-12-01,489400
2011-01-01,484200
2011-02-01,481000
2011-03-01,478300
2011-04-01,474500
2011-05-01,471600
2011-06-01,468600
2011-07-01,466600
2011-08-01,466300
2011-09-01,466400
2011-10-01,466500
2011-11-01,466800
2011-12-01,468900
2012-01-01,470400
2012-02-01,468100
2012-03-01,467500
2012-04-01,470600
2012-05-01,475000
2012-06-01,479700
2012-07-01,485600
2012-08-01,491900
2012-09-01,499200
2012-10-01,507100
2012-11-01,515500
2012-12-01,522600
2013-01-01,528500
2013-02-01,535500
2013-03-01,549100
2013-04-01,566400
2013-05-01,581300
2013-06-01,592600
2013-07-01,601900
2013-08-01,608600
2013-09-01,614200
2013-10-01,618900
2013-11-01,623200
2013-12-01,626600
2014-01-01,630700
2014-02-01,638600
2014-03-01,647800
2014-04-01,654400
2014-05-01,659400
2014-06-01,665600
2014-07-01,673600
2014-08-01,682800
2014-09-01,690700
2014-10-01,698000
2014-11-01,705000
2014-12-01,709400
2015-01-01,713200
2015-02-01,721200
2015-03-01,729900
2015-04-01,734600
2015-05-01,738800
2015-06-01,744300
2015-07-01,749600
2015-08-01,754500
2015-09-01,759800
2015-10-01,764300
2015-11-01,767600
2015-12-01,769600
2016-01-01,772200
2016-02-01,775700
2016-03-01,778900
2016-04-01,778100
2016-05-01,775200
2016-06-01,771700
2016-07-01,769900
2016-08-01,770500
2016-09-01,772700
2016-10-01,774000
