"Date","Value"
1996-04-01,138100
1996-05-01,138900
1996-06-01,139100
1996-07-01,139200
1996-08-01,139200
1996-09-01,139200
1996-10-01,139300
1996-11-01,139500
1996-12-01,139700
1997-01-01,140300
1997-02-01,141100
1997-03-01,141400
1997-04-01,141100
1997-05-01,141100
1997-06-01,141100
1997-07-01,140700
1997-08-01,140300
1997-09-01,140200
1997-10-01,140200
1997-11-01,140500
1997-12-01,141100
1998-01-01,141700
1998-02-01,142500
1998-03-01,143200
1998-04-01,143900
1998-05-01,144600
1998-06-01,145200
1998-07-01,145500
1998-08-01,146100
1998-09-01,146900
1998-10-01,147500
1998-11-01,148200
1998-12-01,149500
1999-01-01,151400
1999-02-01,153400
1999-03-01,155000
1999-04-01,156100
1999-05-01,157000
1999-06-01,158200
1999-07-01,159600
1999-08-01,161000
1999-09-01,162700
1999-10-01,165100
1999-11-01,167400
1999-12-01,168700
2000-01-01,169400
2000-02-01,171100
2000-03-01,174600
2000-04-01,178500
2000-05-01,181700
2000-06-01,185000
2000-07-01,188700
2000-08-01,191900
2000-09-01,195000
2000-10-01,198700
2000-11-01,202800
2000-12-01,206700
2001-01-01,210700
2001-02-01,214700
2001-03-01,218200
2001-04-01,220800
2001-05-01,223800
2001-06-01,227700
2001-07-01,231500
2001-08-01,235000
2001-09-01,237700
2001-10-01,239400
2001-11-01,241100
2001-12-01,243000
2002-01-01,244700
2002-02-01,245500
2002-03-01,245900
2002-04-01,246900
2002-05-01,248800
2002-06-01,251100
2002-07-01,254200
2002-08-01,258300
2002-09-01,261500
2002-10-01,263400
2002-11-01,265000
2002-12-01,268300
2003-01-01,273400
2003-02-01,278700
2003-03-01,282800
2003-04-01,286900
2003-05-01,291000
2003-06-01,294400
2003-07-01,297000
2003-08-01,300100
2003-09-01,304300
2003-10-01,309000
2003-11-01,313900
2003-12-01,318900
2004-01-01,324200
2004-02-01,329300
2004-03-01,334700
2004-04-01,340700
2004-05-01,347200
2004-06-01,353200
2004-07-01,359800
2004-08-01,366900
2004-09-01,373800
2004-10-01,380200
2004-11-01,386400
2004-12-01,391800
2005-01-01,396400
2005-02-01,401300
2005-03-01,406800
2005-04-01,412400
2005-05-01,418500
2005-06-01,425400
2005-07-01,432500
2005-08-01,438100
2005-09-01,443000
2005-10-01,448800
2005-11-01,453700
2005-12-01,455900
2006-01-01,456600
2006-02-01,457700
2006-03-01,459400
2006-04-01,460200
2006-05-01,458800
2006-06-01,456000
2006-07-01,452900
2006-08-01,449100
2006-09-01,445500
2006-10-01,442300
2006-11-01,439600
2006-12-01,435600
2007-01-01,431100
2007-02-01,427100
2007-03-01,423500
2007-04-01,420000
2007-05-01,417500
2007-06-01,414400
2007-07-01,410700
2007-08-01,406700
2007-09-01,402500
2007-10-01,398200
2007-11-01,393500
2007-12-01,385200
2008-01-01,373000
2008-02-01,359800
2008-03-01,348000
2008-04-01,336800
2008-05-01,326500
2008-06-01,317700
2008-07-01,309200
2008-08-01,299700
2008-09-01,291000
2008-10-01,284200
2008-11-01,277500
2008-12-01,277300
2009-01-01,284000
2009-02-01,289600
2009-03-01,288000
2009-04-01,284300
2009-05-01,279100
2009-06-01,274200
2009-07-01,268800
2009-08-01,263300
2009-09-01,257300
2009-10-01,251800
2009-11-01,248500
2009-12-01,244800
2010-01-01,240300
2010-02-01,237600
2010-03-01,236800
2010-04-01,236200
2010-05-01,236200
2010-06-01,234700
2010-07-01,232800
2010-08-01,233000
2010-09-01,233400
2010-10-01,232000
2010-11-01,229400
2010-12-01,225800
2011-01-01,221400
2011-02-01,217100
2011-03-01,214900
2011-04-01,214700
2011-05-01,214400
2011-06-01,213000
2011-07-01,210700
2011-08-01,209900
2011-09-01,210300
2011-10-01,209800
2011-11-01,208400
2011-12-01,207000
2012-01-01,205600
2012-02-01,204800
2012-03-01,205100
2012-04-01,205000
2012-05-01,205300
2012-06-01,207700
2012-07-01,212500
2012-08-01,215700
2012-09-01,217300
2012-10-01,219800
2012-11-01,223400
2012-12-01,228000
2013-01-01,233100
2013-02-01,237800
2013-03-01,242200
2013-04-01,246600
2013-05-01,250100
2013-06-01,253700
2013-07-01,258600
2013-08-01,264500
2013-09-01,271200
2013-10-01,277900
2013-11-01,283400
2013-12-01,287000
2014-01-01,289800
2014-02-01,291600
2014-03-01,293800
2014-04-01,296900
2014-05-01,300700
2014-06-01,304600
2014-07-01,307600
2014-08-01,309800
2014-09-01,312000
2014-10-01,314700
2014-11-01,317800
2014-12-01,320200
2015-01-01,321900
2015-02-01,324000
2015-03-01,326200
2015-04-01,328400
2015-05-01,331100
2015-06-01,333900
2015-07-01,336100
2015-08-01,337200
2015-09-01,338100
2015-10-01,340300
2015-11-01,343800
2015-12-01,347200
2016-01-01,349900
2016-02-01,352400
2016-03-01,354700
2016-04-01,356400
2016-05-01,358400
2016-06-01,360900
2016-07-01,363800
2016-08-01,367200
2016-09-01,370600
2016-10-01,373100
