"name","price"
"Youngstown OH",81000
"McAllen TX",85000
"Toledo OH",101700
"Augusta GA",104900
"Dayton OH",106100
"Memphis TN",109500
"El Paso TX",110200
"Scranton PA",110800
"Syracuse NY",120800
"Detroit MI",121900
"Columbia SC",122600
"Greensboro NC",122900
"Tulsa OK",124300
"Akron OH",125700
"Little Rock AR",128100
"Birmingham AL",128500
"Rochester NY",128500
"Pittsburgh PA",129900
"Chattanooga TN",129900
"Cleveland OH",130900
"Indianapolis IN",131300
"Jackson MS",132100
"Buffalo NY",133000
"Oklahoma City OK",135200
"Louisville-Jefferson County KY",137900
"Knoxville TN",139000
"St. Louis MO",144300
"Lakeland FL",145300
"Greenville SC",146400
"Omaha NE",146500
"Cincinnati OH",147200
"Kansas City MO",149300
"San Antonio TX",152200
"Grand Rapids MI",154100
"Baton Rouge LA",157800
"Harrisburg PA",161100
"Charlotte NC",163000
"Columbus OH",163800
"Albuquerque NM",166700
"Atlanta GA",166900
"Des Moines IA",167800
"New Orleans LA",168300
"Melbourne FL",169000
"Jacksonville FL",172200
"Houston TX",174700
"Tampa FL",178400
"Allentown PA",179700
"Boise City ID",179700
"Tucson AZ",180300
"United States",184700
"Lancaster PA",184800
"Bakersfield CA",188000
"Albany NY",189200
"Dallas-Fort Worth TX",189400
"Nashville TN",193900
"Richmond VA",194800
"Orlando FL",200100
"Springfield MA",207300
"Fresno CA",208600
"Chicago IL",209600
"Milwaukee WI",209600
"Ogden UT",210000
"Charleston SC",213200
"Raleigh NC",216300
"Virginia Beach VA",221400
"Las Vegas NV",222600
"Fort Myers FL",222800
"Madison WI",225600
"Poughkeepsie NY",227900
"Hartford CT",228800
"New Haven CT",230800
"Philadelphia PA",231900
"Phoenix AZ",232200
"Sarasota FL",232300
"Colorado Springs CO",236300
"Minneapolis-St Paul MN",236700
"Worcester MA",239500
"Salt Lake City UT",247400
"Modesto CA",247400
"Provo UT",253100
"Austin TX",254600
"Providence RI",255800
"Baltimore MD",259000
"Stockton CA",286700
"Miami-Fort Lauderdale FL",291900
"Riverside CA",315900
"Portland OR",337900
"Sacramento CA",347900
"Denver CO",360300
"New York NY",378100
"Seattle WA",405200
"Boston MA",408200
"Washington DC",408400
"Stamford CT",441900
"San Diego CA",546500
"Ventura CA",573400
"Los Angeles CA",575700
"Honolulu HI",753400
"San Francisco CA",848300
"San Jose CA",1034000
