Region|Code
United States|00001
New York, NY|00002
Los Angeles, CA|00003
Chicago, IL|00004
Dallas-Fort Worth, TX|00005
Philadelphia, PA|00006
Houston, TX|00007
Washington, DC|00008
Miami-Fort Lauderdale, FL|00009
Atlanta, GA|00010
Boston, MA|00011
San Francisco, CA|00012
Detroit, MI|00013
Riverside, CA|00014
Phoenix, AZ|00015
Seattle, WA|00016
Minneapolis-St Paul, MN|00017
San Diego, CA|00018
St. Louis, MO|00019
Tampa, FL|00020
Baltimore, MD|00021
Denver, CO|00022
Pittsburgh, PA|00023
Portland, OR|00024
Sacramento, CA|00025
San Antonio, TX|00026
Orlando, FL|00027
Cincinnati, OH|00028
Cleveland, OH|00029
Kansas City, MO|00030
Las Vegas, NV|00031
San Jose, CA|00032
Columbus, OH|00033
Charlotte, NC|00034
Indianapolis, IN|00035
Austin, TX|00036
Virginia Beach, VA|00037
Providence, RI|00038
Nashville, TN|00039
Milwaukee, WI|00040
Jacksonville, FL|00041
Memphis, TN|00042
Louisville-Jefferson County, KY|00043
Richmond, VA|00044
Oklahoma City, OK|00045
Hartford, CT|00046
New Orleans, LA|00047
Buffalo, NY|00048
Raleigh, NC|00049
Birmingham, AL|00050
Salt Lake City, UT|00051
Rochester, NY|00052
Tucson, AZ|00053
Honolulu, HI|00054
Tulsa, OK|00055
Fresno, CA|00056
Stamford, CT|00057
Albuquerque, NM|00058
Albany, NY|00059
Omaha, NE|00060
New Haven, CT|00061
Dayton, OH|00062
Bakersfield, CA|00063
Ventura, CA|00064
Allentown, PA|00065
Baton Rouge, LA|00066
El Paso, TX|00067
Worcester, MA|00068
McAllen, TX|00069
Grand Rapids, MI|00070
Columbia, SC|00071
Greensboro, NC|00072
Akron, OH|00073
Sarasota, FL|00074
Little Rock, AR|00075
Knoxville, TN|00076
Springfield, MA|00077
Stockton, CA|00078
Poughkeepsie, NY|00079
Charleston, SC|00080
Syracuse, NY|00081
Toledo, OH|00082
Colorado Springs, CO|00083
Greenville, SC|00084
Fort Myers, FL|00085
Boise City, ID|00086
Lakeland, FL|00087
Des Moines, IA|00088
Madison, WI|00089
Youngstown, OH|00090
Scranton, PA|00091
Augusta, GA|00092
Harrisburg, PA|00093
Ogden, UT|00094
Melbourne, FL|00095
Jackson, MS|00096
Chattanooga, TN|00097
Provo, UT|00098
Lancaster, PA|00099
Modesto, CA|00100
Durham, NC|00101
Daytona Beach, FL|00102
Santa Rosa, CA|00103
Winston-Salem, NC|00104
Lexington, KY|00105
Spokane, WA|00106
Lansing, MI|00107
Fayetteville, AR|00108
Pensacola, FL|00109
Visalia, CA|00110
Springfield, MO|00111
York, PA|00112
Corpus Christi, TX|00113
Flint, MI|00114
Reno, NV|00115
Asheville, NC|00116
Port St. Lucie, FL|00117
Santa Barbara, CA|00118
Huntsville, AL|00119
Fort Wayne, IN|00120
Salinas, CA|00121
Vallejo, CA|00122
Mobile, AL|00123
Reading, PA|00124
Killeen, TX|00125
Canton, OH|00126
