Date,Value
2016-05-31,301200.0
2016-04-30,302200.0
2016-03-31,298500.0
2016-02-29,294200.0
2016-01-31,292500.0
2015-12-31,290100.0
2015-11-30,286500.0
2015-10-31,284000.0
2015-09-30,282200.0
2015-08-31,279700.0
2015-07-31,277300.0
2015-06-30,274400.0
2015-05-31,271300.0
2015-04-30,268700.0
2015-03-31,267100.0
2015-02-28,265700.0
2015-01-31,263200.0
2014-12-31,260500.0
2014-11-30,257000.0
2014-10-31,254000.0
2014-09-30,251400.0
2014-08-31,249100.0
2014-07-31,246700.0
2014-06-30,244400.0
2014-05-31,242300.0
2014-04-30,241500.0
2014-03-31,241200.0
2014-02-28,240000.0
2014-01-31,237900.0
2013-12-31,236100.0
2013-11-30,234800.0
2013-10-31,233900.0
2013-09-30,233000.0
2013-08-31,231600.0
2013-07-31,229700.0
2013-06-30,227600.0
2013-05-31,225600.0
2013-04-30,223700.0
2013-03-31,221800.0
2013-02-28,219800.0
2013-01-31,218200.0
2012-12-31,217300.0
2012-11-30,216600.0
2012-10-31,215500.0
2012-09-30,214200.0
2012-08-31,212800.0
2012-07-31,211300.0
2012-06-30,210200.0
2012-05-31,209400.0
2012-04-30,208200.0
2012-03-31,207000.0
2012-02-29,205800.0
2012-01-31,204800.0
2011-12-31,204100.0
2011-11-30,203700.0
2011-10-31,203500.0
2011-09-30,203500.0
2011-08-31,203500.0
2011-07-31,203700.0
2011-06-30,204400.0
2011-05-31,205300.0
2011-04-30,206300.0
2011-03-31,207300.0
2011-02-28,208300.0
2011-01-31,209100.0
2010-12-31,209900.0
2010-11-30,210700.0
2010-10-31,211000.0
2010-09-30,211100.0
2010-08-31,211700.0
2010-07-31,212700.0
2010-06-30,213900.0
2010-05-31,214800.0
2010-04-30,215000.0
2010-03-31,214800.0
2010-02-28,214600.0
2010-01-31,214200.0
2009-12-31,213800.0
2009-11-30,213600.0
2009-10-31,213800.0
2009-09-30,214000.0
2009-08-31,214000.0
2009-07-31,213800.0
2009-06-30,214200.0
2009-05-31,214600.0
2009-04-30,215000.0
2009-03-31,215200.0
2009-02-28,215500.0
2009-01-31,215000.0
2008-12-31,214400.0
2008-11-30,214600.0
2008-10-31,215900.0
2008-09-30,216900.0
2008-08-31,217800.0
2008-07-31,218400.0
2008-06-30,218800.0
2008-05-31,218600.0
2008-04-30,218600.0
2008-03-31,219100.0
2008-02-29,220000.0
2008-01-31,222300.0
2007-12-31,224800.0
2007-11-30,226700.0
2007-10-31,227100.0
2007-09-30,226900.0
2007-08-31,226900.0
2007-07-31,227500.0
2007-06-30,226900.0
2007-05-31,226200.0
2007-04-30,226000.0
2007-03-31,226100.0
2007-02-28,226300.0
2007-01-31,226900.0
2006-12-31,227100.0
2006-11-30,226300.0
2006-10-31,225300.0
2006-09-30,224700.0
2006-08-31,224400.0
2006-07-31,223800.0
2006-06-30,223500.0
2006-05-31,223700.0
2006-04-30,223600.0
2006-03-31,223400.0
2006-02-28,223300.0
2006-01-31,222500.0
2005-12-31,221500.0
2005-11-30,220900.0
2005-10-31,220400.0
2005-09-30,220100.0
2005-08-31,219600.0
2005-07-31,219000.0
2005-06-30,218600.0
2005-05-31,218200.0
2005-04-30,217600.0
2005-03-31,217000.0
2005-02-28,215900.0
2005-01-31,214300.0
2004-12-31,213100.0
2004-11-30,212500.0
2004-10-31,212300.0
2004-09-30,211900.0
2004-08-31,211500.0
2004-07-31,211200.0
2004-06-30,210800.0
2004-05-31,210100.0
2004-04-30,209400.0
2004-03-31,208900.0
2004-02-29,208200.0
2004-01-31,207500.0
2003-12-31,206800.0
2003-11-30,206200.0
2003-10-31,205800.0
2003-09-30,205200.0
2003-08-31,204600.0
2003-07-31,204300.0
2003-06-30,204000.0
2003-05-31,203800.0
2003-04-30,203600.0
2003-03-31,203200.0
2003-02-28,203100.0
2003-01-31,202900.0
2002-12-31,202600.0
2002-11-30,202000.0
2002-10-31,201100.0
2002-09-30,200300.0
2002-08-31,199800.0
2002-07-31,199100.0
2002-06-30,198300.0
2002-05-31,197700.0
2002-04-30,197100.0
2002-03-31,196300.0
2002-02-28,195700.0
2002-01-31,195400.0
2001-12-31,195100.0
2001-11-30,194500.0
2001-10-31,193800.0
2001-09-30,193100.0
2001-08-31,192200.0
2001-07-31,191000.0
2001-06-30,189800.0
2001-05-31,188900.0
2001-04-30,187900.0
2001-03-31,186700.0
2001-02-28,185100.0
2001-01-31,183500.0
2000-12-31,181900.0
2000-11-30,180400.0
2000-10-31,179000.0
2000-09-30,177500.0
2000-08-31,176000.0
2000-07-31,175000.0
2000-06-30,173700.0
2000-05-31,171600.0
2000-04-30,169700.0
2000-03-31,168300.0
2000-02-29,166600.0
2000-01-31,164900.0
1999-12-31,163400.0
1999-11-30,162100.0
1999-10-31,160900.0
1999-09-30,159600.0
1999-08-31,158000.0
1999-07-31,156400.0
1999-06-30,155300.0
1999-05-31,154100.0
1999-04-30,152400.0
1999-03-31,151000.0
1999-02-28,150000.0
1999-01-31,148700.0
1998-12-31,147500.0
1998-11-30,146700.0
1998-10-31,146100.0
1998-09-30,145300.0
1998-08-31,144600.0
1998-07-31,143900.0
1998-06-30,143500.0
1998-05-31,143200.0
1998-04-30,142700.0
1998-03-31,142100.0
1998-02-28,141200.0
1998-01-31,140000.0
1997-12-31,138800.0
1997-11-30,137700.0
1997-10-31,136900.0
1997-09-30,136500.0
1997-08-31,136200.0
1997-07-31,135400.0
1997-06-30,134500.0
1997-05-31,133900.0
1997-04-30,133300.0
1997-03-31,132900.0
1997-02-28,132500.0
1997-01-31,132200.0
1996-12-31,131800.0
1996-11-30,131400.0
1996-10-31,131000.0
1996-09-30,130900.0
1996-08-31,130700.0
1996-07-31,130200.0
1996-06-30,129700.0
1996-05-31,129600.0
1996-04-30,129500.0
